Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.06320344428098727
Aluminium and aluminium products,AU,10788.8621591,-0.00873177262239955
Aluminium and aluminium products,BE,5247.38034134,-0.0510450507278589
Aluminium and aluminium products,BG,1519.97837587,-0.028867786550812014
Aluminium and aluminium products,BR,9914.80918982,-0.0149049733349622
Aluminium and aluminium products,CA,20401.1714152,-0.2582037265431203
Aluminium and aluminium products,CH,664.221654607,-0.0162655485472812
Aluminium and aluminium products,CN,267795.177986,-2.0472229817090755
Aluminium and aluminium products,CY,202.027361746,-7.458627935139191e-06
Aluminium and aluminium products,CZ,4464.35318131,-0.019998369420783486
Aluminium and aluminium products,DE,29109.7538681,-0.27944465414573344
Aluminium and aluminium products,DK,1842.84710324,-0.005499835555322796
Aluminium and aluminium products,EE,101.53719116,-6.46118287452605e-05
Aluminium and aluminium products,ES,8208.21094615,-0.05650995831631812
Aluminium and aluminium products,FI,752.680853488,-0.0015471805913906268
Aluminium and aluminium products,FR,8846.32397853,-0.1494970434434495
Aluminium and aluminium products,GB,13378.5976996,-0.08056900677190475
Aluminium and aluminium products,GR,2553.08976835,-0.02659328306207052
Aluminium and aluminium products,HR,560.379064274,-0.002271368956915332
Aluminium and aluminium products,HU,286.469504551,-0.00045142016558210305
Aluminium and aluminium products,ID,2586.29818798,-0.006953485830341679
Aluminium and aluminium products,IE,879.068440269,-0.0017788470091154387
Aluminium and aluminium products,IN,13943.6830579,-0.07683275140717777
Aluminium and aluminium products,IT,11485.2948435,-2.7370171014763245
Aluminium and aluminium products,JP,22875.3451004,-0.03864993274439172
Aluminium and aluminium products,KR,8309.49105106,-0.03866592473974193
Aluminium and aluminium products,LT,6.93599649202,-9.742055958754657e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0019862191857295624
Aluminium and aluminium products,LV,296.259954279,-9.710567887774845e-05
Aluminium and aluminium products,MT,0.00497401513167,-3.707848579093947e-09
Aluminium and aluminium products,MX,5745.06290448,-0.028015803551170473
Aluminium and aluminium products,NL,3870.86435818,-0.022879936487646916
Aluminium and aluminium products,NO,4042.99806768,-0.002645023734002082
Aluminium and aluminium products,PL,6503.02267632,-0.029466340843136662
Aluminium and aluminium products,PT,1201.85724097,-0.0016206023053963227
Aluminium and aluminium products,RO,1296.42742076,-0.007275954261542437
Aluminium and aluminium products,RU,17915.3872454,-0.01247642231006901
Aluminium and aluminium products,SE,3090.46542881,-0.011562062155447259
Aluminium and aluminium products,SI,2312.04475031,-0.016828602305404783
Aluminium and aluminium products,SK,2260.89388142,-0.004070281657115923
Aluminium and aluminium products,TR,9962.96552508,-0.06057313795861686
Aluminium and aluminium products,TW,9319.81261143,-0.0028870326073824936
Aluminium and aluminium products,US,110792.994735,-0.34091080586451383
Aluminium and aluminium products,WA,23768.5900005,-0.2056425446711416
Aluminium and aluminium products,WE,4791.31875552,-0.032871801431038204
Aluminium and aluminium products,WF,8032.46962605,-0.035072605658437395
Aluminium and aluminium products,WL,9275.39526692,-0.10660105039386253
Aluminium and aluminium products,WM,19937.1975904,-0.23306580371796576
Aluminium and aluminium products,ZA,1122.58615792,-0.003974940944653348
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0008625350738960974
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.5621112225351565e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.000191730003523515
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-2.853027599919695e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.00019010081863345384
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-3.522774092839316e-05
Aluminium ores and concentrates,HR,2.40123949261,-3.9302031752087856e-07
Aluminium ores and concentrates,HU,25.9433227911,-7.535076070418064e-06
Aluminium ores and concentrates,ID,0.897727817423,-3.085958910744279e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-3.270689625968253e-05
Aluminium ores and concentrates,IT,345.382371744,-0.18957472281225116
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-6.3617069447565285e-06
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0005834080539911312
Aluminium ores and concentrates,TW,240.735987175,-0.00024091727011224268
Aluminium ores and concentrates,US,61.6295336059,-0.00013460613643503152
Aluminium ores and concentrates,WA,445.836642213,-0.00048641457221820555
Aluminium ores and concentrates,WE,144.010694731,-0.00010738314482263324
Aluminium ores and concentrates,WF,353.253815291,-0.0006405960819920432
Aluminium ores and concentrates,WL,421.783559222,-0.0003141326380286134
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.20540721396103434
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.04111814759039197
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.14491337086323935
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.004688656644884981
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.3645397124207642
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-0.7810511152627942
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.02680775752748225
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-4.310593567261084
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-2.700895665627878e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.09139790427404239
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-1.3521858644068936
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.007404507720673923
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.00020820899915360342
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.19006381453026785
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.03059973604819851
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-1.0637160258778504
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.2323979693245883
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.03616922185510806
