Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.008298224375802871
Aluminium and aluminium products,AU,10788.8621591,-0.011908354307100128
Aluminium and aluminium products,BE,5247.38034134,-0.014983250226868458
Aluminium and aluminium products,BG,1519.97837587,-0.0010356654453919298
Aluminium and aluminium products,BR,9914.80918982,-0.015394883019776337
Aluminium and aluminium products,CA,20401.1714152,-0.34053024708630375
Aluminium and aluminium products,CH,664.221654607,-0.001753225327398306
Aluminium and aluminium products,CN,267795.177986,-7.376145926422995
Aluminium and aluminium products,CY,202.027361746,-8.529507835444077e-06
Aluminium and aluminium products,CZ,4464.35318131,-0.00371029554392273
Aluminium and aluminium products,DE,29109.7538681,-0.029269431019866947
Aluminium and aluminium products,DK,1842.84710324,-0.0016355546376727406
Aluminium and aluminium products,EE,101.53719116,-4.074360954823402e-05
Aluminium and aluminium products,ES,8208.21094615,-0.008120550685334304
Aluminium and aluminium products,FI,752.680853488,-0.0006114435571741885
Aluminium and aluminium products,FR,8846.32397853,-0.009546675915156405
Aluminium and aluminium products,GB,13378.5976996,-0.03596424773184157
Aluminium and aluminium products,GR,2553.08976835,-0.004471530751691947
Aluminium and aluminium products,HR,560.379064274,-0.0007009647058722597
Aluminium and aluminium products,HU,286.469504551,-0.0001649398013799872
Aluminium and aluminium products,ID,2586.29818798,-0.0366551577695146
Aluminium and aluminium products,IE,879.068440269,-0.0005605125503035264
Aluminium and aluminium products,IN,13943.6830579,-0.1764647624343316
Aluminium and aluminium products,IT,11485.2948435,-0.01815254063062469
Aluminium and aluminium products,JP,22875.3451004,-14.203632587914704
Aluminium and aluminium products,KR,8309.49105106,-0.27098908547391437
Aluminium and aluminium products,LT,6.93599649202,-3.173031616020547e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0017225187007529213
Aluminium and aluminium products,LV,296.259954279,-7.78223714104373e-05
Aluminium and aluminium products,MT,0.00497401513167,-1.9611124476305895e-09
Aluminium and aluminium products,MX,5745.06290448,-0.03203231347661824
Aluminium and aluminium products,NL,3870.86435818,-0.012387332509484284
Aluminium and aluminium products,NO,4042.99806768,-0.0016600582364062132
Aluminium and aluminium products,PL,6503.02267632,-0.00959627856619171
Aluminium and aluminium products,PT,1201.85724097,-0.00044760555084280166
Aluminium and aluminium products,RO,1296.42742076,-0.001190123460105652
Aluminium and aluminium products,RU,17915.3872454,-0.011047416182993987
Aluminium and aluminium products,SE,3090.46542881,-0.004616504025433607
Aluminium and aluminium products,SI,2312.04475031,-0.0020234449875532307
Aluminium and aluminium products,SK,2260.89388142,-0.0006620597745402467
Aluminium and aluminium products,TR,9962.96552508,-0.036889350048455526
Aluminium and aluminium products,TW,9319.81261143,-0.005711803592752373
Aluminium and aluminium products,US,110792.994735,-0.6420900250808425
Aluminium and aluminium products,WA,23768.5900005,-1.3189837619111773
Aluminium and aluminium products,WE,4791.31875552,-0.005037711165465884
Aluminium and aluminium products,WF,8032.46962605,-0.013923287752507254
Aluminium and aluminium products,WL,9275.39526692,-0.10147898254003758
Aluminium and aluminium products,WM,19937.1975904,-0.16459136172655958
Aluminium and aluminium products,ZA,1122.58615792,-0.005098459221475221
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0009724124528970416
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.6178697187428008e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00041543329234618274
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-3.849478364791624e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-2.561698715979514e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-6.995840143983017e-06
Aluminium ores and concentrates,HR,2.40123949261,-4.50173709243707e-08
Aluminium ores and concentrates,HU,25.9433227911,-1.994712864449348e-06
Aluminium ores and concentrates,ID,0.897727817423,-7.716411515214288e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-5.614799512897233e-05
Aluminium ores and concentrates,IT,345.382371744,-0.00018185259147960025
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-4.172342994154924e-06
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0005714836387591139
Aluminium ores and concentrates,TW,240.735987175,-0.002527321213417271
Aluminium ores and concentrates,US,61.6295336059,-0.00019257158427435502
Aluminium ores and concentrates,WA,445.836642213,-0.0031257166247032992
Aluminium ores and concentrates,WE,144.010694731,-1.7442986178972797e-05
Aluminium ores and concentrates,WF,353.253815291,-0.00025386610879679937
Aluminium ores and concentrates,WL,421.783559222,-0.00029884180510459903
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.029901667193962055
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.0782883867446358
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.12653509458886938
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.000269452907759194
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.4529260111511299
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.7127336839938043
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.00313530209326309
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-27.61056997632503
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-2.1340262134911975e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.019977320264346794
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-0.2207277909607995
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.0022507838503378693
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.00015568224983789086
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.11473513919175125
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.014840300947555616
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.06452263178904909
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.382366070243771
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.006670123241100543
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.00034945392148988576
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.001156148346540061
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-1.7928769014726882
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.0006914724256598387
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-2.5677726266968555
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-0.20008424364070412
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-177.42609613361316
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-8.283877695276908
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-3.9618561492944975e-06
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.0010605965410135163
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.0002923475540699168
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-9.834882194629442e-08
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.6497691935402344
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-0.030348707173835445
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.0033663316417338494
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-0.035143262421841306
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.07515828782088134
Basic iron and steel and of ferro-alloys and first products thereof,RO,4659.14739212,-0.021909840667515022
Basic iron and steel and of ferro-alloys and first products thereof,RU,68916.0077572,-0.2663803849143892
Basic iron and steel and of ferro-alloys and first products thereof,SE,10261.0187758,-0.043151316902269504
Basic iron and steel and of ferro-alloys and first products thereof,SI,2288.56302977,-0.005433405267911353
Basic iron and steel and of ferro-alloys and first products thereof,SK,1007.32881893,-0.0026538970341884603
Basic iron and steel and of ferro-alloys and first products thereof,TR,74268.365993,-0.25819594480930746
Basic iron and steel and of ferro-alloys and first products thereof,TW,100727.499584,-0.010983239201186218
Basic iron and steel and of ferro-alloys and first products thereof,US,205998.706778,-6.351855832746677
Basic iron and steel and of ferro-alloys and first products thereof,WA,145998.414141,-48.5357964284129
Basic iron and steel and of ferro-alloys and first products thereof,WE,14739.812353,-0.08057185358364047
Basic iron and steel and of ferro-alloys and first products thereof,WF,27799.8163563,-0.039406209873390954
Basic iron and steel and of ferro-alloys and first products thereof,WL,28642.6043567,-1.460787024182996
Basic iron and steel and of ferro-alloys and first products thereof,WM,77625.4967214,-0.22054623633861264
Basic iron and steel and of ferro-alloys and first products thereof,ZA,18732.4655732,-0.02154737759403257
Copper ores and concentrates,AT,0.0,0.0
Copper ores and concentrates,AU,1217.54166304,-0.00029855345890291714
Copper ores and concentrates,BE,0.0,0.0
Copper ores and concentrates,BG,4689.66355003,-0.0010370502672799372
Copper ores and concentrates,BR,164.578921747,-1.1819962241082122e-05
Copper ores and concentrates,CA,0.154263949143,-8.097250452786336e-08
Copper ores and concentrates,CH,0.0,0.0
