Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.003825773250474851
Aluminium and aluminium products,AU,12531.9933192,-0.09727609196781858
Aluminium and aluminium products,BE,3993.548713,-0.008187091291480956
Aluminium and aluminium products,BG,499.437458924,-0.0003365843642323539
Aluminium and aluminium products,BR,6454.85163457,-0.006516839783294424
Aluminium and aluminium products,CA,11960.2679472,-0.12008663547583404
Aluminium and aluminium products,CH,643.630526142,-0.0005881048784057104
Aluminium and aluminium products,CN,302689.359677,-12.32450182205744
Aluminium and aluminium products,CY,41.8048397461,-5.828476849887906e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.0017921133940160421
Aluminium and aluminium products,DE,19165.2510876,-0.07085255528051024
Aluminium and aluminium products,DK,1236.94914834,-0.0009506792402282069
Aluminium and aluminium products,EE,91.1103938161,-1.0637231589261253e-05
Aluminium and aluminium products,ES,7461.13251474,-0.00994652162361744
Aluminium and aluminium products,FI,356.727766315,-0.00026763302524534664
Aluminium and aluminium products,FR,5375.02085894,-0.010451572532417538
Aluminium and aluminium products,GB,8010.48600955,-0.019569164952321298
Aluminium and aluminium products,GR,2044.34637917,-0.008821774022823081
Aluminium and aluminium products,HR,505.814973588,-0.00018875006652868052
Aluminium and aluminium products,HU,1306.27668286,-0.0017570170052739669
Aluminium and aluminium products,ID,1068.52181168,-0.007781673242835562
Aluminium and aluminium products,IE,2172.43289372,-0.0008832111533045248
Aluminium and aluminium products,IN,11978.7770986,-0.05366775216197584
Aluminium and aluminium products,IT,8923.67302338,-0.02363959205826814
Aluminium and aluminium products,JP,17109.5947277,-0.627933804677479
Aluminium and aluminium products,KR,8673.57009522,-37.60551995935375
Aluminium and aluminium products,LT,19.3725198714,-4.40125641433718e-06
Aluminium and aluminium products,LU,409.396696263,-0.00164934217430566
Aluminium and aluminium products,LV,54.691662585,-5.5790108068559865e-05
Aluminium and aluminium products,MT,11.6180007714,-1.6716911755709992e-06
Aluminium and aluminium products,MX,2504.363198,-0.013175274640809087
Aluminium and aluminium products,NL,2940.82747966,-0.004113874078577584
Aluminium and aluminium products,NO,4583.64797675,-0.0038853766789081787
Aluminium and aluminium products,PL,3840.61096127,-0.004804151050753629
Aluminium and aluminium products,PT,543.258501954,-0.00035683354148595105
Aluminium and aluminium products,RO,1168.18927683,-0.0006081435416490066
Aluminium and aluminium products,RU,18879.1824496,-0.002593581865893588
Aluminium and aluminium products,SE,2135.19162301,-0.002574351586266251
Aluminium and aluminium products,SI,1443.72820135,-0.0007268570037679752
Aluminium and aluminium products,SK,1696.23637467,-0.0009193420696874715
Aluminium and aluminium products,TR,2580.28860824,-0.01337983239366243
Aluminium and aluminium products,TW,6095.69118313,-0.01905311099498227
Aluminium and aluminium products,US,48679.1996737,-0.7333352795858147
Aluminium and aluminium products,WA,15732.4429953,-0.7961570984954253
Aluminium and aluminium products,WE,3559.27925605,-0.003183542457302193
Aluminium and aluminium products,WF,6427.26361047,-0.014514771935072583
Aluminium and aluminium products,WL,7475.69132895,-0.030560771679067837
Aluminium and aluminium products,WM,11805.3345042,-0.1396436911126734
Aluminium and aluminium products,ZA,797.040743415,-0.0009324574493003312
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.015730389381550573
Aluminium ores and concentrates,BE,2.84444912715,-8.387501497930099e-08
Aluminium ores and concentrates,BG,0.138495096199,-3.258545155432187e-09
Aluminium ores and concentrates,BR,280.581818121,-0.001233398274060352
Aluminium ores and concentrates,CA,207.504378799,-7.970826622767232e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.12466599702397345
Aluminium ores and concentrates,CY,0.00421751898077,-1.1917604960573793e-11
Aluminium ores and concentrates,CZ,12.1417238024,-1.450611590055073e-06
Aluminium ores and concentrates,DE,1.19660977212,-1.0986874394744249e-06
Aluminium ores and concentrates,DK,4.3419884646,-2.4339759267778853e-07
Aluminium ores and concentrates,EE,0.0661687596157,-5.860473469535188e-11
Aluminium ores and concentrates,ES,7.56486150521,-2.821487223727908e-07
Aluminium ores and concentrates,FI,1.96593974192,-3.85558392657893e-08
Aluminium ores and concentrates,FR,34.5354208783,-4.822787579991076e-06
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0001495878264707734
Aluminium ores and concentrates,HR,19.4130743772,-2.468072594808197e-07
Aluminium ores and concentrates,HU,4.80949295081,-3.1296336458153787e-07
Aluminium ores and concentrates,ID,390.485203219,-0.004781501743752733
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00023262768979443414
Aluminium ores and concentrates,IT,73.5791874402,-4.218137471824694e-06
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-1.121731845729257e-09
Aluminium ores and concentrates,MT,0.0265288720645,-1.4409125683188407e-11
Aluminium ores and concentrates,MX,0.114142565282,-3.455434639442469e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-1.2003458205637916e-08
Aluminium ores and concentrates,PL,6.84794213703,-6.558751867095877e-07
Aluminium ores and concentrates,PT,0.00886102172329,-6.957297090577549e-10
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-1.3275204874809877e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-3.767127213875834e-07
Aluminium ores and concentrates,TR,16.7608883352,-0.0001390354648480062
Aluminium ores and concentrates,TW,26.0103873936,-0.00010384608729057704
Aluminium ores and concentrates,US,184.282016273,-5.1546664805929387e-05
Aluminium ores and concentrates,WA,1599.52781152,-0.06977885130522768
Aluminium ores and concentrates,WE,117.07475279,-0.0018551605630927838
Aluminium ores and concentrates,WF,986.894287433,-0.008501830142520869
Aluminium ores and concentrates,WL,416.43589486,-0.009872996940837635
Aluminium ores and concentrates,WM,1022.5175986,-0.0014516332557777537
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4200.61507379,-0.014605169586470956
Basic iron and steel and of ferro-alloys and first products thereof,AU,13515.7327983,-0.045845177857080144
Basic iron and steel and of ferro-alloys and first products thereof,BE,8548.74860532,-0.13478095469805657
Basic iron and steel and of ferro-alloys and first products thereof,BG,61.3541596005,-0.00014592801873107697
Basic iron and steel and of ferro-alloys and first products thereof,BR,44378.3270276,-0.04729103753453689
Basic iron and steel and of ferro-alloys and first products thereof,CA,24113.7611741,-0.5922668608615711
Basic iron and steel and of ferro-alloys and first products thereof,CH,912.41951381,-0.0013079008110353058
Basic iron and steel and of ferro-alloys and first products thereof,CN,1483520.9035,-12.614589149750351
Basic iron and steel and of ferro-alloys and first products thereof,CY,42.3680189302,-2.4062946397435613e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,4404.32857606,-0.015369708496905578
Basic iron and steel and of ferro-alloys and first products thereof,DE,66859.9415061,-0.23423781415886435
Basic iron and steel and of ferro-alloys and first products thereof,DK,1733.93462927,-0.004208772788130371
Basic iron and steel and of ferro-alloys and first products thereof,EE,429.773184691,-5.510408468810584e-05
Basic iron and steel and of ferro-alloys and first products thereof,ES,27226.0297078,-0.03770996253675641
Basic iron and steel and of ferro-alloys and first products thereof,FI,6209.46744502,-0.006598012171953802
Basic iron and steel and of ferro-alloys and first products thereof,FR,28044.8026459,-0.04035322377367359
Basic iron and steel and of ferro-alloys and first products thereof,GB,10459.9634056,-0.0758722610125619
Basic iron and steel and of ferro-alloys and first products thereof,GR,2903.38451829,-0.017378738529248414
Basic iron and steel and of ferro-alloys and first products thereof,HR,518.197009254,-0.0001569940601504033
Basic iron and steel and of ferro-alloys and first products thereof,HU,2588.01504897,-0.008717578804952142
Basic iron and steel and of ferro-alloys and first products thereof,ID,10010.8315714,-0.32215140213100807
Basic iron and steel and of ferro-alloys and first products thereof,IE,409.319220675,-0.000746708221984918
Basic iron and steel and of ferro-alloys and first products thereof,IN,109916.482339,-0.9522163866877178
Basic iron and steel and of ferro-alloys and first products thereof,IT,38630.0756138,-0.218714438280884
Basic iron and steel and of ferro-alloys and first products thereof,JP,212405.12581,-1.478266432445464
Basic iron and steel and of ferro-alloys and first products thereof,KR,179575.348985,-70.8526469138813
Basic iron and steel and of ferro-alloys and first products thereof,LT,45.0551342084,-1.985759805434899e-05
Basic iron and steel and of ferro-alloys and first products thereof,LU,3302.87462406,-0.01666757852246047
Basic iron and steel and of ferro-alloys and first products thereof,LV,579.078911833,-0.00016839905631855454
Basic iron and steel and of ferro-alloys and first products thereof,MT,2.73494946959,-3.2510231861184634e-06
Basic iron and steel and of ferro-alloys and first products thereof,MX,20667.9002643,-0.16039373541009325
Basic iron and steel and of ferro-alloys and first products thereof,NL,1078.67048169,-0.0034073735661072583
Basic iron and steel and of ferro-alloys and first products thereof,NO,2058.7192817,-0.010507603145438396
Basic iron and steel and of ferro-alloys and first products thereof,PL,16473.2654391,-0.02466614869039095
Basic iron and steel and of ferro-alloys and first products thereof,PT,1666.83061757,-0.008134819527491781
Basic iron and steel and of ferro-alloys and first products thereof,RO,4346.21160071,-0.005691199765277961
Basic iron and steel and of ferro-alloys and first products thereof,RU,81804.9236408,-0.08464133279990288
Basic iron and steel and of ferro-alloys and first products thereof,SE,7130.11372836,-0.04029900087918942
Basic iron and steel and of ferro-alloys and first products thereof,SI,1120.21290342,-0.0016433189590244176
Basic iron and steel and of ferro-alloys and first products thereof,SK,1139.56763628,-0.002031256878002775
Basic iron and steel and of ferro-alloys and first products thereof,TR,20999.2646868,-0.3402834601308472
Basic iron and steel and of ferro-alloys and first products thereof,TW,71744.7571404,-0.02681486368939676
Basic iron and steel and of ferro-alloys and first products thereof,US,130138.432411,-2.173957166891351
Basic iron and steel and of ferro-alloys and first products thereof,WA,94034.7640963,-4.641543308216829
Basic iron and steel and of ferro-alloys and first products thereof,WE,11113.7732743,-0.0300174842733501
Basic iron and steel and of ferro-alloys and first products thereof,WF,20416.4956618,-0.06423895223670838
Basic iron and steel and of ferro-alloys and first products thereof,WL,21000.6177451,-0.17921551598599147
Basic iron and steel and of ferro-alloys and first products thereof,WM,46754.4837228,-0.8515530824219947
Basic iron and steel and of ferro-alloys and first products thereof,ZA,11191.4456125,-0.0037003315696543674
Copper ores and concentrates,AT,0.908417974756,-8.886799241570633e-09
Copper ores and concentrates,AU,14433.4037025,-0.0032996613514054414
Copper ores and concentrates,BE,12.2515032394,-4.8274517932241595e-06
Copper ores and concentrates,BG,837.6323159,-2.545614126687227e-05
Copper ores and concentrates,BR,1742.77781138,-0.0027045498921321304
Copper ores and concentrates,CA,7257.07261786,-0.0015321228717861848
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,43919.9627638,-0.20783924814212523
Copper ores and concentrates,CY,0.734090307949,-1.2317901998106542e-08
Copper ores and concentrates,CZ,2.39175106534,-9.684731753856555e-08
Copper ores and concentrates,DE,1.10565168318,-7.113404555848304e-07
Copper ores and concentrates,DK,1.35293597845,-5.59764520542315e-08
Copper ores and concentrates,EE,0.0320509432062,-2.5128911545274193e-11
Copper ores and concentrates,ES,496.353395253,-0.0007932141303945948
Copper ores and concentrates,FI,538.94670155,-2.5307106030217338e-05
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,2.32508699842,-1.0176333999914258e-07
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,6.10922507767,-1.2266199377530362e-07
Copper ores and concentrates,HU,0.0924900980802,-1.888461954939252e-11
Copper ores and concentrates,ID,3606.95862624,-0.0012758655641320685
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,424.233300452,-0.0003343409174517849
Copper ores and concentrates,IT,0.193304022222,-3.2145309845471005e-10
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,0.155091561763,-0.00032510479446658973
Copper ores and concentrates,LT,0.00887414507619,-2.028266012362114e-11
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.78241641194,-1.38936307534419e-09
Copper ores and concentrates,MT,0.00165359784224,-8.981655979251605e-13
Copper ores and concentrates,MX,6855.74572401,-0.0036735188271974166
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,1.87139876818,-3.6757685162741755e-07
Copper ores and concentrates,PL,3651.30003326,-0.00024016870568338756
Copper ores and concentrates,PT,50.9235379938,-8.509742771423063e-07
