Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.13019429474582978
Aluminium and aluminium products,AU,10788.8621591,-0.007795995872005717
Aluminium and aluminium products,BE,5247.38034134,-0.07784676594381622
Aluminium and aluminium products,BG,1519.97837587,-0.012540034747181334
Aluminium and aluminium products,BR,9914.80918982,-0.012104271907005639
Aluminium and aluminium products,CA,20401.1714152,-0.22405473745827295
Aluminium and aluminium products,CH,664.221654607,-0.008712059344736487
Aluminium and aluminium products,CN,267795.177986,-1.5032453655315543
Aluminium and aluminium products,CY,202.027361746,-1.7270451831657937e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.1744774601103742
Aluminium and aluminium products,DE,29109.7538681,-0.48198029303690426
Aluminium and aluminium products,DK,1842.84710324,-0.030098102784537374
Aluminium and aluminium products,EE,101.53719116,-0.0027721759858911348
Aluminium and aluminium products,ES,8208.21094615,-0.03171425005504361
Aluminium and aluminium products,FI,752.680853488,-0.01810417797913513
Aluminium and aluminium products,FR,8846.32397853,-0.06135544977169067
Aluminium and aluminium products,GB,13378.5976996,-0.06747107339182266
Aluminium and aluminium products,GR,2553.08976835,-0.022499787428394945
Aluminium and aluminium products,HR,560.379064274,-0.006699721847621321
Aluminium and aluminium products,HU,286.469504551,-0.0013813495458457612
Aluminium and aluminium products,ID,2586.29818798,-0.007371913047450195
Aluminium and aluminium products,IE,879.068440269,-0.0020217685497580266
Aluminium and aluminium products,IN,13943.6830579,-0.05098502954486379
Aluminium and aluminium products,IT,11485.2948435,-0.14613117271195905
Aluminium and aluminium products,JP,22875.3451004,-0.07193234514372696
Aluminium and aluminium products,KR,8309.49105106,-0.060136451029219794
Aluminium and aluminium products,LT,6.93599649202,-0.0022422529077956313
Aluminium and aluminium products,LU,74.0640426448,-0.004758183850585123
Aluminium and aluminium products,LV,296.259954279,-0.08626741689832186
Aluminium and aluminium products,MT,0.00497401513167,-5.423008648852513e-09
Aluminium and aluminium products,MX,5745.06290448,-0.02773992073910519
Aluminium and aluminium products,NL,3870.86435818,-0.05922029321790555
Aluminium and aluminium products,NO,4042.99806768,-0.021113327217424895
Aluminium and aluminium products,PL,6503.02267632,-4.523124277401142
Aluminium and aluminium products,PT,1201.85724097,-0.0019351440995402417
Aluminium and aluminium products,RO,1296.42742076,-0.011508870404638605
Aluminium and aluminium products,RU,17915.3872454,-1.8488212763007061
Aluminium and aluminium products,SE,3090.46542881,-2.0154123451263364
Aluminium and aluminium products,SI,2312.04475031,-0.02677915870168913
Aluminium and aluminium products,SK,2260.89388142,-0.02855432119109625
Aluminium and aluminium products,TR,9962.96552508,-0.08294182696786716
Aluminium and aluminium products,TW,9319.81261143,-0.006301265019550625
Aluminium and aluminium products,US,110792.994735,-0.2629669937689817
Aluminium and aluminium products,WA,23768.5900005,-0.25668988419223454
Aluminium and aluminium products,WE,4791.31875552,-0.10802921611584843
Aluminium and aluminium products,WF,8032.46962605,-0.01501075785724726
Aluminium and aluminium products,WL,9275.39526692,-0.06315669054479454
Aluminium and aluminium products,WM,19937.1975904,-0.11164663678484067
Aluminium and aluminium products,ZA,1122.58615792,-0.005148417491177522
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0006103095931077228
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.2726850885768496e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00028647801916619744
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-7.580252124017303e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
