Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.09612464376967436
Aluminium and aluminium products,AU,12531.9933192,-0.019135640326955996
Aluminium and aluminium products,BE,3993.548713,-0.07788064336715522
Aluminium and aluminium products,BG,499.437458924,-0.005836315205797106
Aluminium and aluminium products,BR,6454.85163457,-0.01423890856926893
Aluminium and aluminium products,CA,11960.2679472,-0.10958205698701023
Aluminium and aluminium products,CH,643.630526142,-0.018719597784372176
Aluminium and aluminium products,CN,302689.359677,-7.464381261952227
Aluminium and aluminium products,CY,41.8048397461,-0.0008214299077297386
Aluminium and aluminium products,CZ,2954.31147437,-0.01876042090602738
Aluminium and aluminium products,DE,19165.2510876,-0.6786121078312114
Aluminium and aluminium products,DK,1236.94914834,-0.014740595476879333
Aluminium and aluminium products,EE,91.1103938161,-0.000608114729576969
Aluminium and aluminium products,ES,7461.13251474,-0.06834829124079077
Aluminium and aluminium products,FI,356.727766315,-0.004317531845937815
Aluminium and aluminium products,FR,5375.02085894,-0.40917428015678653
Aluminium and aluminium products,GB,8010.48600955,-0.4387893816108635
Aluminium and aluminium products,GR,2044.34637917,-0.030719348345937862
Aluminium and aluminium products,HR,505.814973588,-0.007295107067829205
Aluminium and aluminium products,HU,1306.27668286,-0.014455501694384044
Aluminium and aluminium products,ID,1068.52181168,-0.007845984701851959
Aluminium and aluminium products,IE,2172.43289372,-0.7883134392300359
Aluminium and aluminium products,IN,11978.7770986,-0.03630855855294516
Aluminium and aluminium products,IT,8923.67302338,-0.17995804063997378
Aluminium and aluminium products,JP,17109.5947277,-0.07120347623543148
Aluminium and aluminium products,KR,8673.57009522,-0.06238916858085837
Aluminium and aluminium products,LT,19.3725198714,-0.0005233633252733339
Aluminium and aluminium products,LU,409.396696263,-1.8648002837014566
Aluminium and aluminium products,LV,54.691662585,-0.004501056291393887
Aluminium and aluminium products,MT,11.6180007714,-0.0005204404095139493
Aluminium and aluminium products,MX,2504.363198,-0.022176513958436575
Aluminium and aluminium products,NL,2940.82747966,-0.11610267997657195
Aluminium and aluminium products,NO,4583.64797675,-0.03038920637430159
Aluminium and aluminium products,PL,3840.61096127,-0.034528771998452834
Aluminium and aluminium products,PT,543.258501954,-0.004661743539145373
Aluminium and aluminium products,RO,1168.18927683,-0.011682787673149843
Aluminium and aluminium products,RU,18879.1824496,-0.006395223053604074
Aluminium and aluminium products,SE,2135.19162301,-0.06256018705268926
Aluminium and aluminium products,SI,1443.72820135,-0.02315318775221267
Aluminium and aluminium products,SK,1696.23637467,-0.022521410558882946
Aluminium and aluminium products,TR,2580.28860824,-0.0872280440388982
Aluminium and aluminium products,TW,6095.69118313,-0.008478850543002587
Aluminium and aluminium products,US,48679.1996737,-0.3558294970356206
Aluminium and aluminium products,WA,15732.4429953,-0.1097903436520679
Aluminium and aluminium products,WE,3559.27925605,-0.02058999325201644
Aluminium and aluminium products,WF,6427.26361047,-0.016473020509588224
Aluminium and aluminium products,WL,7475.69132895,-0.034786839297453395
Aluminium and aluminium products,WM,11805.3345042,-0.07281624950665642
Aluminium and aluminium products,ZA,797.040743415,-0.005848948753214353
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.03111976236989677
Aluminium ores and concentrates,BE,2.84444912715,-2.578481093963958e-06
Aluminium ores and concentrates,BG,0.138495096199,-5.702639406299101e-08
Aluminium ores and concentrates,BR,280.581818121,-0.003611710363956395
Aluminium ores and concentrates,CA,207.504378799,-0.000118658072626881
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.07351986099030995
Aluminium ores and concentrates,CY,0.00421751898077,-8.346474694543099e-10
Aluminium ores and concentrates,CZ,12.1417238024,-1.943347699291064e-05
Aluminium ores and concentrates,DE,1.19660977212,-1.619362841910047e-05
Aluminium ores and concentrates,DK,4.3419884646,-5.172357955950673e-06
Aluminium ores and concentrates,EE,0.0661687596157,-2.7092772079374203e-09
Aluminium ores and concentrates,ES,7.56486150521,-5.038284645171304e-06
Aluminium ores and concentrates,FI,1.96593974192,-4.378910483749111e-07
Aluminium ores and concentrates,FR,34.5354208783,-0.00018166512737915498
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0014594935635362347
Aluminium ores and concentrates,HR,19.4130743772,-1.2180092503709938e-05
Aluminium ores and concentrates,HU,4.80949295081,-3.865518757522584e-06
Aluminium ores and concentrates,ID,390.485203219,-0.008286250518949096
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00032829929086475876
Aluminium ores and concentrates,IT,73.5791874402,-0.0005121741725715828
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-7.076248170142099e-08
Aluminium ores and concentrates,MT,0.0265288720645,-9.957012335855081e-10
Aluminium ores and concentrates,MX,0.114142565282,-4.1287050104877055e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-1.0188155816047714e-07
Aluminium ores and concentrates,PL,6.84794213703,-2.2708892196933988e-05
