Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,0.0
Aluminium and aluminium products,AU,12531.9933192,0.0
Aluminium and aluminium products,BE,3993.548713,0.0
Aluminium and aluminium products,BG,499.437458924,0.0
Aluminium and aluminium products,BR,6454.85163457,0.0
Aluminium and aluminium products,CA,11960.2679472,0.0
Aluminium and aluminium products,CH,643.630526142,0.0
Aluminium and aluminium products,CN,302689.359677,0.0
Aluminium and aluminium products,CY,41.8048397461,0.0
Aluminium and aluminium products,CZ,2954.31147437,0.0
Aluminium and aluminium products,DE,19165.2510876,0.0
Aluminium and aluminium products,DK,1236.94914834,0.0
Aluminium and aluminium products,EE,91.1103938161,0.0
Aluminium and aluminium products,ES,7461.13251474,0.0
Aluminium and aluminium products,FI,356.727766315,0.0
Aluminium and aluminium products,FR,5375.02085894,0.0
Aluminium and aluminium products,GB,8010.48600955,0.0
Aluminium and aluminium products,GR,2044.34637917,0.0
Aluminium and aluminium products,HR,505.814973588,0.0
Aluminium and aluminium products,HU,1306.27668286,0.0
Aluminium and aluminium products,ID,1068.52181168,0.0
Aluminium and aluminium products,IE,2172.43289372,0.0
Aluminium and aluminium products,IN,11978.7770986,0.0
Aluminium and aluminium products,IT,8923.67302338,0.0
Aluminium and aluminium products,JP,17109.5947277,0.0
Aluminium and aluminium products,KR,8673.57009522,0.0
Aluminium and aluminium products,LT,19.3725198714,0.0
Aluminium and aluminium products,LU,409.396696263,0.0
Aluminium and aluminium products,LV,54.691662585,0.0
Aluminium and aluminium products,MT,11.6180007714,0.0
Aluminium and aluminium products,MX,2504.363198,0.0
Aluminium and aluminium products,NL,2940.82747966,0.0
Aluminium and aluminium products,NO,4583.64797675,0.0
Aluminium and aluminium products,PL,3840.61096127,0.0
Aluminium and aluminium products,PT,543.258501954,0.0
Aluminium and aluminium products,RO,1168.18927683,0.0
Aluminium and aluminium products,RU,18879.1824496,0.0
Aluminium and aluminium products,SE,2135.19162301,0.0
Aluminium and aluminium products,SI,1443.72820135,0.0
Aluminium and aluminium products,SK,1696.23637467,0.0
Aluminium and aluminium products,TR,2580.28860824,0.0
Aluminium and aluminium products,TW,6095.69118313,0.0
Aluminium and aluminium products,US,48679.1996737,0.0
Aluminium and aluminium products,WA,15732.4429953,0.0
Aluminium and aluminium products,WE,3559.27925605,0.0
Aluminium and aluminium products,WF,6427.26361047,0.0
Aluminium and aluminium products,WL,7475.69132895,0.0
Aluminium and aluminium products,WM,11805.3345042,0.0
Aluminium and aluminium products,ZA,797.040743415,0.0
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,0.0
Aluminium ores and concentrates,BE,2.84444912715,0.0
Aluminium ores and concentrates,BG,0.138495096199,0.0
Aluminium ores and concentrates,BR,280.581818121,0.0
Aluminium ores and concentrates,CA,207.504378799,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,0.0
Aluminium ores and concentrates,CY,0.00421751898077,0.0
Aluminium ores and concentrates,CZ,12.1417238024,0.0
Aluminium ores and concentrates,DE,1.19660977212,0.0
Aluminium ores and concentrates,DK,4.3419884646,0.0
Aluminium ores and concentrates,EE,0.0661687596157,0.0
Aluminium ores and concentrates,ES,7.56486150521,0.0
Aluminium ores and concentrates,FI,1.96593974192,0.0
Aluminium ores and concentrates,FR,34.5354208783,0.0
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,0.0
Aluminium ores and concentrates,HR,19.4130743772,0.0
Aluminium ores and concentrates,HU,4.80949295081,0.0
Aluminium ores and concentrates,ID,390.485203219,0.0
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,0.0
Aluminium ores and concentrates,IT,73.5791874402,0.0
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,0.0
Aluminium ores and concentrates,MT,0.0265288720645,0.0
Aluminium ores and concentrates,MX,0.114142565282,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,0.0
Aluminium ores and concentrates,PL,6.84794213703,0.0
Aluminium ores and concentrates,PT,0.00886102172329,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,0.0
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,0.0
Aluminium ores and concentrates,TR,16.7608883352,0.0
Aluminium ores and concentrates,TW,26.0103873936,0.0
Aluminium ores and concentrates,US,184.282016273,0.0
Aluminium ores and concentrates,WA,1599.52781152,0.0
Aluminium ores and concentrates,WE,117.07475279,0.0
Aluminium ores and concentrates,WF,986.894287433,0.0
Aluminium ores and concentrates,WL,416.43589486,0.0
Aluminium ores and concentrates,WM,1022.5175986,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4200.61507379,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AU,13515.7327983,0.0
Basic iron and steel and of ferro-alloys and first products thereof,BE,8548.74860532,0.0
Basic iron and steel and of ferro-alloys and first products thereof,BG,61.3541596005,0.0
Basic iron and steel and of ferro-alloys and first products thereof,BR,44378.3270276,0.0
Basic iron and steel and of ferro-alloys and first products thereof,CA,24113.7611741,0.0
Basic iron and steel and of ferro-alloys and first products thereof,CH,912.41951381,0.0
Basic iron and steel and of ferro-alloys and first products thereof,CN,1483520.9035,0.0
Basic iron and steel and of ferro-alloys and first products thereof,CY,42.3680189302,0.0
Basic iron and steel and of ferro-alloys and first products thereof,CZ,4404.32857606,0.0
Basic iron and steel and of ferro-alloys and first products thereof,DE,66859.9415061,0.0
Basic iron and steel and of ferro-alloys and first products thereof,DK,1733.93462927,0.0
Basic iron and steel and of ferro-alloys and first products thereof,EE,429.773184691,0.0
Basic iron and steel and of ferro-alloys and first products thereof,ES,27226.0297078,0.0
Basic iron and steel and of ferro-alloys and first products thereof,FI,6209.46744502,0.0
