Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0164626685142059
Aluminium and aluminium products,AU,12531.9933192,-0.010221594550684393
Aluminium and aluminium products,BE,3993.548713,-0.015320786402560153
Aluminium and aluminium products,BG,499.437458924,-0.0026858513840018372
Aluminium and aluminium products,BR,6454.85163457,-0.0063281866795627285
Aluminium and aluminium products,CA,11960.2679472,-0.040988932380746086
Aluminium and aluminium products,CH,643.630526142,-0.002172704522983143
Aluminium and aluminium products,CN,302689.359677,-2.0306056408670767
Aluminium and aluminium products,CY,41.8048397461,-0.0005968710417142675
Aluminium and aluminium products,CZ,2954.31147437,-0.0039055801780926093
Aluminium and aluminium products,DE,19165.2510876,-0.08528386039343804
Aluminium and aluminium products,DK,1236.94914834,-0.003622402456666496
Aluminium and aluminium products,EE,91.1103938161,-0.0004764348288066181
Aluminium and aluminium products,ES,7461.13251474,-0.015372518990408812
Aluminium and aluminium products,FI,356.727766315,-0.0016942157664229238
Aluminium and aluminium products,FR,5375.02085894,-0.043934854751841515
Aluminium and aluminium products,GB,8010.48600955,-0.028226303246407
Aluminium and aluminium products,GR,2044.34637917,-0.01322092455732207
Aluminium and aluminium products,HR,505.814973588,-0.0037205666977504635
Aluminium and aluminium products,HU,1306.27668286,-0.00485205384423041
Aluminium and aluminium products,ID,1068.52181168,-0.007725703774257206
Aluminium and aluminium products,IE,2172.43289372,-0.003260581918992097
Aluminium and aluminium products,IN,11978.7770986,-0.022113847166685168
Aluminium and aluminium products,IT,8923.67302338,-0.03951366443691719
Aluminium and aluminium products,JP,17109.5947277,-0.0300044021242145
Aluminium and aluminium products,KR,8673.57009522,-0.030798062987311296
Aluminium and aluminium products,LT,19.3725198714,-0.0003970676579227425
Aluminium and aluminium products,LU,409.396696263,-0.0059136892367922765
Aluminium and aluminium products,LV,54.691662585,-0.005356173586521316
Aluminium and aluminium products,MT,11.6180007714,-0.023059367853568092
Aluminium and aluminium products,MX,2504.363198,-0.009364313729406486
Aluminium and aluminium products,NL,2940.82747966,-0.008986954668228873
Aluminium and aluminium products,NO,4583.64797675,-0.0072850793512154845
Aluminium and aluminium products,PL,3840.61096127,-0.007655298333790164
Aluminium and aluminium products,PT,543.258501954,-0.0023617492047106475
Aluminium and aluminium products,RO,1168.18927683,-0.003461565059724347
Aluminium and aluminium products,RU,18879.1824496,-0.005861859515637135
Aluminium and aluminium products,SE,2135.19162301,-0.024477192461743125
Aluminium and aluminium products,SI,1443.72820135,-0.017797590872732316
Aluminium and aluminium products,SK,1696.23637467,-0.002460081125020671
Aluminium and aluminium products,TR,2580.28860824,-0.006577061261151538
Aluminium and aluminium products,TW,6095.69118313,-0.008513533661779163
Aluminium and aluminium products,US,48679.1996737,-0.11871570870941675
Aluminium and aluminium products,WA,15732.4429953,-0.030962767084813353
Aluminium and aluminium products,WE,3559.27925605,-0.006783120588598751
Aluminium and aluminium products,WF,6427.26361047,-0.007282064792080867
Aluminium and aluminium products,WL,7475.69132895,-0.02012180505779333
Aluminium and aluminium products,WM,11805.3345042,-0.03830272758549811
Aluminium and aluminium products,ZA,797.040743415,-0.005308569150567373
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.023156613547279603
Aluminium ores and concentrates,BE,2.84444912715,-5.883547685946526e-07
Aluminium ores and concentrates,BG,0.138495096199,-6.914792142901296e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0021077239905665473
Aluminium ores and concentrates,CA,207.504378799,-6.768866416999173e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.035125914586777725
Aluminium ores and concentrates,CY,0.00421751898077,-1.1573898644751839e-09
Aluminium ores and concentrates,CZ,12.1417238024,-1.1417521308587741e-05
Aluminium ores and concentrates,DE,1.19660977212,-2.763699844600996e-06
Aluminium ores and concentrates,DK,4.3419884646,-2.7183351156834716e-06
Aluminium ores and concentrates,EE,0.0661687596157,-2.0976802307091007e-09
Aluminium ores and concentrates,ES,7.56486150521,-2.249971102435016e-06
Aluminium ores and concentrates,FI,1.96593974192,-3.578357800267814e-07
Aluminium ores and concentrates,FR,34.5354208783,-5.117962025346933e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0015320338396674661
Aluminium ores and concentrates,HR,19.4130743772,-1.1902532991025993e-05
Aluminium ores and concentrates,HU,4.80949295081,-2.7979638211699983e-06
Aluminium ores and concentrates,ID,390.485203219,-0.009703703998832944
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.0002455581948933314
Aluminium ores and concentrates,IT,73.5791874402,-6.41789187914647e-05
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-8.482482459134519e-08
Aluminium ores and concentrates,MT,0.0265288720645,-3.6509136925186947e-07
Aluminium ores and concentrates,MX,0.114142565282,-1.5835417664955896e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-6.32727472871128e-08
Aluminium ores and concentrates,PL,6.84794213703,-3.918678075375028e-06
Aluminium ores and concentrates,PT,0.00886102172329,-2.163540407810119e-09
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-6.846444346744433e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-2.4275274009824226e-06
Aluminium ores and concentrates,TR,16.7608883352,-0.00048283079880883446
Aluminium ores and concentrates,TW,26.0103873936,-3.074145142267944e-05
Aluminium ores and concentrates,US,184.282016273,-4.829363725549754e-05
Aluminium ores and concentrates,WA,1599.52781152,-0.014058029367845459
