Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0018994254994696242
Aluminium and aluminium products,AU,12531.9933192,-0.002193132295315174
Aluminium and aluminium products,BE,3993.548713,-0.004803665196622125
Aluminium and aluminium products,BG,499.437458924,-0.00021592618306123917
Aluminium and aluminium products,BR,6454.85163457,-0.005058055224010356
Aluminium and aluminium products,CA,11960.2679472,-0.10769141856527485
Aluminium and aluminium products,CH,643.630526142,-0.0003041472989899916
Aluminium and aluminium products,CN,302689.359677,-1.149649243642158
Aluminium and aluminium products,CY,41.8048397461,-1.4153823412570667e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.0005700144566303743
Aluminium and aluminium products,DE,19165.2510876,-0.030158977046574206
Aluminium and aluminium products,DK,1236.94914834,-0.0005853717737227954
Aluminium and aluminium products,EE,91.1103938161,-7.6164227876630635e-06
Aluminium and aluminium products,ES,7461.13251474,-0.005698777892107993
Aluminium and aluminium products,FI,356.727766315,-0.00010266126376271929
Aluminium and aluminium products,FR,5375.02085894,-0.01585977355975542
Aluminium and aluminium products,GB,8010.48600955,-0.01585858814635218
Aluminium and aluminium products,GR,2044.34637917,-0.001441317206626394
Aluminium and aluminium products,HR,505.814973588,-9.600987690218682e-05
Aluminium and aluminium products,HU,1306.27668286,-0.0005039337309246954
Aluminium and aluminium products,ID,1068.52181168,-0.0007908501817444455
Aluminium and aluminium products,IE,2172.43289372,-0.0006737236072133958
Aluminium and aluminium products,IN,11978.7770986,-0.0066734432959521285
Aluminium and aluminium products,IT,8923.67302338,-0.004874675868296123
Aluminium and aluminium products,JP,17109.5947277,-0.020365489722560318
Aluminium and aluminium products,KR,8673.57009522,-0.014831549726716027
Aluminium and aluminium products,LT,19.3725198714,-3.60557902312478e-06
Aluminium and aluminium products,LU,409.396696263,-0.0013226692783626245
Aluminium and aluminium products,LV,54.691662585,-9.992273565682681e-05
Aluminium and aluminium products,MT,11.6180007714,-2.245018972864645e-06
Aluminium and aluminium products,MX,2504.363198,-1.0297592020737798
Aluminium and aluminium products,NL,2940.82747966,-0.0038343440282491577
Aluminium and aluminium products,NO,4583.64797675,-0.001914111066547979
Aluminium and aluminium products,PL,3840.61096127,-0.0012908479983848103
Aluminium and aluminium products,PT,543.258501954,-0.00039915768802531763
Aluminium and aluminium products,RO,1168.18927683,-0.00019004900454174615
Aluminium and aluminium products,RU,18879.1824496,-0.0006114269529272157
Aluminium and aluminium products,SE,2135.19162301,-0.005264416633580717
Aluminium and aluminium products,SI,1443.72820135,-0.0005696230416833834
Aluminium and aluminium products,SK,1696.23637467,-0.00023814447398568428
Aluminium and aluminium products,TR,2580.28860824,-0.0014475853115771995
Aluminium and aluminium products,TW,6095.69118313,-0.0016433982646688057
Aluminium and aluminium products,US,48679.1996737,-0.7432110351168616
Aluminium and aluminium products,WA,15732.4429953,-0.019271118731056722
Aluminium and aluminium products,WE,3559.27925605,-0.0009482652096403315
Aluminium and aluminium products,WF,6427.26361047,-0.0008355216165029406
Aluminium and aluminium products,WL,7475.69132895,-0.027475570410432984
Aluminium and aluminium products,WM,11805.3345042,-0.006761643851978782
Aluminium and aluminium products,ZA,797.040743415,-0.00027717599528558393
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.003197592846676564
Aluminium ores and concentrates,BE,2.84444912715,-6.956429250158276e-08
Aluminium ores and concentrates,BG,0.138495096199,-9.548572068270651e-09
Aluminium ores and concentrates,BR,280.581818121,-0.000844691185490541
Aluminium ores and concentrates,CA,207.504378799,-0.0003649404368762544
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.032604372613803875
Aluminium ores and concentrates,CY,0.00421751898077,-1.845879965003016e-12
Aluminium ores and concentrates,CZ,12.1417238024,-5.381705663045096e-07
Aluminium ores and concentrates,DE,1.19660977212,-6.900752614592691e-07
Aluminium ores and concentrates,DK,4.3419884646,-2.6762375576020696e-07
Aluminium ores and concentrates,EE,0.0661687596157,-1.2337250679533353e-10
Aluminium ores and concentrates,ES,7.56486150521,-1.909757358145913e-07
Aluminium ores and concentrates,FI,1.96593974192,-1.8779034002919296e-08
Aluminium ores and concentrates,FR,34.5354208783,-3.9302653964489805e-06
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-7.145688472227638e-05
Aluminium ores and concentrates,HR,19.4130743772,-2.8891721241464287e-07
Aluminium ores and concentrates,HU,4.80949295081,-3.7338001898429144e-07
