Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.17118803723219034
Aluminium and aluminium products,AU,12531.9933192,-0.05071682678635919
Aluminium and aluminium products,BE,3993.548713,-0.516061715046353
Aluminium and aluminium products,BG,499.437458924,-0.0022131709191656993
Aluminium and aluminium products,BR,6454.85163457,-0.016560194178107824
Aluminium and aluminium products,CA,11960.2679472,-0.23189536916635
Aluminium and aluminium products,CH,643.630526142,-0.006894860345152486
Aluminium and aluminium products,CN,302689.359677,-3.494976919172835
Aluminium and aluminium products,CY,41.8048397461,-7.688549922488639e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.019151941920190957
Aluminium and aluminium products,DE,19165.2510876,-3.5757015109469488
Aluminium and aluminium products,DK,1236.94914834,-0.0309370648443062
Aluminium and aluminium products,EE,91.1103938161,-0.00014050127570755712
Aluminium and aluminium products,ES,7461.13251474,-0.07432290617792948
Aluminium and aluminium products,FI,356.727766315,-0.004108760200714098
Aluminium and aluminium products,FR,5375.02085894,-0.18554903211619328
Aluminium and aluminium products,GB,8010.48600955,-0.9920480168222778
Aluminium and aluminium products,GR,2044.34637917,-0.04365558408460997
Aluminium and aluminium products,HR,505.814973588,-0.002832970205211857
Aluminium and aluminium products,HU,1306.27668286,-0.04929748943072291
Aluminium and aluminium products,ID,1068.52181168,-0.00796010036373921
Aluminium and aluminium products,IE,2172.43289372,-0.019025319426640982
Aluminium and aluminium products,IN,11978.7770986,-0.04003518391058051
Aluminium and aluminium products,IT,8923.67302338,-0.4055708734322951
Aluminium and aluminium products,JP,17109.5947277,-0.14114892561518527
Aluminium and aluminium products,KR,8673.57009522,-0.09838084992351208
Aluminium and aluminium products,LT,19.3725198714,-0.00011966338318370708
Aluminium and aluminium products,LU,409.396696263,-0.017833261679783777
Aluminium and aluminium products,LV,54.691662585,-0.0017053822958217832
Aluminium and aluminium products,MT,11.6180007714,-8.703994419110419e-05
Aluminium and aluminium products,MX,2504.363198,-0.012838560126154938
Aluminium and aluminium products,NL,2940.82747966,-14.116165639028411
Aluminium and aluminium products,NO,4583.64797675,-0.07977310309910161
Aluminium and aluminium products,PL,3840.61096127,-0.09572416477759788
Aluminium and aluminium products,PT,543.258501954,-0.006764523268322807
Aluminium and aluminium products,RO,1168.18927683,-0.0050998930674802465
Aluminium and aluminium products,RU,18879.1824496,-0.004159504702859553
Aluminium and aluminium products,SE,2135.19162301,-0.11105526411560368
Aluminium and aluminium products,SI,1443.72820135,-0.015234673238250515
Aluminium and aluminium products,SK,1696.23637467,-0.008611908370275284
Aluminium and aluminium products,TR,2580.28860824,-0.024789205693262307
Aluminium and aluminium products,TW,6095.69118313,-0.0059791178825098846
Aluminium and aluminium products,US,48679.1996737,-0.5600634988970079
Aluminium and aluminium products,WA,15732.4429953,-0.1336925291669753
Aluminium and aluminium products,WE,3559.27925605,-0.02051126028665813
