Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.09610796410088071
Aluminium and aluminium products,AU,10788.8621591,-0.006519701749177303
Aluminium and aluminium products,BE,5247.38034134,-0.1373302053854718
Aluminium and aluminium products,BG,1519.97837587,-0.0033696719573006735
Aluminium and aluminium products,BR,9914.80918982,-0.009398554389243093
Aluminium and aluminium products,CA,20401.1714152,-0.29380799018456505
Aluminium and aluminium products,CH,664.221654607,-0.00743780541175753
Aluminium and aluminium products,CN,267795.177986,-1.0903254696320477
Aluminium and aluminium products,CY,202.027361746,-3.770011164654164e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.04288997978886233
Aluminium and aluminium products,DE,29109.7538681,-2.7002667255050046
Aluminium and aluminium products,DK,1842.84710324,-0.27052863112943804
Aluminium and aluminium products,EE,101.53719116,-0.0005644020281517586
Aluminium and aluminium products,ES,8208.21094615,-0.04734000987859331
Aluminium and aluminium products,FI,752.680853488,-0.02714563914459562
Aluminium and aluminium products,FR,8846.32397853,-0.057958369756464095
Aluminium and aluminium products,GB,13378.5976996,-1.3965722346145604
Aluminium and aluminium products,GR,2553.08976835,-0.011667266365384295
Aluminium and aluminium products,HR,560.379064274,-0.002156636870195997
Aluminium and aluminium products,HU,286.469504551,-0.0004621269618417031
Aluminium and aluminium products,ID,2586.29818798,-0.011179096527952084
Aluminium and aluminium products,IE,879.068440269,-0.002482845243699504
Aluminium and aluminium products,IN,13943.6830579,-0.05450327256662445
Aluminium and aluminium products,IT,11485.2948435,-0.11453865670025529
Aluminium and aluminium products,JP,22875.3451004,-0.029964980452057737
Aluminium and aluminium products,KR,8309.49105106,-0.044500584684039564
Aluminium and aluminium products,LT,6.93599649202,-0.00016059485078295552
Aluminium and aluminium products,LU,74.0640426448,-0.005986341308507864
Aluminium and aluminium products,LV,296.259954279,-0.00029025167700171066
Aluminium and aluminium products,MT,0.00497401513167,-1.775027237922253e-08
Aluminium and aluminium products,MX,5745.06290448,-0.020091236876625743
