Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.16613994201823215
Aluminium and aluminium products,AU,12531.9933192,-0.010636813193347005
Aluminium and aluminium products,BE,3993.548713,-0.09734278084021877
Aluminium and aluminium products,BG,499.437458924,-0.0060926767311027625
Aluminium and aluminium products,BR,6454.85163457,-0.0059850416201280895
Aluminium and aluminium products,CA,11960.2679472,-0.07071930025890515
Aluminium and aluminium products,CH,643.630526142,-0.0067433272974102435
Aluminium and aluminium products,CN,302689.359677,-2.8412345685726343
Aluminium and aluminium products,CY,41.8048397461,-8.11827411617597e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.1303918293041612
Aluminium and aluminium products,DE,19165.2510876,-2.3838608146777656
Aluminium and aluminium products,DK,1236.94914834,-0.033486241124462905
Aluminium and aluminium products,EE,91.1103938161,-0.00020589720568449163
Aluminium and aluminium products,ES,7461.13251474,-0.04551014806545582
Aluminium and aluminium products,FI,356.727766315,-0.007237067228562636
Aluminium and aluminium products,FR,5375.02085894,-0.12823470898549497
Aluminium and aluminium products,GB,8010.48600955,-0.2548928408305009
Aluminium and aluminium products,GR,2044.34637917,-0.028757436739357503
Aluminium and aluminium products,HR,505.814973588,-0.004530611305378293
Aluminium and aluminium products,HU,1306.27668286,-0.06257356085447893
Aluminium and aluminium products,ID,1068.52181168,-0.0016230080527480945
Aluminium and aluminium products,IE,2172.43289372,-0.006359053329468895
Aluminium and aluminium products,IN,11978.7770986,-0.019056004481935163
Aluminium and aluminium products,IT,8923.67302338,-0.2545562534336078
Aluminium and aluminium products,JP,17109.5947277,-0.04477650879490122
Aluminium and aluminium products,KR,8673.57009522,-0.03300276468714505
Aluminium and aluminium products,LT,19.3725198714,-0.00038786600544436095
Aluminium and aluminium products,LU,409.396696263,-0.008446613088744299
Aluminium and aluminium products,LV,54.691662585,-0.004561139236470729
Aluminium and aluminium products,MT,11.6180007714,-1.5182579420017369e-05
Aluminium and aluminium products,MX,2504.363198,-0.009810301414532284
Aluminium and aluminium products,NL,2940.82747966,-0.0417737841559019
Aluminium and aluminium products,NO,4583.64797675,-0.04767546751578824
Aluminium and aluminium products,PL,3840.61096127,-9.279089108155748
Aluminium and aluminium products,PT,543.258501954,-0.0024437839798034655
Aluminium and aluminium products,RO,1168.18927683,-0.015747281615648992
Aluminium and aluminium products,RU,18879.1824496,-0.010755907933727202
Aluminium and aluminium products,SE,2135.19162301,-0.0590654636036889
Aluminium and aluminium products,SI,1443.72820135,-0.028906768144734175
Aluminium and aluminium products,SK,1696.23637467,-0.06612647617721466
Aluminium and aluminium products,TR,2580.28860824,-0.026550370249031095
Aluminium and aluminium products,TW,6095.69118313,-0.004074008867938222
Aluminium and aluminium products,US,48679.1996737,-0.33779970407269355
Aluminium and aluminium products,WA,15732.4429953,-0.07332494200885058
Aluminium and aluminium products,WE,3559.27925605,-0.10104127365861156
Aluminium and aluminium products,WF,6427.26361047,-0.006555396909699073
Aluminium and aluminium products,WL,7475.69132895,-0.018774784764833557
Aluminium and aluminium products,WM,11805.3345042,-0.0522681662757681
Aluminium and aluminium products,ZA,797.040743415,-0.0045874977645457855
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.010243869413824918
Aluminium ores and concentrates,BE,2.84444912715,-6.457135453851026e-07
Aluminium ores and concentrates,BG,0.138495096199,-4.077365436886947e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0010362314736212213
Aluminium ores and concentrates,CA,207.504378799,-7.928911292914395e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.03157130178844786
Aluminium ores and concentrates,CY,0.00421751898077,-9.074954818620729e-12
Aluminium ores and concentrates,CZ,12.1417238024,-3.138316045723967e-05
Aluminium ores and concentrates,DE,1.19660977212,-1.9628211244284867e-05
Aluminium ores and concentrates,DK,4.3419884646,-4.824184956910339e-06
Aluminium ores and concentrates,EE,0.0661687596157,-2.325097083171884e-09
Aluminium ores and concentrates,ES,7.56486150521,-1.6301682450055413e-06
Aluminium ores and concentrates,FI,1.96593974192,-3.5164117201368965e-07
Aluminium ores and concentrates,FR,34.5354208783,-3.130743848817547e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.00041622013085274164
Aluminium ores and concentrates,HR,19.4130743772,-4.877969773340721e-06
Aluminium ores and concentrates,HU,4.80949295081,-9.16041700359382e-06
Aluminium ores and concentrates,ID,390.485203219,-0.001399450761414723
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00010164382434354189
Aluminium ores and concentrates,IT,73.5791874402,-2.1132087335398957e-05
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.620618277566,-4.5945048049752036e-08
Aluminium ores and concentrates,MT,0.0265288720645,-5.0611462128195195e-11
Aluminium ores and concentrates,MX,0.114142565282,-1.8312659849637012e-07
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.497017636283,-9.952336262619495e-08
Aluminium ores and concentrates,PL,6.84794213703,-0.0010496267035646598
Aluminium ores and concentrates,PT,0.00886102172329,-4.076543696281347e-09
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,78.5125085936,-6.227463805023459e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,4.95961127103,-6.968146370904154e-06
Aluminium ores and concentrates,TR,16.7608883352,-0.00034929767799084477
Aluminium ores and concentrates,TW,26.0103873936,-2.5157669793050474e-05
Aluminium ores and concentrates,US,184.282016273,-4.656552414846859e-05
Aluminium ores and concentrates,WA,1599.52781152,-0.009123929037956698
Aluminium ores and concentrates,WE,117.07475279,-0.043442126969105155
Aluminium ores and concentrates,WF,986.894287433,-0.008474050131601627
Aluminium ores and concentrates,WL,416.43589486,-0.0047437885901656955
Aluminium ores and concentrates,WM,1022.5175986,-0.0009355028078631872
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4200.61507379,-0.5687997090751293
Basic iron and steel and of ferro-alloys and first products thereof,AU,13515.7327983,-0.025920585514620058
Basic iron and steel and of ferro-alloys and first products thereof,BE,8548.74860532,-0.4214539664570707
Basic iron and steel and of ferro-alloys and first products thereof,BG,61.3541596005,-0.0014230428117138468
Basic iron and steel and of ferro-alloys and first products thereof,BR,44378.3270276,-0.04302403949814612
Basic iron and steel and of ferro-alloys and first products thereof,CA,24113.7611741,-0.18880802020613868
Basic iron and steel and of ferro-alloys and first products thereof,CH,912.41951381,-0.014068100653478896
Basic iron and steel and of ferro-alloys and first products thereof,CN,1483520.9035,-2.5930839435476813
Basic iron and steel and of ferro-alloys and first products thereof,CY,42.3680189302,-1.6693161650136098e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,4404.32857606,-1.0303082528539425
Basic iron and steel and of ferro-alloys and first products thereof,DE,66859.9415061,-6.052335670948793
Basic iron and steel and of ferro-alloys and first products thereof,DK,1733.93462927,-0.072878911951248
Basic iron and steel and of ferro-alloys and first products thereof,EE,429.773184691,-0.0018660453749188553
Basic iron and steel and of ferro-alloys and first products thereof,ES,27226.0297078,-0.1973349165422825
Basic iron and steel and of ferro-alloys and first products thereof,FI,6209.46744502,-0.12350656965573348
Basic iron and steel and of ferro-alloys and first products thereof,FR,28044.8026459,-0.4081507092366174
Basic iron and steel and of ferro-alloys and first products thereof,GB,10459.9634056,-0.40495614064119934
Basic iron and steel and of ferro-alloys and first products thereof,GR,2903.38451829,-0.061785426956928506
Basic iron and steel and of ferro-alloys and first products thereof,HR,518.197009254,-0.005164947541782994
Basic iron and steel and of ferro-alloys and first products thereof,HU,2588.01504897,-0.2816594591026759
Basic iron and steel and of ferro-alloys and first products thereof,ID,10010.8315714,-0.06925513847122347
Basic iron and steel and of ferro-alloys and first products thereof,IE,409.319220675,-0.002648327574839631
Basic iron and steel and of ferro-alloys and first products thereof,IN,109916.482339,-0.2881597852749583
Basic iron and steel and of ferro-alloys and first products thereof,IT,38630.0756138,-1.0883904755848428
Basic iron and steel and of ferro-alloys and first products thereof,JP,212405.12581,-0.08011030339434426
Basic iron and steel and of ferro-alloys and first products thereof,KR,179575.348985,-0.09302341121002247
Basic iron and steel and of ferro-alloys and first products thereof,LT,45.0551342084,-0.0014524581978435113
Basic iron and steel and of ferro-alloys and first products thereof,LU,3302.87462406,-0.16956601668741478
Basic iron and steel and of ferro-alloys and first products thereof,LV,579.078911833,-0.0056431290947712405
Basic iron and steel and of ferro-alloys and first products thereof,MT,2.73494946959,-1.9414875610494048e-05
Basic iron and steel and of ferro-alloys and first products thereof,MX,20667.9002643,-0.07397688203409959
Basic iron and steel and of ferro-alloys and first products thereof,NL,1078.67048169,-0.03222266532364177
Basic iron and steel and of ferro-alloys and first products thereof,NO,2058.7192817,-0.07337113192528127
Basic iron and steel and of ferro-alloys and first products thereof,PL,16473.2654391,-21.21253032848198
Basic iron and steel and of ferro-alloys and first products thereof,PT,1666.83061757,-0.02786119144671854
Basic iron and steel and of ferro-alloys and first products thereof,RO,4346.21160071,-0.18058118213053945
Basic iron and steel and of ferro-alloys and first products thereof,RU,81804.9236408,-0.15697225378049592
Basic iron and steel and of ferro-alloys and first products thereof,SE,7130.11372836,-0.4563073629536849
Basic iron and steel and of ferro-alloys and first products thereof,SI,1120.21290342,-0.04855807864419247
Basic iron and steel and of ferro-alloys and first products thereof,SK,1139.56763628,-0.050655961801842994
Basic iron and steel and of ferro-alloys and first products thereof,TR,20999.2646868,-0.34965711257232435
Basic iron and steel and of ferro-alloys and first products thereof,TW,71744.7571404,-0.006872286364253401
Basic iron and steel and of ferro-alloys and first products thereof,US,130138.432411,-0.7088679955726471
Basic iron and steel and of ferro-alloys and first products thereof,WA,94034.7640963,-0.5373765699472425
Basic iron and steel and of ferro-alloys and first products thereof,WE,11113.7732743,-0.5719500731377429
Basic iron and steel and of ferro-alloys and first products thereof,WF,20416.4956618,-0.06410010023777381
Basic iron and steel and of ferro-alloys and first products thereof,WL,21000.6177451,-0.060079955405908166
Basic iron and steel and of ferro-alloys and first products thereof,WM,46754.4837228,-0.35504120675389267
Basic iron and steel and of ferro-alloys and first products thereof,ZA,11191.4456125,-0.01224812711883129
Copper ores and concentrates,AT,0.908417974756,-1.2683005998381334e-07
Copper ores and concentrates,AU,14433.4037025,-0.002031732598919517
Copper ores and concentrates,BE,12.2515032394,-3.6926905391764055e-05
Copper ores and concentrates,BG,837.6323159,-0.0003456512108203198
Copper ores and concentrates,BR,1742.77781138,-0.0019481788775136811
Copper ores and concentrates,CA,7257.07261786,-0.0010111159202145447
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,43919.9627638,-0.05338612020081695
Copper ores and concentrates,CY,0.734090307949,-1.2269428344481784e-08
Copper ores and concentrates,CZ,2.39175106534,-2.3717137099245557e-06
Copper ores and concentrates,DE,1.10565168318,-1.1984811290208092e-05
Copper ores and concentrates,DK,1.35293597845,-8.067443910169784e-07
Copper ores and concentrates,EE,0.0320509432062,-9.96969941779044e-10
Copper ores and concentrates,ES,496.353395253,-0.004274754700784479
Copper ores and concentrates,FI,538.94670155,-0.00026433211704839327
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,2.32508699842,-8.805403531625832e-07
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,6.10922507767,-2.8492608449708914e-06
Copper ores and concentrates,HU,0.0924900980802,-2.0182521194640484e-10
Copper ores and concentrates,ID,3606.95862624,-0.00038528993850172423
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,424.233300452,-0.00014375605247097175
Copper ores and concentrates,IT,0.193304022222,-1.6054599738685548e-09
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,0.155091561763,-2.965830792754117e-06
Copper ores and concentrates,LT,0.00887414507619,-3.468122839910719e-09
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.78241641194,-5.6906963547724154e-08
Copper ores and concentrates,MT,0.00165359784224,-3.1547697426961e-12
Copper ores and concentrates,MX,6855.74572401,-0.002998075290959396
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,1.87139876818,-3.905965738868663e-06
Copper ores and concentrates,PL,3651.30003326,-0.5402227463563225
Copper ores and concentrates,PT,50.9235379938,-6.890166964781118e-06
Copper ores and concentrates,RO,761.432452709,-0.0054167814376266275
Copper ores and concentrates,RU,2531.72288086,-0.0007588271375725332
Copper ores and concentrates,SE,1916.75123864,-0.0005371406646872872
Copper ores and concentrates,SI,1.9321340763,-1.2134259277552453e-07
Copper ores and concentrates,SK,1.96989014451,-1.752599803274979e-07
Copper ores and concentrates,TR,364.210643924,-0.0005292611644810474
Copper ores and concentrates,TW,323.219203569,-3.022777011461449e-05
Copper ores and concentrates,US,5658.31967461,-0.007613427717304145
Copper ores and concentrates,WA,10611.4575763,-0.010086131155240274
Copper ores and concentrates,WE,1190.02995336,-0.0009474713398924899
Copper ores and concentrates,WF,5535.67577041,-0.001750129259926939
Copper ores and concentrates,WL,14977.7942053,-0.01089204311997595
Copper ores and concentrates,WM,11098.0766539,-0.008521496401202231
Copper ores and concentrates,ZA,652.485136932,-0.00022047287054306376
Copper products,AT,3228.43145195,-0.04927172459299631
Copper products,AU,4855.65557667,-0.004317543932740543
Copper products,BE,11391.2724989,-0.135339979429141
Copper products,BG,4727.07895745,-0.11988864277636196
Copper products,BR,2276.50298167,-0.008019024492864192
Copper products,CA,4530.97171535,-0.02328433707175618
Copper products,CH,247.834695364,-0.003001976597191511
Copper products,CN,185942.772847,-27.13779967576982
Copper products,CY,38.8073115811,-4.2593370717774014e-05
Copper products,CZ,767.688428168,-0.08240921670646406
Copper products,DE,15626.8650221,-1.1090494771717254
Copper products,DK,223.17828621,-0.006446373401676482
Copper products,EE,48.3941146963,-0.000990148448139264
Copper products,ES,4045.71450775,-0.8727444875540913
Copper products,FI,1773.98133895,-0.01949205384274811
Copper products,FR,6717.29554397,-0.24205606668367433
Copper products,GB,3265.40889665,-0.18392134912864255
Copper products,GR,918.000798443,-0.013475948018170463
Copper products,HR,121.863831017,-0.0008301002905372614
Copper products,HU,31.9374256487,-0.001996478820229667
Copper products,ID,4720.20625618,-0.007647219154609471
Copper products,IE,44.2601179075,-0.000610850476208562
Copper products,IN,14297.811393,-0.03475686096188331
Copper products,IT,7000.74813796,-0.30984533778618567
Copper products,JP,13472.2633897,-0.0897577693926067
Copper products,KR,20640.3301708,-0.19740650040475904
Copper products,LT,41.0363580061,-0.01900759867755846
Copper products,LU,574.461665269,-0.02906246883654222
Copper products,LV,111.148011083,-0.0029283724072975774
Copper products,MT,8.38478951161,-9.390728806138572e-06
Copper products,MX,7762.6162524,-0.03435619521951605
Copper products,NL,2370.96676435,-0.04481891525694179
Copper products,NO,640.271879395,-0.01428033499012971
Copper products,PL,1606.47273409,-14.881036190112747
Copper products,PT,314.62833477,-0.019688726480411735
Copper products,RO,1890.2920371,-0.00886430963557227
Copper products,RU,10959.7511128,-0.01988557669355102
Copper products,SE,6033.99082444,-0.033028188114997706
Copper products,SI,233.173091421,-0.001954908053087803
Copper products,SK,2016.62965054,-0.016245366133181595
Copper products,TR,1627.89721251,-0.09454542165662067
Copper products,TW,2524.44384113,-0.045090951512041386
Copper products,US,23498.401874,-0.24714921411735813
Copper products,WA,11254.8538271,-0.15811163609919646
Copper products,WE,2512.71822062,-0.08058836790620558
Copper products,WF,4649.49551747,-0.1311499693346299
Copper products,WL,26594.6169905,-0.26514977917724436
Copper products,WM,8058.25087619,-0.05974468357170405
Copper products,ZA,439.640794742,-0.0044376068480749264
Electrical machinery and apparatus n.e.c. (31),AT,16604.4848932,-0.4695759970528011
Electrical machinery and apparatus n.e.c. (31),AU,21762.3315085,-0.02227748715303185
Electrical machinery and apparatus n.e.c. (31),BE,13260.8882506,-0.179666943001345
Electrical machinery and apparatus n.e.c. (31),BG,1897.52514164,-0.02224082903455919
Electrical machinery and apparatus n.e.c. (31),BR,21208.6842128,-0.027766014445905696
Electrical machinery and apparatus n.e.c. (31),CA,10605.1873445,-0.16842620821070892
Electrical machinery and apparatus n.e.c. (31),CH,21506.2408562,-0.3662015693980049
Electrical machinery and apparatus n.e.c. (31),CN,1208524.15293,-28.908117460826585
Electrical machinery and apparatus n.e.c. (31),CY,108.649210597,-2.154417592679093e-05
Electrical machinery and apparatus n.e.c. (31),CZ,18028.7322397,-2.340611861078563
Electrical machinery and apparatus n.e.c. (31),DE,157062.589973,-3.9869879140986613
