Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.019495934167656295
Aluminium and aluminium products,AU,12531.9933192,-0.009018610386515259
Aluminium and aluminium products,BE,3993.548713,-0.0665443064209779
Aluminium and aluminium products,BG,499.437458924,-0.001204564466092394
Aluminium and aluminium products,BR,6454.85163457,-0.013690393783547278
Aluminium and aluminium products,CA,11960.2679472,-0.07881456518001556
Aluminium and aluminium products,CH,643.630526142,-0.0037942596110451207
Aluminium and aluminium products,CN,302689.359677,-3.320310164299995
Aluminium and aluminium products,CY,41.8048397461,-1.022746587547832e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.005815720123054162
Aluminium and aluminium products,DE,19165.2510876,-0.5921606623228582
Aluminium and aluminium products,DK,1236.94914834,-0.005122459033003351
Aluminium and aluminium products,EE,91.1103938161,-5.0591925989707876e-05
Aluminium and aluminium products,ES,7461.13251474,-0.39585649256950983
Aluminium and aluminium products,FI,356.727766315,-0.0011668961506131723
Aluminium and aluminium products,FR,5375.02085894,-0.17354634732783708
Aluminium and aluminium products,GB,8010.48600955,-0.16435359889867315
Aluminium and aluminium products,GR,2044.34637917,-0.015357835555533994
Aluminium and aluminium products,HR,505.814973588,-0.0015022117933372245
Aluminium and aluminium products,HU,1306.27668286,-0.004758248110067466
Aluminium and aluminium products,ID,1068.52181168,-0.0016501991188158892
Aluminium and aluminium products,IE,2172.43289372,-0.011717937797138324
Aluminium and aluminium products,IN,11978.7770986,-0.020069569414775754
Aluminium and aluminium products,IT,8923.67302338,-0.05593331741889107
Aluminium and aluminium products,JP,17109.5947277,-0.03447375796615312
Aluminium and aluminium products,KR,8673.57009522,-0.02952940091015927
Aluminium and aluminium products,LT,19.3725198714,-6.300636173144994e-05
Aluminium and aluminium products,LU,409.396696263,-0.00865685357467491
Aluminium and aluminium products,LV,54.691662585,-0.00031764267048844084
Aluminium and aluminium products,MT,11.6180007714,-8.17736259310564e-06
Aluminium and aluminium products,MX,2504.363198,-0.010125898783912606
Aluminium and aluminium products,NL,2940.82747966,-0.023458881542823138
Aluminium and aluminium products,NO,4583.64797675,-0.013341906992559284
Aluminium and aluminium products,PL,3840.61096127,-0.014185640508750307
Aluminium and aluminium products,PT,543.258501954,-3.8741217226763176
Aluminium and aluminium products,RO,1168.18927683,-0.0023615245157575797
Aluminium and aluminium products,RU,18879.1824496,-0.002282017231688552
Aluminium and aluminium products,SE,2135.19162301,-0.019278508223150286
Aluminium and aluminium products,SI,1443.72820135,-0.00707738089958661
Aluminium and aluminium products,SK,1696.23637467,-0.002359101105280685
Aluminium and aluminium products,TR,2580.28860824,-0.019177793010732976
Aluminium and aluminium products,TW,6095.69118313,-0.004030803670614474
Aluminium and aluminium products,US,48679.1996737,-0.2709688769642265
Aluminium and aluminium products,WA,15732.4429953,-0.038947893183406836
Aluminium and aluminium products,WE,3559.27925605,-0.011413905581304043
Aluminium and aluminium products,WF,6427.26361047,-0.05257624975688128
Aluminium and aluminium products,WL,7475.69132895,-0.033151821313788465
Aluminium and aluminium products,WM,11805.3345042,-0.04788429440404802
Aluminium and aluminium products,ZA,797.040743415,-0.007834978436001318
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.014092771572910803
Aluminium ores and concentrates,BE,2.84444912715,-7.807188053669206e-07
Aluminium ores and concentrates,BG,0.138495096199,-2.1814401441187134e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0024447471279371103
Aluminium ores and concentrates,CA,207.504378799,-6.50509276163359e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.032644111965696034
Aluminium ores and concentrates,CY,0.00421751898077,-1.4357278779215004e-11
Aluminium ores and concentrates,CZ,12.1417238024,-9.181024528284103e-06
Aluminium ores and concentrates,DE,1.19660977212,-7.093815052404738e-06
Aluminium ores and concentrates,DK,4.3419884646,-2.0429593647400926e-06
Aluminium ores and concentrates,EE,0.0661687596157,-4.049462963022847e-10
Aluminium ores and concentrates,ES,7.56486150521,-2.2056750352588583e-05
Aluminium ores and concentrates,FI,1.96593974192,-1.2088358920850812e-07
Aluminium ores and concentrates,FR,34.5354208783,-5.882773929556569e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.000430048827743792
Aluminium ores and concentrates,HR,19.4130743772,-2.0498773455673337e-06
Aluminium ores and concentrates,HU,4.80949295081,-1.2764686966907148e-06
Aluminium ores and concentrates,ID,390.485203219,-0.0017078723616934203
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,2242.58684091,-0.00010261643333630306
