Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.11573637214082773
Aluminium and aluminium products,AU,10788.8621591,-0.007100013945562617
Aluminium and aluminium products,BE,5247.38034134,-0.054773465715557454
Aluminium and aluminium products,BG,1519.97837587,-0.8063287997572365
Aluminium and aluminium products,BR,9914.80918982,-0.010768956869134764
Aluminium and aluminium products,CA,20401.1714152,-0.26398587663454504
Aluminium and aluminium products,CH,664.221654607,-0.022568288292530617
Aluminium and aluminium products,CN,267795.177986,-1.7430415221807198
Aluminium and aluminium products,CY,202.027361746,-2.902882798364187e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.04926697604256463
Aluminium and aluminium products,DE,29109.7538681,-0.22521469920098391
Aluminium and aluminium products,DK,1842.84710324,-0.011176586503563823
Aluminium and aluminium products,EE,101.53719116,-0.00034613144721132007
Aluminium and aluminium products,ES,8208.21094615,-0.074324903065389
Aluminium and aluminium products,FI,752.680853488,-0.0027658496051322173
Aluminium and aluminium products,FR,8846.32397853,-0.08116901044802655
Aluminium and aluminium products,GB,13378.5976996,-0.097565037159253
Aluminium and aluminium products,GR,2553.08976835,-0.1182429461155571
Aluminium and aluminium products,HR,560.379064274,-0.014824531693409112
Aluminium and aluminium products,HU,286.469504551,-0.024814458550640166
Aluminium and aluminium products,ID,2586.29818798,-0.006222732684066923
Aluminium and aluminium products,IE,879.068440269,-0.003004439292664485
Aluminium and aluminium products,IN,13943.6830579,-0.05135818680779826
Aluminium and aluminium products,IT,11485.2948435,-0.1511055291755252
Aluminium and aluminium products,JP,22875.3451004,-0.025501697850365736
Aluminium and aluminium products,KR,8309.49105106,-0.03152176705535279
Aluminium and aluminium products,LT,6.93599649202,-0.00040905993969679767
Aluminium and aluminium products,LU,74.0640426448,-0.0027207358151699872
Aluminium and aluminium products,LV,296.259954279,-0.000560401604777803
Aluminium and aluminium products,MT,0.00497401513167,-3.466202057346923e-08
Aluminium and aluminium products,MX,5745.06290448,-0.020356048670329443
Aluminium and aluminium products,NL,3870.86435818,-0.04891021020280908
Aluminium and aluminium products,NO,4042.99806768,-0.005642929726725371
Aluminium and aluminium products,PL,6503.02267632,-0.06494987844920883
Aluminium and aluminium products,PT,1201.85724097,-0.001975917209383309
Aluminium and aluminium products,RO,1296.42742076,-0.9849979904214917
Aluminium and aluminium products,RU,17915.3872454,-0.04956139156679516
Aluminium and aluminium products,SE,3090.46542881,-0.017499337591413304
Aluminium and aluminium products,SI,2312.04475031,-0.029008414272012013
Aluminium and aluminium products,SK,2260.89388142,-0.009732784835566829
Aluminium and aluminium products,TR,9962.96552508,-0.12916026600855948
Aluminium and aluminium products,TW,9319.81261143,-0.004713317223157164
Aluminium and aluminium products,US,110792.994735,-0.2495969294800643
Aluminium and aluminium products,WA,23768.5900005,-0.1527923192496825
Aluminium and aluminium products,WE,4791.31875552,-0.24382404407072608
Aluminium and aluminium products,WF,8032.46962605,-0.020711259818445012
Aluminium and aluminium products,WL,9275.39526692,-0.05539460909961657
Aluminium and aluminium products,WM,19937.1975904,-0.1843366375806425
Aluminium and aluminium products,ZA,1122.58615792,-0.005128444040237265
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0006558966241048829
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.1306429547319838e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0002228664084176252
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-7.789972022507284e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0001846752889419924
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-9.740250295256427e-05
Aluminium ores and concentrates,HR,2.40123949261,-4.342957738680022e-06
Aluminium ores and concentrates,HU,25.9433227911,-0.00021020317839446108
Aluminium ores and concentrates,ID,0.897727817423,-3.1825804923641665e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-2.497127811726636e-05
Aluminium ores and concentrates,IT,345.382371744,-0.0010251583530744158
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-2.502143082830345e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0013298702971635864
Aluminium ores and concentrates,TW,240.735987175,-0.00037218549967949806
Aluminium ores and concentrates,US,61.6295336059,-0.0001151943735036022
Aluminium ores and concentrates,WA,445.836642213,-0.00035959231278303287
Aluminium ores and concentrates,WE,144.010694731,-0.0009179035900046178
Aluminium ores and concentrates,WF,353.253815291,-0.0004877210352730416
Aluminium ores and concentrates,WL,421.783559222,-0.0001623366264352741
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.3882115671838271
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.026863956378615998
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.14379521054015915
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.11563842003986284
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.3053356192320856
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-1.0935876979224473
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.04352385697390042
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-5.312031681231091
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-8.968744418222229e-05
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.1768601830605378
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-1.094530531122048
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.009171367245183134
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.0009363074384227982
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.5893478652061992
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.05120193801964364
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.7308245222538731
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.30917893093400745
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.1719317901068918
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.007349341073726807
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.21688039439939485
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-0.15678566416883033
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.003482163978450932
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-0.5633877996269567
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-0.6809967313021305
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-0.18672861065604363
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-0.2453680379110994
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-4.625026215311569e-05
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.0050238442451385375
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.0020735178158576605
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-8.962337800196077e-07
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.21028080623809284
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-0.05114419138731312
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.005332196367730168
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-0.22680463758439956
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.03432262228605402
Basic iron and steel and of ferro-alloys and first products thereof,RO,4659.14739212,-13.875946146530941
Basic iron and steel and of ferro-alloys and first products thereof,RU,68916.0077572,-0.17749517799350617
Basic iron and steel and of ferro-alloys and first products thereof,SE,10261.0187758,-0.1768724350193863
Basic iron and steel and of ferro-alloys and first products thereof,SI,2288.56302977,-0.04908742247813877
Basic iron and steel and of ferro-alloys and first products thereof,SK,1007.32881893,-0.04363985531929269
Basic iron and steel and of ferro-alloys and first products thereof,TR,74268.365993,-0.4704332023599501
Basic iron and steel and of ferro-alloys and first products thereof,TW,100727.499584,-0.005609463880798106
Basic iron and steel and of ferro-alloys and first products thereof,US,205998.706778,-1.449696603090355
Basic iron and steel and of ferro-alloys and first products thereof,WA,145998.414141,-1.2323207093642636
Basic iron and steel and of ferro-alloys and first products thereof,WE,14739.812353,-2.393879020170654
Basic iron and steel and of ferro-alloys and first products thereof,WF,27799.8163563,-0.0594413753499985
Basic iron and steel and of ferro-alloys and first products thereof,WL,28642.6043567,-0.23749706701657713
Basic iron and steel and of ferro-alloys and first products thereof,WM,77625.4967214,-0.33723639270606537
Basic iron and steel and of ferro-alloys and first products thereof,ZA,18732.4655732,-0.0127933091597592
Copper ores and concentrates,AT,0.0,0.0
Copper ores and concentrates,AU,1217.54166304,-0.00019947843928382647
Copper ores and concentrates,BE,0.0,0.0
Copper ores and concentrates,BG,4689.66355003,-0.2746092865835102
Copper ores and concentrates,BR,164.578921747,-1.7678179826920667e-05
Copper ores and concentrates,CA,0.154263949143,-7.198595112800008e-07
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,1032.51146091,-0.003067179495646096
Copper ores and concentrates,CY,43.2493505924,-2.0130180500795024e-05
Copper ores and concentrates,CZ,0.0,0.0
Copper ores and concentrates,DE,0.0,0.0
Copper ores and concentrates,DK,0.0,0.0
Copper ores and concentrates,EE,0.0,0.0
Copper ores and concentrates,ES,3790.30149904,-0.09334891087904754
Copper ores and concentrates,FI,838.963827784,-0.00017567440353155378
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,0.0,0.0
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,0.0,0.0
Copper ores and concentrates,HU,0.0,0.0
Copper ores and concentrates,ID,17.4853351606,-5.124745179564436e-07
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,6.10591015926,-5.852766202744934e-06
Copper ores and concentrates,IT,0.0,0.0
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,4.10819108449,-3.1528281426494108e-06
Copper ores and concentrates,LT,0.00301192169283,-3.890031802726228e-09
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.0,0.0
Copper ores and concentrates,MT,0.0,0.0
Copper ores and concentrates,MX,0.0,0.0
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,0.0,0.0
Copper ores and concentrates,PL,958.838207015,-0.0012803208669603212
Copper ores and concentrates,PT,957.47842835,-0.0003461559456797024
Copper ores and concentrates,RO,0.245069988895,-0.00019106236711372292
Copper ores and concentrates,RU,191.812470064,-0.00010786856559776352
Copper ores and concentrates,SE,3531.24241324,-0.0005750663364983738
Copper ores and concentrates,SI,0.0,0.0
Copper ores and concentrates,SK,26.2062977964,-1.4458417291920808e-05
Copper ores and concentrates,TR,1650.06316852,-0.0026312700727451504
Copper ores and concentrates,TW,3972.30456306,-0.00029760930716472584
Copper ores and concentrates,US,328.592963067,-0.0005251102800128194
Copper ores and concentrates,WA,588.408614225,-0.0008861166581139497
Copper ores and concentrates,WE,614.062540984,-1.259562022348602
Copper ores and concentrates,WF,2105.87010175,-0.00298316495811972
Copper ores and concentrates,WL,377.160482924,-5.665169412586168e-05
Copper ores and concentrates,WM,1476.91929863,-0.00012052253002716273
Copper ores and concentrates,ZA,196.986391542,-8.894892111524202e-06
Copper products,AT,4571.84825857,-0.041397016246844914
Copper products,AU,4201.92236179,-0.04086589963093539
Copper products,BE,16624.3083451,-0.57961874206787
Copper products,BG,11475.3634646,-11.371439297212275
Copper products,BR,3398.5409306,-0.04267433461163205
Copper products,CA,9711.02022073,-0.23133611903392143
Copper products,CH,326.608091371,-0.0027659270156137716
Copper products,CN,132702.771788,-4.100347249374098
Copper products,CY,129.507480455,-0.00011462216817108649
Copper products,CZ,1597.03656249,-0.03836406325216487
Copper products,DE,28058.1647851,-0.9535048302605311
Copper products,DK,254.855532032,-0.0010796055194825544
Copper products,EE,95.1313431769,-0.0003238231075035113
Copper products,ES,5028.42270072,-0.2957116434800133
Copper products,FI,3193.2179973,-0.027210787482307753
Copper products,FR,8984.2070668,-0.1548929348111663
Copper products,GB,8527.57996275,-0.26526872615389185
Copper products,GR,1153.27192851,-0.04672179787780735
Copper products,HR,244.885215693,-0.0028750646506436293
Copper products,HU,11.8534197679,-0.0024961296446086014
Copper products,ID,9234.87893096,-0.061950207286546245
Copper products,IE,25.994055489,-0.000295582481162527
Copper products,IN,23129.0149791,-0.11777466562337237
Copper products,IT,12028.0939916,-0.39103323778842436
Copper products,JP,16894.1751504,-0.4624114493510367
Copper products,KR,25786.4607158,-1.4666747688656516
Copper products,LT,19.0394847014,-0.0024478755196067855
Copper products,LU,106.232147365,-0.041639130870268264
Copper products,LV,221.319965135,-0.002780639117879442
Copper products,MT,0.00447445498171,-8.529743732963849e-07
Copper products,MX,15409.4948799,-0.10856531046373778
Copper products,NL,6266.26697424,-0.08860827055217767
Copper products,NO,585.167946363,-0.005912095634510953
Copper products,PL,2345.13587986,-0.8342100345045967
Copper products,PT,607.915889748,-0.03674482519886999
Copper products,RO,2087.49939257,-0.3864016806250169
Copper products,RU,13527.8501108,-0.13536919208491688
Copper products,SE,8502.44600934,-0.03308559783540269
Copper products,SI,376.692285078,-0.0024848667578924255
Copper products,SK,2048.43546658,-0.007020419793983055
Copper products,TR,6473.27668834,-0.4924712046583136
Copper products,TW,4227.9871297,-0.0005410842842636387
Copper products,US,56118.3294515,-0.4211917351363724
Copper products,WA,17466.391153,-1.043172796673821
Copper products,WE,4013.32320003,-1.2944616800008535
Copper products,WF,7796.24050669,-0.30758088494554864
Copper products,WL,45242.0629118,-5.802478380640642
Copper products,WM,15468.065679,-0.6928590675313255
Copper products,ZA,517.402367486,-0.009509639891072882
Electrical machinery and apparatus n.e.c. (31),AT,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),AU,20311.1825061,-0.01062116904557994
