Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0011450603106904819
Aluminium and aluminium products,AU,12531.9933192,-0.0006952784148135601
Aluminium and aluminium products,BE,3993.548713,-0.0011731987430107253
Aluminium and aluminium products,BG,499.437458924,-6.474323294079082e-05
Aluminium and aluminium products,BR,6454.85163457,-0.0003656179822991298
Aluminium and aluminium products,CA,11960.2679472,-0.002055456766699592
Aluminium and aluminium products,CH,643.630526142,-0.00032215010903486084
Aluminium and aluminium products,CN,302689.359677,-0.17860303520022644
Aluminium and aluminium products,CY,41.8048397461,-1.8770668764416607e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.00018806566553593104
Aluminium and aluminium products,DE,19165.2510876,-0.00803575019163487
Aluminium and aluminium products,DK,1236.94914834,-0.00014068713758428253
Aluminium and aluminium products,EE,91.1103938161,-6.576854281844562e-06
Aluminium and aluminium products,ES,7461.13251474,-0.0007721628367063679
Aluminium and aluminium products,FI,356.727766315,-8.07262967631892e-05
Aluminium and aluminium products,FR,5375.02085894,-0.0018024775773126825
Aluminium and aluminium products,GB,8010.48600955,-0.0026277978178103983
Aluminium and aluminium products,GR,2044.34637917,-0.0009772866363562595
Aluminium and aluminium products,HR,505.814973588,-9.466974506846332e-05
Aluminium and aluminium products,HU,1306.27668286,-0.0003595390476658886
Aluminium and aluminium products,ID,1068.52181168,-0.00022915384630445927
Aluminium and aluminium products,IE,2172.43289372,-0.0002631406226703395
Aluminium and aluminium products,IN,11978.7770986,-0.00177954227615943
Aluminium and aluminium products,IT,8923.67302338,-0.001405955484757358
Aluminium and aluminium products,JP,17109.5947277,-0.0027154942067211907
Aluminium and aluminium products,KR,8673.57009522,-0.002404039737894833
Aluminium and aluminium products,LT,19.3725198714,-2.995193026616317e-06
Aluminium and aluminium products,LU,409.396696263,-0.0004313898005826504
Aluminium and aluminium products,LV,54.691662585,-5.452668681106719e-05
Aluminium and aluminium products,MT,11.6180007714,-9.45013092932594e-07
Aluminium and aluminium products,MX,2504.363198,-0.0007118657981745317
Aluminium and aluminium products,NL,2940.82747966,-0.0009423501730165922
Aluminium and aluminium products,NO,4583.64797675,-0.00047974751609672556
Aluminium and aluminium products,PL,3840.61096127,-0.0004329992047740857
Aluminium and aluminium products,PT,543.258501954,-7.459371942205895e-05
Aluminium and aluminium products,RO,1168.18927683,-8.939492447393751e-05
Aluminium and aluminium products,RU,18879.1824496,-5.756063945062868e-05
Aluminium and aluminium products,SE,2135.19162301,-0.0005058966686772192
Aluminium and aluminium products,SI,1443.72820135,-0.0011891550620328354
