Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.04849933933537485
Aluminium and aluminium products,AU,12531.9933192,-0.009468830092895224
Aluminium and aluminium products,BE,3993.548713,-0.06612589116056966
Aluminium and aluminium products,BG,499.437458924,-0.0009608247868764531
Aluminium and aluminium products,BR,6454.85163457,-0.0077003291190524846
Aluminium and aluminium products,CA,11960.2679472,-0.10578733730219468
Aluminium and aluminium products,CH,643.630526142,-0.0028877272231269666
Aluminium and aluminium products,CN,302689.359677,-2.6453132059613442
Aluminium and aluminium products,CY,41.8048397461,-6.388022985744016e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.023999934462271937
Aluminium and aluminium products,DE,19165.2510876,-0.8436662253066967
Aluminium and aluminium products,DK,1236.94914834,-0.08170703220019312
Aluminium and aluminium products,EE,91.1103938161,-0.00012691739366704316
Aluminium and aluminium products,ES,7461.13251474,-0.03846341556742351
Aluminium and aluminium products,FI,356.727766315,-0.03033207072753264
Aluminium and aluminium products,FR,5375.02085894,-0.0751358076953494
Aluminium and aluminium products,GB,8010.48600955,-0.14627465731662223
Aluminium and aluminium products,GR,2044.34637917,-0.008791091859696582
Aluminium and aluminium products,HR,505.814973588,-0.0012208138148150063
Aluminium and aluminium products,HU,1306.27668286,-0.010778879312707023
Aluminium and aluminium products,ID,1068.52181168,-0.001834988409952234
Aluminium and aluminium products,IE,2172.43289372,-0.006517215846362458
Aluminium and aluminium products,IN,11978.7770986,-0.016625091224206703
Aluminium and aluminium products,IT,8923.67302338,-0.17107539739389108
Aluminium and aluminium products,JP,17109.5947277,-0.04002639733370622
Aluminium and aluminium products,KR,8673.57009522,-0.03194711895384818
Aluminium and aluminium products,LT,19.3725198714,-0.0001486854143791754
Aluminium and aluminium products,LU,409.396696263,-0.008140099528383475
Aluminium and aluminium products,LV,54.691662585,-0.001205195929530639
Aluminium and aluminium products,MT,11.6180007714,-1.3435405104628041e-05
Aluminium and aluminium products,MX,2504.363198,-0.009308537882292137
Aluminium and aluminium products,NL,2940.82747966,-0.03841276608908351
Aluminium and aluminium products,NO,4583.64797675,-0.5085277132224845
Aluminium and aluminium products,PL,3840.61096127,-0.14125758291543114
Aluminium and aluminium products,PT,543.258501954,-0.005608970583416139
Aluminium and aluminium products,RO,1168.18927683,-0.0024867738408802294
Aluminium and aluminium products,RU,18879.1824496,-0.0027267971793940833
Aluminium and aluminium products,SE,2135.19162301,-7.41123680012953
Aluminium and aluminium products,SI,1443.72820135,-0.006266359690647703
Aluminium and aluminium products,SK,1696.23637467,-0.007713187436656653
Aluminium and aluminium products,TR,2580.28860824,-0.009864763200153014
Aluminium and aluminium products,TW,6095.69118313,-0.005675162414258319
