Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-10.609489474484715
Aluminium and aluminium products,AU,10788.8621591,-0.01124373790857993
Aluminium and aluminium products,BE,5247.38034134,-0.11527864948312401
Aluminium and aluminium products,BG,1519.97837587,-0.05141642285380194
Aluminium and aluminium products,BR,9914.80918982,-0.015297377353443452
Aluminium and aluminium products,CA,20401.1714152,-0.6125785785359764
Aluminium and aluminium products,CH,664.221654607,-0.04467574396309957
Aluminium and aluminium products,CN,267795.177986,-1.8253469748818554
Aluminium and aluminium products,CY,202.027361746,-9.177559886428402e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.08324226394936123
Aluminium and aluminium products,DE,29109.7538681,-0.9163775190169209
Aluminium and aluminium products,DK,1842.84710324,-0.0220239405214465
Aluminium and aluminium products,EE,101.53719116,-0.00025889030574097953
Aluminium and aluminium products,ES,8208.21094615,-0.08000982157785787
Aluminium and aluminium products,FI,752.680853488,-0.003012468513656689
Aluminium and aluminium products,FR,8846.32397853,-0.12601788971588235
Aluminium and aluminium products,GB,13378.5976996,-0.09197577411650035
Aluminium and aluminium products,GR,2553.08976835,-4.6411506737594825
Aluminium and aluminium products,HR,560.379064274,-0.010129695696472969
Aluminium and aluminium products,HU,286.469504551,-0.001727332748522309
Aluminium and aluminium products,ID,2586.29818798,-0.012397332606512393
Aluminium and aluminium products,IE,879.068440269,-0.0018509474859482586
Aluminium and aluminium products,IN,13943.6830579,-0.07378224822793544
Aluminium and aluminium products,IT,11485.2948435,-4.7967657559828
Aluminium and aluminium products,JP,22875.3451004,-0.0859721977439307
Aluminium and aluminium products,KR,8309.49105106,-0.05384520595369877
Aluminium and aluminium products,LT,6.93599649202,-0.00029427590293036186
Aluminium and aluminium products,LU,74.0640426448,-0.005197090267918702
Aluminium and aluminium products,LV,296.259954279,-0.000387677730319402
Aluminium and aluminium products,MT,0.00497401513167,-1.7816461478193595e-08
Aluminium and aluminium products,MX,5745.06290448,-0.03595384305940528
Aluminium and aluminium products,NL,3870.86435818,-0.0931653004181875
Aluminium and aluminium products,NO,4042.99806768,-0.0053733429787925875
Aluminium and aluminium products,PL,6503.02267632,-0.09026385079893981
Aluminium and aluminium products,PT,1201.85724097,-0.0036142307404810913
Aluminium and aluminium products,RO,1296.42742076,-0.016239915014848037
Aluminium and aluminium products,RU,17915.3872454,-0.03718769844583922
Aluminium and aluminium products,SE,3090.46542881,-0.020492772421774955
Aluminium and aluminium products,SI,2312.04475031,-0.15495646516806047
Aluminium and aluminium products,SK,2260.89388142,-0.017278792616628312
Aluminium and aluminium products,TR,9962.96552508,-0.17062209471528267
Aluminium and aluminium products,TW,9319.81261143,-0.004100407470911431
Aluminium and aluminium products,US,110792.994735,-0.6636435600779056
Aluminium and aluminium products,WA,23768.5900005,-0.44555698533410154
Aluminium and aluminium products,WE,4791.31875552,-0.3005314818665107
Aluminium and aluminium products,WF,8032.46962605,-0.04339090248235126
Aluminium and aluminium products,WL,9275.39526692,-0.14280620516062872
Aluminium and aluminium products,WM,19937.1975904,-0.4085309686981514
Aluminium and aluminium products,ZA,1122.58615792,-0.004270307925490704
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0007058440133094816
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-1.6064597922747095e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.00017590442947816888
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-3.9169713963358355e-05
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.00010675603959444459
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-0.0006895858934319696
Aluminium ores and concentrates,HR,2.40123949261,-3.924392172876776e-06
Aluminium ores and concentrates,HU,25.9433227911,-1.6447988475378525e-05
Aluminium ores and concentrates,ID,0.897727817423,-3.424292107500843e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-2.526750577316725e-05
Aluminium ores and concentrates,IT,345.382371744,-0.015357821385806804
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-1.8723507788368076e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0012934439234303862
Aluminium ores and concentrates,TW,240.735987175,-0.0003418349601824092
