Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.19450553115678304
Aluminium and aluminium products,AU,10788.8621591,-0.008178757821183692
Aluminium and aluminium products,BE,5247.38034134,-0.04370882932270596
Aluminium and aluminium products,BG,1519.97837587,-0.034376334243722856
Aluminium and aluminium products,BR,9914.80918982,-0.007305344353127916
Aluminium and aluminium products,CA,20401.1714152,-0.131244957764686
Aluminium and aluminium products,CH,664.221654607,-0.0078136899994453
Aluminium and aluminium products,CN,267795.177986,-1.1233791154711192
Aluminium and aluminium products,CY,202.027361746,-9.397351886648509e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.1877331550514707
Aluminium and aluminium products,DE,29109.7538681,-0.2111478889212068
Aluminium and aluminium products,DK,1842.84710324,-0.00853285984555382
Aluminium and aluminium products,EE,101.53719116,-0.0008726188720212915
Aluminium and aluminium products,ES,8208.21094615,-0.03698031533856939
Aluminium and aluminium products,FI,752.680853488,-0.004333354281856782
Aluminium and aluminium products,FR,8846.32397853,-0.041775692833311145
Aluminium and aluminium products,GB,13378.5976996,-0.05695094291019755
Aluminium and aluminium products,GR,2553.08976835,-0.044037486190803776
Aluminium and aluminium products,HR,560.379064274,-0.02874451475591586
Aluminium and aluminium products,HU,286.469504551,-0.11607441362070518
Aluminium and aluminium products,ID,2586.29818798,-0.008411677982406567
Aluminium and aluminium products,IE,879.068440269,-0.0017423279958906452
Aluminium and aluminium products,IN,13943.6830579,-0.04331023215729807
Aluminium and aluminium products,IT,11485.2948435,-0.09109289974814654
Aluminium and aluminium products,JP,22875.3451004,-0.031348295732846254
Aluminium and aluminium products,KR,8309.49105106,-0.03694414185421214
Aluminium and aluminium products,LT,6.93599649202,-0.0006218079303595796
Aluminium and aluminium products,LU,74.0640426448,-0.002486677400544879
Aluminium and aluminium products,LV,296.259954279,-0.0015952158762187298
Aluminium and aluminium products,MT,0.00497401513167,-1.5619218267386963e-07
Aluminium and aluminium products,MX,5745.06290448,-0.01797792785840971
Aluminium and aluminium products,NL,3870.86435818,-0.04663468003219991
Aluminium and aluminium products,NO,4042.99806768,-0.006196746282317329
Aluminium and aluminium products,PL,6503.02267632,-0.10112097740698325
Aluminium and aluminium products,PT,1201.85724097,-0.002045497632930237
Aluminium and aluminium products,RO,1296.42742076,-0.04400831025467092
Aluminium and aluminium products,RU,17915.3872454,-0.06365330899653021
Aluminium and aluminium products,SE,3090.46542881,-0.020950768656419715
Aluminium and aluminium products,SI,2312.04475031,-0.042732418057518984
Aluminium and aluminium products,SK,2260.89388142,-0.015165057549200113
Aluminium and aluminium products,TR,9962.96552508,-0.04778741025799746
Aluminium and aluminium products,TW,9319.81261143,-0.009999960115592696
Aluminium and aluminium products,US,110792.994735,-0.14522916238087738
Aluminium and aluminium products,WA,23768.5900005,-0.1295374888349838
Aluminium and aluminium products,WE,4791.31875552,-0.3465142468388669
Aluminium and aluminium products,WF,8032.46962605,-0.012256798958788964
Aluminium and aluminium products,WL,9275.39526692,-0.046414749344225244
Aluminium and aluminium products,WM,19937.1975904,-0.07321812058342422
Aluminium and aluminium products,ZA,1122.58615792,-0.00854320807143276
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0005789703313174564
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-7.65933664127937e-06
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0001347720248548275
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-0.00013425535702081
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.00014997595484821148
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-7.081154354789404e-05
Aluminium ores and concentrates,HR,2.40123949261,-6.9811447917779205e-06
Aluminium ores and concentrates,HU,25.9433227911,-0.0010952772913817757
Aluminium ores and concentrates,ID,0.897727817423,-3.735985677752589e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-2.151450570496382e-05
Aluminium ores and concentrates,IT,345.382371744,-0.00045929737327206924
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-4.2079943082199304e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0006361058927601827
Aluminium ores and concentrates,TW,240.735987175,-0.0006951495495836181
Aluminium ores and concentrates,US,61.6295336059,-7.613340428862383e-05
Aluminium ores and concentrates,WA,445.836642213,-0.0002995869260511553
Aluminium ores and concentrates,WE,144.010694731,-0.0012962124143777096
Aluminium ores and concentrates,WF,353.253815291,-0.00044720522168999915
Aluminium ores and concentrates,WL,421.783559222,-0.00013522979313252299
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.7626075362899637
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.029532800632628003
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.11959814629948287
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.011047435169266586
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.16009399401074137
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-0.6515846873574767
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.016203936702747817
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-2.2201424670750707
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-0.00028443566236899574
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.4517938791106875
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-1.1410678415511453
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.011512245427091675
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.0024158978182474977
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.10310626997605082
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.051170697354999316
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.23285339740419653
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.12959157609969008
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-0.06355086728116333
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-0.015354426026049934
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.6898733081143693
Basic iron and steel and of ferro-alloys and first products thereof,ID,28063.8922122,-0.24075070032811638
Basic iron and steel and of ferro-alloys and first products thereof,IE,304.716491426,-0.0017060795725304591
Basic iron and steel and of ferro-alloys and first products thereof,IN,168511.250647,-0.4658784403030699
Basic iron and steel and of ferro-alloys and first products thereof,IT,54736.4503124,-0.3763224344965903
Basic iron and steel and of ferro-alloys and first products thereof,JP,205709.449824,-0.29017845542327014
Basic iron and steel and of ferro-alloys and first products thereof,KR,164202.162798,-0.23961811670797534
Basic iron and steel and of ferro-alloys and first products thereof,LT,10.5462183967,-7.279665328916251e-05
Basic iron and steel and of ferro-alloys and first products thereof,LU,608.192509525,-0.008206443840671311
Basic iron and steel and of ferro-alloys and first products thereof,LV,1876.6383336,-0.005786059127887473
Basic iron and steel and of ferro-alloys and first products thereof,MT,0.0552715504823,-3.921574075474843e-06
Basic iron and steel and of ferro-alloys and first products thereof,MX,35841.4611981,-0.10010097079246619
Basic iron and steel and of ferro-alloys and first products thereof,NL,1512.33123068,-0.043595175365375355
Basic iron and steel and of ferro-alloys and first products thereof,NO,1853.1917373,-0.005557422805871507
Basic iron and steel and of ferro-alloys and first products thereof,PL,27952.3792189,-0.297527339068846
Basic iron and steel and of ferro-alloys and first products thereof,PT,4069.19439044,-0.036952024838525464
Basic iron and steel and of ferro-alloys and first products thereof,RO,4659.14739212,-0.3404499828058655
Basic iron and steel and of ferro-alloys and first products thereof,RU,68916.0077572,-0.2526502865802691
Basic iron and steel and of ferro-alloys and first products thereof,SE,10261.0187758,-0.12949446804026585
Basic iron and steel and of ferro-alloys and first products thereof,SI,2288.56302977,-0.08354176522852037
Basic iron and steel and of ferro-alloys and first products thereof,SK,1007.32881893,-0.08008370608083358
Basic iron and steel and of ferro-alloys and first products thereof,TR,74268.365993,-0.16948958876095047
Basic iron and steel and of ferro-alloys and first products thereof,TW,100727.499584,-0.011719181643729868
Basic iron and steel and of ferro-alloys and first products thereof,US,205998.706778,-0.8083255943769734
Basic iron and steel and of ferro-alloys and first products thereof,WA,145998.414141,-1.0916228860885493
Basic iron and steel and of ferro-alloys and first products thereof,WE,14739.812353,-2.912827207978009
Basic iron and steel and of ferro-alloys and first products thereof,WF,27799.8163563,-0.039423330133973734
Basic iron and steel and of ferro-alloys and first products thereof,WL,28642.6043567,-0.1748371389822283
Basic iron and steel and of ferro-alloys and first products thereof,WM,77625.4967214,-0.13604908204130176
Basic iron and steel and of ferro-alloys and first products thereof,ZA,18732.4655732,-0.014922201755279122
Copper ores and concentrates,AT,0.0,0.0
Copper ores and concentrates,AU,1217.54166304,-0.00018141826803567593
Copper ores and concentrates,BE,0.0,0.0
Copper ores and concentrates,BG,4689.66355003,-0.02155560529368264
Copper ores and concentrates,BR,164.578921747,-7.615309189051803e-06
Copper ores and concentrates,CA,0.154263949143,-4.0248656557702965e-08
Copper ores and concentrates,CH,0.0,0.0
Copper ores and concentrates,CN,1032.51146091,-0.0019001153333656484
Copper ores and concentrates,CY,43.2493505924,-7.424119012368966e-05
Copper ores and concentrates,CZ,0.0,0.0
Copper ores and concentrates,DE,0.0,0.0
Copper ores and concentrates,DK,0.0,0.0
Copper ores and concentrates,EE,0.0,0.0
Copper ores and concentrates,ES,3790.30149904,-0.03175178141889562
Copper ores and concentrates,FI,838.963827784,-0.0003863109413850947
Copper ores and concentrates,FR,0.0,0.0
Copper ores and concentrates,GB,0.0,0.0
Copper ores and concentrates,GR,0.0,0.0
Copper ores and concentrates,HR,0.0,0.0
Copper ores and concentrates,HU,0.0,0.0
Copper ores and concentrates,ID,17.4853351606,-5.912215089137698e-07
Copper ores and concentrates,IE,0.0,0.0
Copper ores and concentrates,IN,6.10591015926,-5.2130827878652234e-06
Copper ores and concentrates,IT,0.0,0.0
Copper ores and concentrates,JP,0.0,0.0
Copper ores and concentrates,KR,4.10819108449,-9.945290921800856e-06
Copper ores and concentrates,LT,0.00301192169283,-6.804926934354267e-09
Copper ores and concentrates,LU,0.0,0.0
Copper ores and concentrates,LV,0.0,0.0
Copper ores and concentrates,MT,0.0,0.0
Copper ores and concentrates,MX,0.0,0.0
Copper ores and concentrates,NL,0.0,0.0
Copper ores and concentrates,NO,0.0,0.0
Copper ores and concentrates,PL,958.838207015,-0.0022620929446992093
Copper ores and concentrates,PT,957.47842835,-0.00021790909451571377
Copper ores and concentrates,RO,0.245069988895,-2.4502674140350063e-05
Copper ores and concentrates,RU,191.812470064,-0.00012752427841335702
Copper ores and concentrates,SE,3531.24241324,-0.0006264944217715819
Copper ores and concentrates,SI,0.0,0.0
Copper ores and concentrates,SK,26.2062977964,-1.6019963996191537e-05
Copper ores and concentrates,TR,1650.06316852,-0.0011896226457236393
Copper ores and concentrates,TW,3972.30456306,-0.0005644759285507092
Copper ores and concentrates,US,328.592963067,-0.00035250293189068824
Copper ores and concentrates,WA,588.408614225,-0.0007425104662730064
Copper ores and concentrates,WE,614.062540984,-2.296073812474692
Copper ores and concentrates,WF,2105.87010175,-0.001202627672446281
Copper ores and concentrates,WL,377.160482924,-6.532142563571184e-05
Copper ores and concentrates,WM,1476.91929863,-7.182661897145357e-05
Copper ores and concentrates,ZA,196.986391542,-1.67441620115195e-05
Copper products,AT,4571.84825857,-0.05262670495649864
Copper products,AU,4201.92236179,-0.034847098298276674
Copper products,BE,16624.3083451,-0.16283396009972825
Copper products,BG,11475.3634646,-0.9554384977500474
Copper products,BR,3398.5409306,-0.017804267189569956
Copper products,CA,9711.02022073,-0.10168654649100708
Copper products,CH,326.608091371,-0.0022706590424615915
Copper products,CN,132702.771788,-4.232409458667996
Copper products,CY,129.507480455,-0.0003477247573260451
Copper products,CZ,1597.03656249,-0.14004028436627153
Copper products,DE,28058.1647851,-0.42519227950080596
Copper products,DK,254.855532032,-0.0008313126148931412
Copper products,EE,95.1313431769,-0.0008377231047804507
Copper products,ES,5028.42270072,-0.06844908216445074
Copper products,FI,3193.2179973,-0.03379117164203556
Copper products,FR,8984.2070668,-0.05368839100001382
Copper products,GB,8527.57996275,-0.10047746578222
Copper products,GR,1153.27192851,-0.02131710046686976
Copper products,HR,244.885215693,-0.003826819777742371
Copper products,HU,11.8534197679,-0.00432624706558282
Copper products,ID,9234.87893096,-0.07178924093945999
Copper products,IE,25.994055489,-0.00016996883541021962
Copper products,IN,23129.0149791,-0.0851256109324446
Copper products,IT,12028.0939916,-0.17011939160598025
Copper products,JP,16894.1751504,-0.6012547718121568
Copper products,KR,25786.4607158,-0.9429972086603027
Copper products,LT,19.0394847014,-0.003868235666402278
Copper products,LU,106.232147365,-0.028684557598679394
Copper products,LV,221.319965135,-0.007011295951350333
Copper products,MT,0.00447445498171,-4.5585001964638e-06
Copper products,MX,15409.4948799,-0.057090485196822846
Copper products,NL,6266.26697424,-0.06327460204992078
Copper products,NO,585.167946363,-0.003387002181901439
Copper products,PL,2345.13587986,-0.3245307195590998
Copper products,PT,607.915889748,-0.025657025534115124
Copper products,RO,2087.49939257,-0.02139624062552652
Copper products,RU,13527.8501108,-0.17206658952907647
Copper products,SE,8502.44600934,-0.029136534791509745
Copper products,SI,376.692285078,-0.00296686802818861
Copper products,SK,2048.43546658,-0.010321017134613518
Copper products,TR,6473.27668834,-0.07636377318454649
Copper products,TW,4227.9871297,-0.0009653310670707294
Copper products,US,56118.3294515,-0.18616014221885138
Copper products,WA,17466.391153,-0.7394785456406084
Copper products,WE,4013.32320003,-1.8239251855608167
Copper products,WF,7796.24050669,-0.13924642551948976
Copper products,WL,45242.0629118,-1.5756384623758237
Copper products,WM,15468.065679,-0.21319087531398495
Copper products,ZA,517.402367486,-0.01592692445961029
Electrical machinery and apparatus n.e.c. (31),AT,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),AU,20311.1825061,-0.01640811732765899
Electrical machinery and apparatus n.e.c. (31),BE,3848.34357753,-0.014645256120749997
Electrical machinery and apparatus n.e.c. (31),BG,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),BR,14911.1874747,-0.14148007494621975
Electrical machinery and apparatus n.e.c. (31),CA,7176.77544009,-0.05132260821465591
Electrical machinery and apparatus n.e.c. (31),CH,776.465314744,-0.0016865113797302884
Electrical machinery and apparatus n.e.c. (31),CN,1054132.87514,-1.8880507171146488
Electrical machinery and apparatus n.e.c. (31),CY,274.017418087,-0.0006768018735134327
Electrical machinery and apparatus n.e.c. (31),CZ,639.272186495,-0.002348407563341101
Electrical machinery and apparatus n.e.c. (31),DE,5114.34141582,-0.06258946760820401
Electrical machinery and apparatus n.e.c. (31),DK,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),EE,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),ES,21001.6418505,-0.07154861593190491
Electrical machinery and apparatus n.e.c. (31),FI,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),FR,5839.34624108,-0.010455601656065345
Electrical machinery and apparatus n.e.c. (31),GB,4385.26245859,-0.011490704503284467
Electrical machinery and apparatus n.e.c. (31),GR,1546.21031072,-0.032526960186579794
Electrical machinery and apparatus n.e.c. (31),HR,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),HU,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),ID,9369.13793315,-0.01347211000765099
Electrical machinery and apparatus n.e.c. (31),IE,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),IN,41002.5357891,-0.08958742699239704
Electrical machinery and apparatus n.e.c. (31),IT,11285.3481337,-0.04600801316361504
Electrical machinery and apparatus n.e.c. (31),JP,39970.0695798,-0.22831283938461314
Electrical machinery and apparatus n.e.c. (31),KR,25609.8817919,-0.16744637477390545
Electrical machinery and apparatus n.e.c. (31),LT,839.509467037,-0.00021441844599940895
Electrical machinery and apparatus n.e.c. (31),LU,137.649044889,-7.613756999595574e-05
Electrical machinery and apparatus n.e.c. (31),LV,1115.03615954,-0.011165165525858368
Electrical machinery and apparatus n.e.c. (31),MT,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),MX,15305.31381,-0.08586253819261674
Electrical machinery and apparatus n.e.c. (31),NL,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),NO,3760.68439826,-0.0002516375661247307
Electrical machinery and apparatus n.e.c. (31),PL,4201.25479144,-0.013172714450150095
Electrical machinery and apparatus n.e.c. (31),PT,3381.08438096,-0.021655127669755126
Electrical machinery and apparatus n.e.c. (31),RO,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),RU,12131.6226269,-0.36605544067901735
Electrical machinery and apparatus n.e.c. (31),SE,2200.93360306,-0.001784822554267145
Electrical machinery and apparatus n.e.c. (31),SI,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),SK,0.0,0.0
Electrical machinery and apparatus n.e.c. (31),TR,2315.86115835,-0.0036564557881854317
Electrical machinery and apparatus n.e.c. (31),TW,4110.77680149,-0.0036252980318097565
Electrical machinery and apparatus n.e.c. (31),US,183002.803732,-0.96461139253105
Electrical machinery and apparatus n.e.c. (31),WA,36202.4432825,-0.17133984052598156
Electrical machinery and apparatus n.e.c. (31),WE,5241.80744336,-0.3481129161754171
Electrical machinery and apparatus n.e.c. (31),WF,10723.3095772,-0.005259259690535727
Electrical machinery and apparatus n.e.c. (31),WL,15392.695279,-0.037710418316880864
Electrical machinery and apparatus n.e.c. (31),WM,20476.4818345,-0.02848022013286302
Electrical machinery and apparatus n.e.c. (31),ZA,4133.04386413,-0.010724154554713514
"Fabricated metal products, except machinery and equipment (28)",AT,30082.3683061,-0.6155668567286838
"Fabricated metal products, except machinery and equipment (28)",AU,27895.6053448,-0.004256389315184575
"Fabricated metal products, except machinery and equipment (28)",BE,22264.6708733,-0.10965030116149699
"Fabricated metal products, except machinery and equipment (28)",BG,4977.57935274,-0.055691117722568115
"Fabricated metal products, except machinery and equipment (28)",BR,32909.238927,-0.01094861622151321
"Fabricated metal products, except machinery and equipment (28)",CA,28223.2736622,-0.19962492675837337
"Fabricated metal products, except machinery and equipment (28)",CH,37773.2600942,-0.2657778324491995
"Fabricated metal products, except machinery and equipment (28)",CN,1021275.93625,-1.9350476441248492
"Fabricated metal products, except machinery and equipment (28)",CY,722.392780484,-0.0006693309837302999
"Fabricated metal products, except machinery and equipment (28)",CZ,25955.1584186,-1.0787176611388887
"Fabricated metal products, except machinery and equipment (28)",DE,232826.91715,-0.9718973310041215
"Fabricated metal products, except machinery and equipment (28)",DK,19865.8993765,-0.04799371096023936
"Fabricated metal products, except machinery and equipment (28)",EE,3259.48883193,-0.01480997998892507
"Fabricated metal products, except machinery and equipment (28)",ES,61527.5990053,-0.036999726399762074
"Fabricated metal products, except machinery and equipment (28)",FI,10753.7824953,-0.01569795889134075
"Fabricated metal products, except machinery and equipment (28)",FR,92688.7173564,-0.07682004811319845
"Fabricated metal products, except machinery and equipment (28)",GB,51096.9907389,-0.19542689325445953
"Fabricated metal products, except machinery and equipment (28)",GR,6899.9327939,-0.021308306897132655
"Fabricated metal products, except machinery and equipment (28)",HR,3462.89455601,-0.054128884028892384
"Fabricated metal products, except machinery and equipment (28)",HU,2003.68061511,-0.9106413196859352
"Fabricated metal products, except machinery and equipment (28)",ID,39434.2337189,-0.04733312736489454
"Fabricated metal products, except machinery and equipment (28)",IE,3133.54323767,-0.011222928580545213
"Fabricated metal products, except machinery and equipment (28)",IN,74474.4765676,-0.08943372546013886
"Fabricated metal products, except machinery and equipment (28)",IT,121980.374734,-0.10729773747240882
"Fabricated metal products, except machinery and equipment (28)",JP,139986.7936,-0.3378222586753655
"Fabricated metal products, except machinery and equipment (28)",KR,110649.314455,-0.11767927831713289
"Fabricated metal products, except machinery and equipment (28)",LT,1010.36799696,-0.011003950000666372
"Fabricated metal products, except machinery and equipment (28)",LU,1761.61490722,-0.010225740313273411
"Fabricated metal products, except machinery and equipment (28)",LV,1527.6184301,-0.013759231879247373
"Fabricated metal products, except machinery and equipment (28)",MT,13.5454683768,-0.0007816296239621974
"Fabricated metal products, except machinery and equipment (28)",MX,55012.5055558,-0.41596711332261116
"Fabricated metal products, except machinery and equipment (28)",NL,46512.770355,-0.24071937885697314
"Fabricated metal products, except machinery and equipment (28)",NO,9834.77055033,-0.008308107184468587
"Fabricated metal products, except machinery and equipment (28)",PL,57531.5720195,-0.4061754383352216
"Fabricated metal products, except machinery and equipment (28)",PT,11905.3540427,-0.055160793041050586
"Fabricated metal products, except machinery and equipment (28)",RO,9842.52816327,-0.2456433556000296
"Fabricated metal products, except machinery and equipment (28)",RU,43226.1392355,-0.02462972975809494
"Fabricated metal products, except machinery and equipment (28)",SE,25110.2519176,-0.09477092439190139
"Fabricated metal products, except machinery and equipment (28)",SI,6923.99398556,-0.14140511415249096
"Fabricated metal products, except machinery and equipment (28)",SK,12962.1061263,-0.2833061247161567
"Fabricated metal products, except machinery and equipment (28)",TR,48359.4961172,-0.10839506663859455
"Fabricated metal products, except machinery and equipment (28)",TW,54989.6915714,-0.020924363657078324
"Fabricated metal products, except machinery and equipment (28)",US,426505.01516,-2.026601588168561
"Fabricated metal products, except machinery and equipment (28)",WA,125491.252596,-0.6361116690623422
"Fabricated metal products, except machinery and equipment (28)",WE,15523.3739958,-3.500678074837515
"Fabricated metal products, except machinery and equipment (28)",WF,27397.2455451,-0.0021169289326777438
"Fabricated metal products, except machinery and equipment (28)",WL,57818.8935665,-0.10398177543576503
"Fabricated metal products, except machinery and equipment (28)",WM,70350.9246113,-0.1937403760483946
"Fabricated metal products, except machinery and equipment (28)",ZA,8305.63024962,-0.018139525965027915
"Lead, zinc and tin and products thereof",AT,336.821113362,-0.007857380924456299
"Lead, zinc and tin and products thereof",AU,2399.88724307,-0.013037477583672739
"Lead, zinc and tin and products thereof",BE,512.437670727,-0.006873420739513585
"Lead, zinc and tin and products thereof",BG,2433.19661171,-0.005986812949535051
"Lead, zinc and tin and products thereof",BR,1027.09108593,-0.0016425030460335817
"Lead, zinc and tin and products thereof",CA,3551.12712102,-0.028534614891212035
