Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.19573912881798386
Aluminium and aluminium products,AU,10788.8621591,-0.013109965521172854
Aluminium and aluminium products,BE,5247.38034134,-0.12967689115830555
Aluminium and aluminium products,BG,1519.97837587,-0.4486391656504376
Aluminium and aluminium products,BR,9914.80918982,-0.03314273655436604
Aluminium and aluminium products,CA,20401.1714152,-2.7975008845454927
Aluminium and aluminium products,CH,664.221654607,-0.013894326126865506
Aluminium and aluminium products,CN,267795.177986,-5.630228253982424
Aluminium and aluminium products,CY,202.027361746,-2.0903643655290653e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.12364772977609177
Aluminium and aluminium products,DE,29109.7538681,-0.7075703471099376
Aluminium and aluminium products,DK,1842.84710324,-0.019774442011891442
Aluminium and aluminium products,EE,101.53719116,-0.00014657678470254306
Aluminium and aluminium products,ES,8208.21094615,-0.48684266348598537
Aluminium and aluminium products,FI,752.680853488,-0.002381062496516239
Aluminium and aluminium products,FR,8846.32397853,-0.11964679626677213
Aluminium and aluminium products,GB,13378.5976996,-0.0964720780510553
Aluminium and aluminium products,GR,2553.08976835,-0.2708292704545174
Aluminium and aluminium products,HR,560.379064274,-0.0029356263559287862
Aluminium and aluminium products,HU,286.469504551,-0.0005615620077394329
Aluminium and aluminium products,ID,2586.29818798,-0.022585864362970377
Aluminium and aluminium products,IE,879.068440269,-0.003046980969113428
Aluminium and aluminium products,IN,13943.6830579,-0.2177728183928122
Aluminium and aluminium products,IT,11485.2948435,-0.435503193545786
Aluminium and aluminium products,JP,22875.3451004,-0.12889983360110174
Aluminium and aluminium products,KR,8309.49105106,-0.1491290791117094
Aluminium and aluminium products,LT,6.93599649202,-0.0001536877958170292
Aluminium and aluminium products,LU,74.0640426448,-0.009241929388668907
Aluminium and aluminium products,LV,296.259954279,-0.00013444097254326773
Aluminium and aluminium products,MT,0.00497401513167,-4.388359041379916e-09
Aluminium and aluminium products,MX,5745.06290448,-0.05702277229395944
Aluminium and aluminium products,NL,3870.86435818,-0.1613459176347306
Aluminium and aluminium products,NO,4042.99806768,-0.004542528766838007
Aluminium and aluminium products,PL,6503.02267632,-0.13451395239370378
Aluminium and aluminium products,PT,1201.85724097,-0.007153396299006074
Aluminium and aluminium products,RO,1296.42742076,-0.020987626130775438
Aluminium and aluminium products,RU,17915.3872454,-0.032591830459551316
Aluminium and aluminium products,SE,3090.46542881,-0.024604880477168373
Aluminium and aluminium products,SI,2312.04475031,-0.019845084501646033
Aluminium and aluminium products,SK,2260.89388142,-0.015016466470582426
Aluminium and aluminium products,TR,9962.96552508,-33.24710580015881
Aluminium and aluminium products,TW,9319.81261143,-0.00565193347838051
Aluminium and aluminium products,US,110792.994735,-1.66979821117925
Aluminium and aluminium products,WA,23768.5900005,-1.4370019516574446
Aluminium and aluminium products,WE,4791.31875552,-0.24445194964553904
Aluminium and aluminium products,WF,8032.46962605,-0.20651964202808554
Aluminium and aluminium products,WL,9275.39526692,-0.3162877222569102
Aluminium and aluminium products,WM,19937.1975904,-3.0069130448004273
Aluminium and aluminium products,ZA,1122.58615792,-0.010191362173840028
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0011724314387052625
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-3.485102570711791e-05
Aluminium ores and concentrates,CA,0.0,0.0
