Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.042374917693627646
Aluminium and aluminium products,AU,12531.9933192,-0.10346821398657217
Aluminium and aluminium products,BE,3993.548713,-0.16572946549647796
Aluminium and aluminium products,BG,499.437458924,-0.0016538887933296147
Aluminium and aluminium products,BR,6454.85163457,-0.04257220671854006
Aluminium and aluminium products,CA,11960.2679472,-0.8829368882490994
Aluminium and aluminium products,CH,643.630526142,-0.0037698589213240037
Aluminium and aluminium products,CN,302689.359677,-6.14756857509119
Aluminium and aluminium products,CY,41.8048397461,-2.123532184210146e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.00846043962605569
Aluminium and aluminium products,DE,19165.2510876,-0.8784117148723822
Aluminium and aluminium products,DK,1236.94914834,-0.0059062614096283975
Aluminium and aluminium products,EE,91.1103938161,-6.368823071402952e-05
Aluminium and aluminium products,ES,7461.13251474,-0.07603556507876513
Aluminium and aluminium products,FI,356.727766315,-0.00354246908508004
Aluminium and aluminium products,FR,5375.02085894,-0.09239008890011259
Aluminium and aluminium products,GB,8010.48600955,-0.3409195594936779
Aluminium and aluminium products,GR,2044.34637917,-0.02502374048203006
Aluminium and aluminium products,HR,505.814973588,-0.004457647352945825
Aluminium and aluminium products,HU,1306.27668286,-0.004143397553355357
Aluminium and aluminium products,ID,1068.52181168,-0.03832389744418685
Aluminium and aluminium products,IE,2172.43289372,-0.0019153712594144846
Aluminium and aluminium products,IN,11978.7770986,-0.14115529469007854
Aluminium and aluminium products,IT,8923.67302338,-0.10894352143782866
Aluminium and aluminium products,JP,17109.5947277,-1.0967481803741246
Aluminium and aluminium products,KR,8673.57009522,-1.265321044830928
Aluminium and aluminium products,LT,19.3725198714,-2.02323591606745e-05
Aluminium and aluminium products,LU,409.396696263,-0.00828815589496144
Aluminium and aluminium products,LV,54.691662585,-0.00014923666469677415
Aluminium and aluminium products,MT,11.6180007714,-3.903776997503599e-06
Aluminium and aluminium products,MX,2504.363198,-0.045322610679049545
Aluminium and aluminium products,NL,2940.82747966,-0.07010094830213642
Aluminium and aluminium products,NO,4583.64797675,-0.028280531615044544
Aluminium and aluminium products,PL,3840.61096127,-0.02173166979048271
Aluminium and aluminium products,PT,543.258501954,-0.001957678765863541
Aluminium and aluminium products,RO,1168.18927683,-0.002941991202957904
Aluminium and aluminium products,RU,18879.1824496,-0.006198137811876847
Aluminium and aluminium products,SE,2135.19162301,-0.04670212397690467
Aluminium and aluminium products,SI,1443.72820135,-0.006471842950331779
Aluminium and aluminium products,SK,1696.23637467,-0.003897608613872619
Aluminium and aluminium products,TR,2580.28860824,-0.08301879872929085
Aluminium and aluminium products,TW,6095.69118313,-3.188214390881184
Aluminium and aluminium products,US,48679.1996737,-0.8687997355097371
