Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.006346498399068624
Aluminium and aluminium products,AU,10788.8621591,-0.004027182584288542
Aluminium and aluminium products,BE,5247.38034134,-0.011973707989415121
Aluminium and aluminium products,BG,1519.97837587,-0.0006514074045169123
Aluminium and aluminium products,BR,9914.80918982,-0.011589771857303244
Aluminium and aluminium products,CA,20401.1714152,-4.169490132862351
Aluminium and aluminium products,CH,664.221654607,-0.0013590887950234234
Aluminium and aluminium products,CN,267795.177986,-1.0181379634803844
Aluminium and aluminium products,CY,202.027361746,-3.7108286524189864e-06
Aluminium and aluminium products,CZ,4464.35318131,-0.002196825413649399
Aluminium and aluminium products,DE,29109.7538681,-0.01691143827218189
Aluminium and aluminium products,DK,1842.84710324,-0.001151544789411052
Aluminium and aluminium products,EE,101.53719116,-4.748608031750293e-05
Aluminium and aluminium products,ES,8208.21094615,-0.00705207917513632
Aluminium and aluminium products,FI,752.680853488,-0.00044818653856870054
Aluminium and aluminium products,FR,8846.32397853,-0.011904075214790658
Aluminium and aluminium products,GB,13378.5976996,-0.045660037198301445
Aluminium and aluminium products,GR,2553.08976835,-0.0032163705122472746
Aluminium and aluminium products,HR,560.379064274,-0.0003427391696370613
Aluminium and aluminium products,HU,286.469504551,-9.039973162098308e-05
Aluminium and aluminium products,ID,2586.29818798,-0.012243872206297197
Aluminium and aluminium products,IE,879.068440269,-0.0008526028059977715
Aluminium and aluminium products,IN,13943.6830579,-0.055519064060570854
Aluminium and aluminium products,IT,11485.2948435,-0.011664749215530412
Aluminium and aluminium products,JP,22875.3451004,-0.03563613295197875
Aluminium and aluminium products,KR,8309.49105106,-0.08825978123156471
Aluminium and aluminium products,LT,6.93599649202,-1.9329660642225662e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0006334355241482211
Aluminium and aluminium products,LV,296.259954279,-4.5792224721977685e-05
Aluminium and aluminium products,MT,0.00497401513167,-1.1849355335285475e-09
Aluminium and aluminium products,MX,5745.06290448,-0.16396320792748353
Aluminium and aluminium products,NL,3870.86435818,-0.006676469149610825
Aluminium and aluminium products,NO,4042.99806768,-0.0025434928505587147
Aluminium and aluminium products,PL,6503.02267632,-0.0037287874840266576
Aluminium and aluminium products,PT,1201.85724097,-0.00021029290861292665
Aluminium and aluminium products,RO,1296.42742076,-0.00047839846793338117
Aluminium and aluminium products,RU,17915.3872454,-0.002936391115104341
Aluminium and aluminium products,SE,3090.46542881,-0.003886096692598832
Aluminium and aluminium products,SI,2312.04475031,-0.0011692325646411373
Aluminium and aluminium products,SK,2260.89388142,-0.00036528631702262304
Aluminium and aluminium products,TR,9962.96552508,-0.01567612407427875
Aluminium and aluminium products,TW,9319.81261143,-0.002884133321970669
Aluminium and aluminium products,US,110792.994735,-11.673900645900416
Aluminium and aluminium products,WA,23768.5900005,-0.44910085068771555
Aluminium and aluminium products,WE,4791.31875552,-0.002433250600467637
Aluminium and aluminium products,WF,8032.46962605,-0.004695972381704365
