Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.05577473603024803
Aluminium and aluminium products,AU,12531.9933192,-0.1378095749046561
Aluminium and aluminium products,BE,3993.548713,-0.30557299982242253
Aluminium and aluminium products,BG,499.437458924,-0.01067125250243666
Aluminium and aluminium products,BR,6454.85163457,-0.03263001317562261
Aluminium and aluminium products,CA,11960.2679472,-0.1421377404457104
Aluminium and aluminium products,CH,643.630526142,-0.03208562356783241
Aluminium and aluminium products,CN,302689.359677,-87.171559324048
Aluminium and aluminium products,CY,41.8048397461,-0.0002947337118959034
Aluminium and aluminium products,CZ,2954.31147437,-0.03279757148648002
Aluminium and aluminium products,DE,19165.2510876,-1.1641346680070954
Aluminium and aluminium products,DK,1236.94914834,-0.018808724153264757
Aluminium and aluminium products,EE,91.1103938161,-0.0009358193421239657
Aluminium and aluminium products,ES,7461.13251474,-0.16845736454531063
Aluminium and aluminium products,FI,356.727766315,-0.003416107543729801
Aluminium and aluminium products,FR,5375.02085894,-0.2046242133530498
Aluminium and aluminium products,GB,8010.48600955,-0.09745004873878413
Aluminium and aluminium products,GR,2044.34637917,-0.10328782913039247
Aluminium and aluminium products,HR,505.814973588,-0.007446824171897698
Aluminium and aluminium products,HU,1306.27668286,-0.014158365409951554
Aluminium and aluminium products,ID,1068.52181168,-0.10131154310202727
Aluminium and aluminium products,IE,2172.43289372,-0.009763458173215979
Aluminium and aluminium products,IN,11978.7770986,-0.6047312102601519
Aluminium and aluminium products,IT,8923.67302338,-0.08168131577403848
Aluminium and aluminium products,JP,17109.5947277,-0.17087082076542243
Aluminium and aluminium products,KR,8673.57009522,-0.2894806554966059
Aluminium and aluminium products,LT,19.3725198714,-6.982371065698371e-05
Aluminium and aluminium products,LU,409.396696263,-0.14025679472565966
Aluminium and aluminium products,LV,54.691662585,-0.00041618528918101183
Aluminium and aluminium products,MT,11.6180007714,-1.1581429292288966e-05
Aluminium and aluminium products,MX,2504.363198,-0.11579546221017108
Aluminium and aluminium products,NL,2940.82747966,-0.06199980451544955
Aluminium and aluminium products,NO,4583.64797675,-0.01373633352436584
Aluminium and aluminium products,PL,3840.61096127,-0.050086457871549264
Aluminium and aluminium products,PT,543.258501954,-0.0036398379051890135
Aluminium and aluminium products,RO,1168.18927683,-0.011012181007928333
Aluminium and aluminium products,RU,18879.1824496,-0.07239727222743397
Aluminium and aluminium products,SE,2135.19162301,-0.038169859994134754
Aluminium and aluminium products,SI,1443.72820135,-0.006998098140727031
Aluminium and aluminium products,SK,1696.23637467,-0.00994723715821506
Aluminium and aluminium products,TR,2580.28860824,-0.042177399600322324
Aluminium and aluminium products,TW,6095.69118313,-0.112640035493492
Aluminium and aluminium products,US,48679.1996737,-0.6375197173932645
Aluminium and aluminium products,WA,15732.4429953,-0.24236275834115062
Aluminium and aluminium products,WE,3559.27925605,-0.014832941555176065
Aluminium and aluminium products,WF,6427.26361047,-0.014506396750145315
Aluminium and aluminium products,WL,7475.69132895,-0.027024168535499427
Aluminium and aluminium products,WM,11805.3345042,-0.06926095949981957
Aluminium and aluminium products,ZA,797.040743415,-0.008918603554947195
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,3048.47541169,-0.19575568512243963
Aluminium ores and concentrates,BE,2.84444912715,-1.9014012473745985e-06
Aluminium ores and concentrates,BG,0.138495096199,-2.1583904061788796e-08
Aluminium ores and concentrates,BR,280.581818121,-0.0035834206264426997
Aluminium ores and concentrates,CA,207.504378799,-9.836241941107029e-05
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,2603.31150983,-0.3961850008000587
Aluminium ores and concentrates,CY,0.00421751898077,-5.498410079708963e-10
Aluminium ores and concentrates,CZ,12.1417238024,-9.23448618974006e-06
Aluminium ores and concentrates,DE,1.19660977212,-5.995080808911198e-06
Aluminium ores and concentrates,DK,4.3419884646,-3.3553233805006536e-06
Aluminium ores and concentrates,EE,0.0661687596157,-1.9288687048162527e-09
Aluminium ores and concentrates,ES,7.56486150521,-1.5773707000918306e-06
Aluminium ores and concentrates,FI,1.96593974192,-1.052438690621633e-07
Aluminium ores and concentrates,FR,34.5354208783,-2.3079560317090676e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,58.4331609286,-0.0003074722059725472
Aluminium ores and concentrates,HR,19.4130743772,-2.357310637339045e-06
Aluminium ores and concentrates,HU,4.80949295081,-1.4481012888543225e-06
Aluminium ores and concentrates,ID,390.485203219,-0.1679018732910005
Aluminium ores and concentrates,IE,0.0,0.0
