Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.2153193429986763
Aluminium and aluminium products,AU,10788.8621591,-0.013767222319452065
Aluminium and aluminium products,BE,5247.38034134,-0.11686140605365382
Aluminium and aluminium products,BG,1519.97837587,-0.4027404485068251
Aluminium and aluminium products,BR,9914.80918982,-0.020237922515490992
Aluminium and aluminium products,CA,20401.1714152,-0.7508107145920153
Aluminium and aluminium products,CH,664.221654607,-0.4625513070815128
Aluminium and aluminium products,CN,267795.177986,-11.218300404776581
Aluminium and aluminium products,CY,202.027361746,-7.272913824096574e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.36337296997823604
Aluminium and aluminium products,DE,29109.7538681,-0.6241520230559324
Aluminium and aluminium products,DK,1842.84710324,-0.020268821579637646
Aluminium and aluminium products,EE,101.53719116,-0.0008422243248128941
Aluminium and aluminium products,ES,8208.21094615,-0.13641687230022692
Aluminium and aluminium products,FI,752.680853488,-0.003859064134137891
Aluminium and aluminium products,FR,8846.32397853,-0.10506295220943306
Aluminium and aluminium products,GB,13378.5976996,-0.1554825352735188
Aluminium and aluminium products,GR,2553.08976835,-2.716465422194753
Aluminium and aluminium products,HR,560.379064274,-2.1034138455492895
Aluminium and aluminium products,HU,286.469504551,-0.01333421361534989
Aluminium and aluminium products,ID,2586.29818798,-0.015602483164849839
Aluminium and aluminium products,IE,879.068440269,-0.003791381307872799
Aluminium and aluminium products,IN,13943.6830579,-0.10684276951072909
Aluminium and aluminium products,IT,11485.2948435,-2.0050708509232287
Aluminium and aluminium products,JP,22875.3451004,-0.08856411054662675
Aluminium and aluminium products,KR,8309.49105106,-0.06459006591304141
Aluminium and aluminium products,LT,6.93599649202,-0.0006823152374990556
Aluminium and aluminium products,LU,74.0640426448,-0.004570313172730008
Aluminium and aluminium products,LV,296.259954279,-0.0012304684071599594
Aluminium and aluminium products,MT,0.00497401513167,-3.7832392626520734e-08
Aluminium and aluminium products,MX,5745.06290448,-0.02809814906890268
Aluminium and aluminium products,NL,3870.86435818,-0.25998362389908897
Aluminium and aluminium products,NO,4042.99806768,-0.006600322793227444
Aluminium and aluminium products,PL,6503.02267632,-0.38481663266847377
Aluminium and aluminium products,PT,1201.85724097,-0.0037441203966433138
Aluminium and aluminium products,RO,1296.42742076,-0.11758879127644575
Aluminium and aluminium products,RU,17915.3872454,-0.12373551353969627
Aluminium and aluminium products,SE,3090.46542881,-0.026745206665875626
Aluminium and aluminium products,SI,2312.04475031,-1.9611777108669384
Aluminium and aluminium products,SK,2260.89388142,-0.10870335688862572
Aluminium and aluminium products,TR,9962.96552508,-0.28620569612990376
Aluminium and aluminium products,TW,9319.81261143,-0.006300503331613483
Aluminium and aluminium products,US,110792.994735,-0.49285287242973574
Aluminium and aluminium products,WA,23768.5900005,-0.6072861342324979
Aluminium and aluminium products,WE,4791.31875552,-3.4485519201188253
Aluminium and aluminium products,WF,8032.46962605,-0.04056782325475995
Aluminium and aluminium products,WL,9275.39526692,-0.1450878924964346
Aluminium and aluminium products,WM,19937.1975904,-0.40333527897979055
Aluminium and aluminium products,ZA,1122.58615792,-0.0059108812232819795
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0007208163867355275
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-2.0763312196157012e-05
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0004269201311415096
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-0.00027981684725401516
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-0.0001109383564310867
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-0.0004392452844899812
Aluminium ores and concentrates,HR,2.40123949261,-5.493816515947981e-05
Aluminium ores and concentrates,HU,25.9433227911,-0.0001217397701335184
Aluminium ores and concentrates,ID,0.897727817423,-4.674703678202336e-08
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-7.32126019379909e-05
Aluminium ores and concentrates,IT,345.382371744,-0.00637704897994865
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-3.5642459247259594e-05
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
Aluminium ores and concentrates,TR,277.745383024,-0.0029829563310452803
Aluminium ores and concentrates,TW,240.735987175,-0.0004960886733538622
Aluminium ores and concentrates,US,61.6295336059,-0.00012443793904088298
Aluminium ores and concentrates,WA,445.836642213,-0.0014341051308559497
Aluminium ores and concentrates,WE,144.010694731,-0.052024324340534424
Aluminium ores and concentrates,WF,353.253815291,-0.0020102729594679066
Aluminium ores and concentrates,WL,421.783559222,-0.0004296912703481135
Aluminium ores and concentrates,WM,0.0,0.0
Aluminium ores and concentrates,ZA,0.0,0.0
Basic iron and steel and of ferro-alloys and first products thereof,AT,4977.55358866,-0.44743842949288015
Basic iron and steel and of ferro-alloys and first products thereof,AU,11920.5249421,-0.037672501928171356
Basic iron and steel and of ferro-alloys and first products thereof,BE,8769.98102638,-0.21417309257636244
Basic iron and steel and of ferro-alloys and first products thereof,BG,335.866242412,-0.05758983517905226
Basic iron and steel and of ferro-alloys and first products thereof,BR,50470.2685827,-0.4472111594122657
Basic iron and steel and of ferro-alloys and first products thereof,CA,32211.5883643,-0.8498504677437847
Basic iron and steel and of ferro-alloys and first products thereof,CH,1235.22634818,-0.817680237097369
Basic iron and steel and of ferro-alloys and first products thereof,CN,1576271.53014,-7.26031620420486
Basic iron and steel and of ferro-alloys and first products thereof,CY,78.4887814687,-0.0002310271882781714
Basic iron and steel and of ferro-alloys and first products thereof,CZ,6906.19443192,-0.7887517408095377
Basic iron and steel and of ferro-alloys and first products thereof,DE,98371.3301901,-1.8216571216172315
Basic iron and steel and of ferro-alloys and first products thereof,DK,2254.42555552,-0.02148409889622312
Basic iron and steel and of ferro-alloys and first products thereof,EE,554.86917086,-0.001531296396528993
Basic iron and steel and of ferro-alloys and first products thereof,ES,32815.4783877,-0.2656211469536034
Basic iron and steel and of ferro-alloys and first products thereof,FI,9327.9240438,-0.06957305097311602
Basic iron and steel and of ferro-alloys and first products thereof,FR,36902.145357,-0.4806053612177107
Basic iron and steel and of ferro-alloys and first products thereof,GB,23626.7865492,-0.3974568847583182
Basic iron and steel and of ferro-alloys and first products thereof,GR,4002.74669845,-2.6731173280197384
Basic iron and steel and of ferro-alloys and first products thereof,HR,779.62247634,-1.4975047229906011
Basic iron and steel and of ferro-alloys and first products thereof,HU,573.651510555,-0.08074615978398297
