Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.005135729208710538
Aluminium and aluminium products,AU,12531.9933192,-0.008152719733507358
Aluminium and aluminium products,BE,3993.548713,-0.022666672451107973
Aluminium and aluminium products,BG,499.437458924,-0.001328063238578371
Aluminium and aluminium products,BR,6454.85163457,-0.014554131864535472
Aluminium and aluminium products,CA,11960.2679472,-0.024087992856215067
Aluminium and aluminium products,CH,643.630526142,-0.0010858957628990804
Aluminium and aluminium products,CN,302689.359677,-2.8765564452672256
Aluminium and aluminium products,CY,41.8048397461,-8.817914001055316e-06
Aluminium and aluminium products,CZ,2954.31147437,-0.0013051656536014822
Aluminium and aluminium products,DE,19165.2510876,-0.061091823547105524
Aluminium and aluminium products,DK,1236.94914834,-0.0016758176944713077
Aluminium and aluminium products,EE,91.1103938161,-2.48887233548348e-05
Aluminium and aluminium products,ES,7461.13251474,-0.056321576244936965
Aluminium and aluminium products,FI,356.727766315,-0.00042841224650313375
Aluminium and aluminium products,FR,5375.02085894,-0.07935388134726934
Aluminium and aluminium products,GB,8010.48600955,-0.015678073411105484
Aluminium and aluminium products,GR,2044.34637917,-0.010434978054187721
Aluminium and aluminium products,HR,505.814973588,-0.0005523736399984543
Aluminium and aluminium products,HU,1306.27668286,-0.0009780550526595074
Aluminium and aluminium products,ID,1068.52181168,-0.0019638289937316702
Aluminium and aluminium products,IE,2172.43289372,-0.002820862450746498
Aluminium and aluminium products,IN,11978.7770986,-0.14119426973374807
Aluminium and aluminium products,IT,8923.67302338,-0.035511195139635215
Aluminium and aluminium products,JP,17109.5947277,-0.045343272736068065
Aluminium and aluminium products,KR,8673.57009522,-0.021793750126450823
Aluminium and aluminium products,LT,19.3725198714,-2.675865643603195e-05
Aluminium and aluminium products,LU,409.396696263,-0.01030675765665222
Aluminium and aluminium products,LV,54.691662585,-0.0003863214463351636
Aluminium and aluminium products,MT,11.6180007714,-2.5206586690602796e-05
Aluminium and aluminium products,MX,2504.363198,-0.013060253558491953
Aluminium and aluminium products,NL,2940.82747966,-0.017477426804498028
Aluminium and aluminium products,NO,4583.64797675,-0.002962036965554629
Aluminium and aluminium products,PL,3840.61096127,-0.004047790903201302
Aluminium and aluminium products,PT,543.258501954,-0.001326704515882424
Aluminium and aluminium products,RO,1168.18927683,-0.0007982145741790434
Aluminium and aluminium products,RU,18879.1824496,-0.0008947806317184914
Aluminium and aluminium products,SE,2135.19162301,-0.0028431658728408035
Aluminium and aluminium products,SI,1443.72820135,-0.0026009110485531203
Aluminium and aluminium products,SK,1696.23637467,-0.0007110214512351087
Aluminium and aluminium products,TR,2580.28860824,-0.008343893302973615
Aluminium and aluminium products,TW,6095.69118313,-0.0047902676757695046
Aluminium and aluminium products,US,48679.1996737,-0.1243416443344125
