Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.013535534417243984
Aluminium and aluminium products,AU,10788.8621591,-0.020086606355858776
Aluminium and aluminium products,BE,5247.38034134,-0.020867132870347024
Aluminium and aluminium products,BG,1519.97837587,-0.0017452899343836433
Aluminium and aluminium products,BR,9914.80918982,-12.344547594596424
Aluminium and aluminium products,CA,20401.1714152,-14.09876838169474
Aluminium and aluminium products,CH,664.221654607,-0.00448528166942107
Aluminium and aluminium products,CN,267795.177986,-2.718772819868606
Aluminium and aluminium products,CY,202.027361746,-1.1659901047287242e-05
Aluminium and aluminium products,CZ,4464.35318131,-0.005133065758470377
Aluminium and aluminium products,DE,29109.7538681,-0.051559564219285585
Aluminium and aluminium products,DK,1842.84710324,-0.0018807553621395228
Aluminium and aluminium products,EE,101.53719116,-7.166744612995189e-05
Aluminium and aluminium products,ES,8208.21094615,-0.016190924325519863
Aluminium and aluminium products,FI,752.680853488,-0.0005899231923340571
Aluminium and aluminium products,FR,8846.32397853,-0.008793137534005006
Aluminium and aluminium products,GB,13378.5976996,-0.01631553233768635
Aluminium and aluminium products,GR,2553.08976835,-0.006821300847256107
Aluminium and aluminium products,HR,560.379064274,-0.0006691093244233774
Aluminium and aluminium products,HU,286.469504551,-0.00013606100928445418
Aluminium and aluminium products,ID,2586.29818798,-0.02197714922336619
Aluminium and aluminium products,IE,879.068440269,-0.0005455457086992934
Aluminium and aluminium products,IN,13943.6830579,-0.10959431478567422
Aluminium and aluminium products,IT,11485.2948435,-0.022691573407593615
Aluminium and aluminium products,JP,22875.3451004,-0.49118637532735404
Aluminium and aluminium products,KR,8309.49105106,-0.06902819163474065
Aluminium and aluminium products,LT,6.93599649202,-2.8560182072586118e-05
Aluminium and aluminium products,LU,74.0640426448,-0.0008052585900280276
Aluminium and aluminium products,LV,296.259954279,-8.023573280593757e-05
Aluminium and aluminium products,MT,0.00497401513167,-6.501201843840195e-09
Aluminium and aluminium products,MX,5745.06290448,-0.06827555572680369
Aluminium and aluminium products,NL,3870.86435818,-0.03657592586473011
Aluminium and aluminium products,NO,4042.99806768,-0.06195466059378708
Aluminium and aluminium products,PL,6503.02267632,-0.007587102982750273
Aluminium and aluminium products,PT,1201.85724097,-0.001651573748359132
Aluminium and aluminium products,RO,1296.42742076,-0.0017898729833915603
Aluminium and aluminium products,RU,17915.3872454,-0.009186779976869633
Aluminium and aluminium products,SE,3090.46542881,-0.00353913470052414
Aluminium and aluminium products,SI,2312.04475031,-0.002571248541703136
Aluminium and aluminium products,SK,2260.89388142,-0.0016975543907890775
Aluminium and aluminium products,TR,9962.96552508,-0.023746627724154576
Aluminium and aluminium products,TW,9319.81261143,-0.002464736508696278
Aluminium and aluminium products,US,110792.994735,-1.7585590436792584
Aluminium and aluminium products,WA,23768.5900005,-0.7787447984538112
Aluminium and aluminium products,WE,4791.31875552,-0.1803633069142883
Aluminium and aluminium products,WF,8032.46962605,-0.03708703831986177
Aluminium and aluminium products,WL,9275.39526692,-1.221121187781668
Aluminium and aluminium products,WM,19937.1975904,-0.2005671192614285
Aluminium and aluminium products,ZA,1122.58615792,-0.004381917788507315
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0014758502525594904
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-0.013029774147625961
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0013792419093146787
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-3.0764655210233064e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-2.16372730179724e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-8.842436874295913e-06
Aluminium ores and concentrates,HR,2.40123949261,-6.500829196908241e-08
Aluminium ores and concentrates,HU,25.9433227911,-1.4090718815995163e-06
Aluminium ores and concentrates,ID,0.897727817423,-1.8497256183389445e-07
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-3.7121002691420674e-05
Aluminium ores and concentrates,IT,345.382371744,-9.255584888349643e-05
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
Aluminium ores and concentrates,MT,0.0,0.0
Aluminium ores and concentrates,MX,0.0,0.0
Aluminium ores and concentrates,NL,0.0,0.0
Aluminium ores and concentrates,NO,0.0,0.0
Aluminium ores and concentrates,PL,0.0,0.0
Aluminium ores and concentrates,PT,0.0,0.0
Aluminium ores and concentrates,RO,0.0,0.0
Aluminium ores and concentrates,RU,87.5289640466,-5.05275074305953e-06
Aluminium ores and concentrates,SE,0.0,0.0
Aluminium ores and concentrates,SI,0.0,0.0
Aluminium ores and concentrates,SK,0.0,0.0
