Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5089.57196832,-0.0033286037270890004
Aluminium and aluminium products,AU,12531.9933192,-0.02849996222341687
Aluminium and aluminium products,BE,3993.548713,-0.010836199325665555
Aluminium and aluminium products,BG,499.437458924,-0.0006163508896865423
Aluminium and aluminium products,BR,6454.85163457,-0.004121453541287534
Aluminium and aluminium products,CA,11960.2679472,-0.014449313368119459
Aluminium and aluminium products,CH,643.630526142,-0.0007823425864896847
Aluminium and aluminium products,CN,302689.359677,-4.8710562044881
Aluminium and aluminium products,CY,41.8048397461,-4.808468017323278e-05
Aluminium and aluminium products,CZ,2954.31147437,-0.0011847841674062424
Aluminium and aluminium products,DE,19165.2510876,-0.032077686388629234
Aluminium and aluminium products,DK,1236.94914834,-0.0007161356488377591
Aluminium and aluminium products,EE,91.1103938161,-1.587615119528504e-05
Aluminium and aluminium products,ES,7461.13251474,-0.015706164785745033
Aluminium and aluminium products,FI,356.727766315,-0.00015306959318164948
Aluminium and aluminium products,FR,5375.02085894,-0.01304408307071508
Aluminium and aluminium products,GB,8010.48600955,-0.008501905252184075
Aluminium and aluminium products,GR,2044.34637917,-0.01963544767143265
Aluminium and aluminium products,HR,505.814973588,-0.0009344846659230168
Aluminium and aluminium products,HU,1306.27668286,-0.001996695035518811
Aluminium and aluminium products,ID,1068.52181168,-0.0022697216284804722
Aluminium and aluminium products,IE,2172.43289372,-0.001190193654185097
Aluminium and aluminium products,IN,11978.7770986,-0.05779861553560381
Aluminium and aluminium products,IT,8923.67302338,-0.011276699872937026
Aluminium and aluminium products,JP,17109.5947277,-0.0347974024575719
Aluminium and aluminium products,KR,8673.57009522,-0.03586096531516578
Aluminium and aluminium products,LT,19.3725198714,-5.519512646892102e-06
Aluminium and aluminium products,LU,409.396696263,-0.0049416310832078505
Aluminium and aluminium products,LV,54.691662585,-7.501445509400318e-05
Aluminium and aluminium products,MT,11.6180007714,-3.633694110550134e-06
Aluminium and aluminium products,MX,2504.363198,-0.0060538663322719
Aluminium and aluminium products,NL,2940.82747966,-0.0034764832892344518
Aluminium and aluminium products,NO,4583.64797675,-0.0009387425589824789
Aluminium and aluminium products,PL,3840.61096127,-0.002221039396249168
Aluminium and aluminium products,PT,543.258501954,-0.0005810421739339032
Aluminium and aluminium products,RO,1168.18927683,-0.0014583766255763153
Aluminium and aluminium products,RU,18879.1824496,-0.0006937804357191861
Aluminium and aluminium products,SE,2135.19162301,-0.001197384128124035
Aluminium and aluminium products,SI,1443.72820135,-0.00138447806036062
Aluminium and aluminium products,SK,1696.23637467,-0.0004652920077244653
Aluminium and aluminium products,TR,2580.28860824,-0.0061857848901631304
Aluminium and aluminium products,TW,6095.69118313,-0.007497996394837159
Aluminium and aluminium products,US,48679.1996737,-0.07580706217821867
