Shock_Industry,Shock_Country,Shock_Output_EUR,Abs_Change_EUR
Aluminium and aluminium products,AT,5941.34155147,-0.008292368999124493
Aluminium and aluminium products,AU,10788.8621591,-0.004654990400595598
Aluminium and aluminium products,BE,5247.38034134,-0.027608603833573164
Aluminium and aluminium products,BG,1519.97837587,-0.0019321741629561707
Aluminium and aluminium products,BR,9914.80918982,-0.009281983374336155
Aluminium and aluminium products,CA,20401.1714152,-0.18033011237352842
Aluminium and aluminium products,CH,664.221654607,-0.0009633240640199262
Aluminium and aluminium products,CN,267795.177986,-2.34291410570504
Aluminium and aluminium products,CY,202.027361746,-3.984287410863532e-06
Aluminium and aluminium products,CZ,4464.35318131,-0.002497053977777333
Aluminium and aluminium products,DE,29109.7538681,-0.03793664333486553
Aluminium and aluminium products,DK,1842.84710324,-0.0012755816828163215
Aluminium and aluminium products,EE,101.53719116,-9.895797942975812e-05
Aluminium and aluminium products,ES,8208.21094615,-0.012069139010541326
Aluminium and aluminium products,FI,752.680853488,-0.00047456082618051073
Aluminium and aluminium products,FR,8846.32397853,-0.009244296054794725
Aluminium and aluminium products,GB,13378.5976996,-0.015827987423487823
Aluminium and aluminium products,GR,2553.08976835,-0.007321156905397977
Aluminium and aluminium products,HR,560.379064274,-0.0008087172319953678
Aluminium and aluminium products,HU,286.469504551,-0.0001511542337797121
Aluminium and aluminium products,ID,2586.29818798,-0.00936148601277761
Aluminium and aluminium products,IE,879.068440269,-0.0006260457011366801
Aluminium and aluminium products,IN,13943.6830579,-0.18743255060603745
Aluminium and aluminium products,IT,11485.2948435,-0.027613543902052947
Aluminium and aluminium products,JP,22875.3451004,-0.058090080343659554
Aluminium and aluminium products,KR,8309.49105106,-0.04430274672410731
Aluminium and aluminium products,LT,6.93599649202,-4.726867647162804e-05
Aluminium and aluminium products,LU,74.0640426448,-0.000980084196344836
Aluminium and aluminium products,LV,296.259954279,-0.0001443284097993194
Aluminium and aluminium products,MT,0.00497401513167,-2.0540569832446557e-09
Aluminium and aluminium products,MX,5745.06290448,-0.012882245827533145
Aluminium and aluminium products,NL,3870.86435818,-0.013003751569495398
Aluminium and aluminium products,NO,4042.99806768,-0.0014836004070890735
Aluminium and aluminium products,PL,6503.02267632,-0.005210278335408061
Aluminium and aluminium products,PT,1201.85724097,-0.0006958715415838932
Aluminium and aluminium products,RO,1296.42742076,-0.001077769741978095
Aluminium and aluminium products,RU,17915.3872454,-0.004034108960600207
Aluminium and aluminium products,SE,3090.46542881,-0.003516198616698005
Aluminium and aluminium products,SI,2312.04475031,-0.0044271037157701115
Aluminium and aluminium products,SK,2260.89388142,-0.0006427107755858317
Aluminium and aluminium products,TR,9962.96552508,-0.02262576888794215
Aluminium and aluminium products,TW,9319.81261143,-0.0045892910492037675
Aluminium and aluminium products,US,110792.994735,-0.38391833044795814
Aluminium and aluminium products,WA,23768.5900005,-0.4753887554993511
Aluminium and aluminium products,WE,4791.31875552,-0.00391670362222956
Aluminium and aluminium products,WF,8032.46962605,-0.6232052866505419
Aluminium and aluminium products,WL,9275.39526692,-0.03368851431168397
Aluminium and aluminium products,WM,19937.1975904,-0.13365024675765408
Aluminium and aluminium products,ZA,1122.58615792,-2.983750711540701
Aluminium ores and concentrates,AT,0.0,0.0
Aluminium ores and concentrates,AU,195.049181364,-0.0005230445799903511
Aluminium ores and concentrates,BE,0.0,0.0
Aluminium ores and concentrates,BG,0.0,0.0
Aluminium ores and concentrates,BR,112.667555839,-9.717786030004838e-06
Aluminium ores and concentrates,CA,0.0,0.0
Aluminium ores and concentrates,CH,0.0,0.0
Aluminium ores and concentrates,CN,40.7705556849,-0.0003252593100233097
Aluminium ores and concentrates,CY,0.0,0.0
Aluminium ores and concentrates,CZ,46.4150990011,-5.260195639388103e-06
Aluminium ores and concentrates,DE,0.0,0.0
Aluminium ores and concentrates,DK,0.0,0.0
Aluminium ores and concentrates,EE,0.0,0.0
Aluminium ores and concentrates,ES,0.0,0.0
Aluminium ores and concentrates,FI,0.0,0.0
Aluminium ores and concentrates,FR,116.879161532,-2.8143086014525836e-05
Aluminium ores and concentrates,GB,0.0,0.0
Aluminium ores and concentrates,GR,80.6884676189,-1.4325786321341923e-05
Aluminium ores and concentrates,HR,2.40123949261,-3.184124816030788e-08
Aluminium ores and concentrates,HU,25.9433227911,-1.205928801694134e-06
Aluminium ores and concentrates,ID,0.897727817423,-1.1617079491912826e-07
Aluminium ores and concentrates,IE,0.0,0.0
Aluminium ores and concentrates,IN,63.3039500456,-0.00012238190794211466
Aluminium ores and concentrates,IT,345.382371744,-0.0001077483686146959
Aluminium ores and concentrates,JP,0.0,0.0
Aluminium ores and concentrates,KR,0.0,0.0
Aluminium ores and concentrates,LT,0.0,0.0
Aluminium ores and concentrates,LU,0.0,0.0
Aluminium ores and concentrates,LV,0.0,0.0
