Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AT,-81.81920676564144,0.0,-31.084596198782133,0.0,-3.926429047670221,0.0,-32.73769284023764,-0.3950231981427872,0.0,-50.104315685689286,0.0,-0.6769465165920964,-8.24861418311943,0.0,-0.1447693329504943
DE,-8.144588773297428,0.0,-17.720842913460036,0.0,-4.77889370455706,-0.4819017402584665,-15.56611181316701,-0.5325388699956661,-0.0024266226728267,-35.789451080660534,0.0,-0.0123209547763288,-3.447867993841151,0.0,-0.2703332439041874
US,-2.620557422389507,-0.000249367719702,-4.149546676421895,-0.0010406918431503,-0.7277455873408009,-4.003866134705323,-12.79723568493247,-0.0504474474507974,-0.0048528385291084,-13.076073629666556,0.0,-1.815987616200381e-05,-0.3636801971042495,-0.0002214562070929,-0.2642934316979263
CN,-4.537163382344329,-0.000269672402055,-8.076968044655622,-0.0036418348730106,-1.6625587117255032,-4.155788328409659,-6.659468693392695,-3.3152419353315,-0.0009548254878253,-0.0009709125862016,-0.0012141489400157,-0.0040156334380349,-1.0819166127632187,-0.0041134259691987,-0.616972293294395
CH,-1.0781821064834238,0.0,-1.8770980494598004,0.0,-0.0564920168989824,-0.0138832503175932,-8.941731524827896,-0.0205656329769086,0.0,0.0,0.0,0.0,-0.0910931722831364,0.0,-3.391703273132616
SI,-3.820221344275124,0.0,-3.712958441478146,0.0,-0.0596490552290223,0.0,-1.9003504113806653,-0.0085064671088979,0.0,-1.5430471818899034,0.0,0.0,-0.0508829202063028,0.0,-0.0029540197116075
IT,-1.3957218159409748,-0.0025154677138697,-2.464666682060892,0.0,-1.2734686036880598,-0.1000693030945023,-0.6334613665666614,-0.0363928224848294,-1.6930186142304875e-06,-2.955090917800028,0.0,-0.0016353516639233,-0.022667101385983,-6.137276540318202e-07,-0.2335232831640409
WA,-1.1478427135386693,-0.0027353080671509,-2.4548844780044385,-0.0017588061879209,-1.321891481538748,-0.3732349659617016,-1.7345594285150996,-0.1316977737938495,-0.0019612621307712,0.0,-0.0040022760697775,-0.0039653968820986,-0.2255391646768658,-0.0004877291762646,-0.407342129820208
CA,-2.271936054986497,0.0,-1.384710169780906,-8.828500675547314e-08,-0.2479695237815397,-0.2368215339030545,-1.0947374308624902,-0.188043834318044,-4.012951108760445e-06,0.0,-3.1312785432377224e-08,-4.0285393206655744e-05,-0.0728707756065958,-0.000460251315135,-0.0066738871863078
PL,-0.2381768429510928,0.0,-0.4761630923430545,-0.0010900270257187,-1.317510707343239,-0.0085506308515924,-0.8996482249973632,-0.027079125080125,-7.070148473904835e-05,-1.1417248699174407,-0.0002883901153958,-5.86247694414506e-05,-0.00018579325816,-5.170625708842298e-05,-0.0877785877304963
