Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AT,-8.604,0.0,-29.416,-0.0,-5.114,-26.25,-33.599,-0.097,-0.0,-19.313,0.0,-0.061,-6.791,-0.0,-0.317
CN,-4.987,-0.047,-3.764,-0.076,-9.53,-29.522,-7.278,-1.143,-0.006,-33.94,-0.007,-1.07,-0.786,-0.02,-1.317
DE,-3.421,-0.0,-4.397,-0.0,-1.815,-3.51,-2.627,-0.098,-0.001,-14.99,-0.001,-0.0,-2.249,-0.0,-0.114
US,-0.954,-0.0,-1.32,-0.009,-0.419,-1.265,-6.437,-0.027,-0.0,-5.754,0.0,-0.0,-0.043,-0.009,-0.068
IT,-0.256,-0.0,-0.911,-0.0,-0.996,-0.375,-0.178,-0.024,-0.0,-1.771,-0.0,-0.0,-0.015,-0.0,-0.028
GB,-0.576,0.0,-0.92,-0.0,-0.421,-0.624,-0.576,-0.014,-0.0,-0.231,-0.0,-0.0,-0.034,-0.0,-0.018
WA,-0.097,-0.01,-0.474,-0.01,-0.198,-0.799,-0.646,-0.063,-0.002,-0.338,-0.002,-0.037,-0.153,-0.003,-0.047
FR,-0.123,-0.0,-0.295,0.0,-0.691,-0.74,-0.311,-0.008,0.0,-0.252,0.0,-0.0,-0.015,0.0,-0.002
MX,-0.013,-0.0,-0.082,-0.003,-0.056,-1.241,-0.515,-0.029,-0.0,-0.142,-0.0,-0.0,-0.012,-0.0,-0.03
CH,-0.011,0.0,-0.023,0.0,-0.006,-0.629,-0.627,-0.001,0.0,-0.652,-0.0,0.0,-0.003,0.0,-0.097
JP,-0.165,0.0,-0.106,0.0,-0.131,-0.241,-0.371,-0.017,0.0,-0.911,0.0,-0.0,-0.016,-0.0,-0.005
CZ,-0.028,-0.0,-0.152,-0.0,-0.059,-0.836,-0.33,-0.025,-0.0,-0.398,-0.0,-0.0,-0.006,-0.0,-0.005
WM,-0.057,-0.001,-0.35,-0.009,-0.046,-0.373,-0.514,-0.007,-0.002,-0.265,-0.0,-0.014,-0.034,-0.01,-0.007
PL,-0.045,-0.0,-0.146,-0.001,-0.107,-0.485,-0.43,-0.032,-0.0,-0.315,-0.0,-0.0,-0.0,-0.0,-0.019
CA,-0.138,-0.0,-0.324,-0.001,-0.029,-0.227,-0.524,-0.013,-0.0,-0.245,-0.0,-0.0,-0.026,-0.0,-0.004
IN,-0.023,-0.0,-0.465,-0.0,-0.049,-0.111,-0.328,-0.013,-0.0,-0.467,0.0,-0.0,-0.001,-0.0,-0.014
HU,-0.032,-0.0,-0.126,-0.0,-0.002,-0.676,-0.334,-0.003,-0.0,-0.297,-0.0,-0.0,-0.0,-0.0,-0.0
KR,-0.13,0.0,-0.128,-0.0,-0.203,-0.4,-0.216,-0.093,-0.0,-0.094,-0.0,-0.0,-0.042,-0.0,-0.006
BE,-0.091,-0.0,-0.186,-0.0,-0.204,-0.098,-0.202,-0.024,-0.0,-0.136,-0.0,-0.003,-0.021,-0.0,-0.016
WL,-0.023,-0.003,-0.065,-0.01,-0.389,-0.147,-0.111,-0.008,-0.001,-0.057,-0.0,-0.003,-0.007,-0.001,-0.007
SK,-0.023,-0.0,-0.014,-0.0,-0.028,-0.272,-0.243,-0.004,-0.0,-0.218,-0.0,-0.0,-0.001,-0.0,-0.002
SE,-0.057,0.0,-0.217,-0.0,-0.045,-0.17,-0.123,-0.001,-0.0,-0.149,-0.0,-0.0,-0.036,-0.0,-0.0
TW,-0.007,-0.0,-0.01,-0.0,-0.016,-0.42,-0.152,-0.001,-0.0,-0.064,0.0,-0.0,-0.033,-0.0,-0.002
NL,-0.03,0.0,-0.018,0.0,-0.088,-0.088,-0.319,-0.004,0.0,-0.13,0.0,-0.0,-0.002,0.0,-0.001
TR,-0.052,-0.0,-0.278,-0.0,-0.044,-0.064,-0.166,-0.0,-0.0,-0.014,-0.0,-0.006,-0.014,-0.001,-0.01
WE,-0.028,-0.019,-0.163,-0.0,-0.118,-0.17,-0.053,-0.005,-0.001,-0.06,-0.0,-0.012,-0.014,-0.0,-0.001
IE,-0.003,0.0,-0.002,0.0,-0.0,-0.098,-0.115,-0.001,-0.0,-0.071,-0.0,0.0,-0.344,-0.0,-0.0
SI,-0.039,0.0,-0.051,-0.0,-0.008,-0.161,-0.175,-0.001,-0.0,-0.104,-0.0,0.0,-0.001,-0.0,-0.001
ES,-0.036,-0.0,-0.135,-0.003,-0.084,-0.171,-0.019,-0.023,-0.0,-0.045,-0.0,-0.0,-0.005,-0.0,-0.003
RO,-0.009,0.0,-0.041,-0.004,-0.01,-0.112,-0.147,-0.002,-0.0,-0.113,-0.0,-0.0,-0.001,-0.0,-0.0
WF,-0.007,-0.008,-0.046,-0.002,-0.123,-0.064,-0.075,-0.002,-0.002,-0.03,-0.0,-0.029,-0.023,-0.001,-0.003
FI,-0.004,-0.0,-0.039,-0.0,-0.02,-0.078,-0.017,-0.002,-0.0,-0.082,-0.0,-0.0,-0.148,-0.0,-0.001
DK,-0.018,-0.0,-0.017,-0.0,-0.009,-0.107,-0.091,-0.0,-0.0,-0.088,-0.0,-0.0,-0.0,-0.0,-0.0
LU,-0.004,0.0,-0.111,0.0,-0.034,-0.006,-0.076,-0.017,0.0,-0.033,0.0,0.0,-0.002,0.0,-0.004
BR,-0.013,-0.001,-0.082,-0.003,-0.018,-0.051,-0.03,-0.004,-0.001,-0.051,-0.0,-0.011,-0.004,-0.0,-0.003
NO,-0.026,-0.0,-0.029,-0.0,-0.021,-0.028,-0.027,-0.001,-0.0,-0.046,-0.0,-0.0,-0.027,-0.0,-0.004
AU,-0.017,-0.014,-0.022,-0.003,-0.006,-0.027,-0.018,-0.009,-0.001,-0.018,-0.0,-0.021,-0.014,-0.002,-0.015
BG,-0.004,-0.0,-0.001,-0.0,-0.119,-0.013,-0.015,-0.002,-0.0,-0.022,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.017,-0.0,-0.06,0.0,-0.016,-0.013,-0.056,-0.0,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.003,-0.0,-0.014,-0.0,-0.02,-0.058,-0.032,-0.001,-0.0,-0.033,-0.0,-0.0,-0.0,-0.0,-0.0
ID,-0.002,-0.002,-0.055,-0.0,-0.008,-0.026,-0.02,-0.001,-0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.001
RU,-0.004,-0.0,-0.055,-0.0,-0.009,-0.009,-0.014,-0.0,-0.001,-0.003,-0.0,-0.001,-0.005,-0.001,-0.003
HR,-0.006,-0.0,-0.005,-0.0,-0.001,-0.012,-0.033,-0.0,-0.0,-0.019,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.002,0.0,-0.007,-0.0,-0.003,-0.008,-0.01,-0.001,-0.0,-0.008,-0.0,-0.015,-0.002,-0.0,-0.003
EE,-0.0,-0.0,-0.001,-0.0,-0.01,-0.021,-0.004,-0.0,-0.0,-0.003,-0.0,0.0,-0.003,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.002,-0.004,-0.005,-0.0,-0.0,-0.003,-0.0,0.0,-0.0,0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.003,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
