Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.006,,0.047,0.0,0.426,0.652,0.24,0.053,0.621,0.145,0.371,0.577,0.236
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.004,0.004,0.01,0.013,0.002,0.007,0.001,0.003,0.002
BG,0.0,0.002,0.004,0.0,0.0,0.003,0.0,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.001,0.001,0.0,0.0,0.0,0.045,0.009,0.011,0.008
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.003,0.014,0.001,0.003,0.012,0.006,0.005
DE,0.0,0.0,0.062,0.052,0.0,0.0,0.17,0.097,0.085,0.054,0.206,0.052,0.05,0.045,0.183
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.024,0.0,0.005,0.0,0.0,0.002,0.003,0.004,0.013,0.0,0.001,0.002,0.0,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.014,0.001,0.001,0.0,0.001
FR,0.0,,,,0.0,,0.006,0.007,0.032,0.004,0.001,0.001,0.01,0.005,0.003
GB,,0.0,0.0,0.001,0.0,0.0,0.029,0.02,0.02,0.008,0.003,0.008,0.009,0.01,0.003
GR,0.003,,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.01,0.006,0.004
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.001,0.002,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.02,0.047,0.013,0.001,0.013,0.005,0.003,0.022
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.002,0.002,0.009,0.0,0.002,0.0,0.001,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.0,0.004,0.002,0.0,0.001,0.001,0.005,0.002
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.002,0.002,0.0,0.0,0.001
PL,0.0,0.01,0.01,0.002,0.0,0.001,0.002,0.003,0.005,0.018,0.0,0.008,0.007,0.007,0.004
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0
RO,,0.029,0.004,0.0,0.0,0.007,0.0,0.001,0.0,0.001,0.0,0.0,0.002,0.003,0.001
RU,0.0,0.002,0.032,0.01,0.001,0.016,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0
SE,,0.001,0.002,0.001,0.0,0.0,0.003,0.005,0.002,0.001,0.003,0.0,0.002,0.002,0.002
SI,,0.0,0.0,0.0,,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.002,0.003,0.001
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.002,0.0,0.001,0.004,0.004,0.003
WE,0.177,0.003,0.04,0.028,0.009,0.004,0.001,0.004,0.006,0.003,0.001,0.0,0.002,0.001,0.001
BR,0.013,0.021,0.035,0.023,0.009,0.004,0.001,0.002,0.001,0.002,0.0,0.002,0.001,0.001,0.001
CA,0.001,0.01,0.006,0.013,0.0,0.004,0.007,0.007,0.001,0.007,0.002,0.002,0.003,0.009,0.003
MX,0.0,0.024,0.009,0.001,0.0,0.009,0.001,0.002,0.003,0.016,0.001,0.014,0.018,0.009,0.002
US,0.0,0.065,0.015,,0.0,0.184,0.047,0.029,0.02,0.015,0.004,0.031,0.018,0.111,0.07
WL,0.032,0.075,0.047,0.024,0.003,0.026,0.001,0.001,0.018,0.004,0.001,0.003,0.002,0.002,0.001
CN,0.441,0.552,0.298,0.57,0.833,0.405,0.247,0.083,0.447,0.627,0.072,0.604,0.417,0.125,0.414
ID,0.014,0.003,0.001,0.029,0.0,0.002,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0
IN,0.001,0.001,0.001,,0.0,0.002,0.001,0.01,0.002,0.007,0.0,0.007,0.002,0.006,0.006
JP,,,,,0.0,0.0,0.008,0.002,0.006,0.009,0.001,0.002,0.003,0.006,0.011
KR,,0.0,0.0,0.002,0.0,0.0,0.006,0.003,0.01,0.051,0.004,0.003,0.006,0.004,0.001
TR,0.003,0.003,0.007,0.0,0.005,0.014,0.003,0.006,0.002,0.0,0.001,0.005,0.001,0.003,0.0
TW,0.0,0.0,0.002,,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.006,0.003,0.001
WA,0.097,0.072,0.103,0.162,0.029,0.052,0.005,0.01,0.009,0.034,0.014,0.022,0.011,0.011,0.004
WM,0.012,0.067,0.125,0.008,0.011,0.2,0.003,0.008,0.002,0.004,0.003,0.003,0.005,0.009,0.003
WF,0.075,0.013,0.119,0.031,0.023,0.014,0.0,0.001,0.006,0.001,0.002,0.002,0.001,0.001,0.0
ZA,,0.001,0.002,0.001,0.011,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0
AU,0.128,0.019,0.068,0.033,0.016,0.048,0.001,0.0,0.0,0.005,0.001,0.007,0.0,0.0,0.0
