Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AU,-25.16375679947364,-0.9007643835987148,-29.507331213885852,-0.3394842778217105,-10.932782217152928,-10.72313538882405,-2.731181210002249,-8.89899575815482,-0.246079555850126,0.0,-2.552038885006209,-0.026925033584651,-32.67165226905397,-4.887462976747907,-71.24376755531239
CN,-9.894587858267965,-0.0005008020095532,-19.54507585834485,-0.0062009978097107,-5.34346048309569,-10.382427077316397,-11.717151833956176,-23.920162291087134,-0.0065504146391297,-0.0017337475383622,-0.0072399707752429,-0.0103192862241337,-5.745683281233765,-0.0229225241004843,-17.773732833806193
IN,-3.109266652093948,-0.003620643763176,-61.00978930704395,-1.4976008144550129e-05,-7.93868895450127,-3.02182335518026,-4.031173596505711,-1.4163706879145117,-0.0005591102678092,0.0,0.0,-0.0018269424332734,-0.0972242834563735,-0.0007081800903866,-0.2154205832232294
JP,-1.568654428509549,0.0,-33.56795109716513,0.0,-8.816875482054405,-4.369649221854929,-18.612870221546988,-0.5626500543071907,0.0,-8.418222876155745e-08,0.0,-0.0408250081963282,-1.2342261660693434,-0.0080506181698059,-5.0127549094467465
WA,-5.140992201605819,-0.0122411788456197,-30.974955222099872,-0.0253654208034079,-9.055311758351742,-2.5795729458376715,-13.371444506955276,-1.4861543483515711,-0.0433752233843583,0.0,-0.0907409740289199,-0.0733369319352127,-0.4265014095519038,-0.0019999637850057,-9.209675772329945
KR,-1.2757571053464878,0.0,-18.38063505817383,-3.513381652662359e-05,-7.01134857661364,-2.443311423840109,-4.812280023709801,-3.4079623615258443,-4.340869533963747e-05,-1.917705704201108e-08,-0.0572351700826516,-0.0013077954925357,-0.2428501160863444,-0.0017731045857442,-4.750830415600036
ID,-0.2252123196931322,-5.786292839960075e-07,-25.035686839446743,-9.763374377237142e-06,-11.715631501965042,-0.1622527722698183,-0.547222224964868,-0.4066038914771576,-8.203326860815101e-06,0.0,-2.0846982928890075e-05,-8.785595152183767e-08,-0.9241034069158148,-3.642505011023918e-07,-0.0542908768069385
US,-0.9975305337820544,-0.0001820707240531,-5.837423097102041,-0.0008274512635233,-0.514617776311918,-2.8280829957999525,-10.95578382159344,-0.0698883360364463,-0.0038146719003239,-9.24919330829456,0.0,-1.34514052832295e-05,-0.2002344206570603,-0.0001291259352412,-0.8649495387857972
BR,-0.285699167148032,-0.0003011480883027,-9.794868236438568,-0.0002212276772178,-0.535160645350832,-0.2221286697000127,-0.0992045248892612,-0.0468346641106116,-3.464351594118303e-05,0.0,-0.0001060114309605,-1.701647101951552e-05,-0.1096758234193389,-0.0002597732812667,-0.0353175217743996
WM,-3.994926128141578,0.0,-0.8874923055991648,-0.0001574142129526,-0.6197898868346264,-0.2024839183398377,-2.3966665496686743,-0.2200965854231278,0.0,0.0,0.0,0.0,-0.1883011979168616,0.0,-0.1517153727562221
WL,-0.5197835049659651,-0.0015497261364722,-0.897778911941784,-6.576993127270068e-05,-3.5959118674800714,-0.1359909175994001,-0.5885765295504379,-0.0278626869968114,-0.0005854771236608,0.0,-0.0006087848290183,-0.0011208002283711,-0.0292571524731808,0.0,-0.0404934468126119
CA,-2.3493058991319056,0.0,-1.551660204538381,-7.507146815871166e-08,-0.2107991796720872,-0.242081221120044,-1.248434739746775,-0.0983637164280031,-1.7272603339552587e-06,0.0,-1.647972661520501e-07,-1.900360352328435e-05,-0.0343534411588987,-0.0026040638037939,-0.03722448921277
DE,-0.0791045673559326,0.0,-0.5349014855822444,0.0,-0.226993473722831,-0.0118996841600394,-0.4599381355098632,-0.1611855183668158,-0.0004989643032588,-0.9019227588716168,0.0,-0.0010480814141612,-0.1065591905642413,0.0,-3.191571130855963
