Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-18.611,-0.291,-66.51,-0.593,-128.414,-139.519,-40.815,-124.659,-0.052,-205.465,-0.053,-9.751,-11.778,-0.177,-29.934
AU,-91.945,-16.243,-22.991,-8.298,-18.878,-20.253,-8.29,-27.68,-4.637,-7.866,-0.815,-19.728,-61.241,-4.62,-27.563
JP,-7.222,0.0,-5.488,0.0,-6.214,-2.206,-6.765,-1.672,0.0,-8.22,0.0,-0.0,-0.785,-0.0,-0.434
WA,-2.504,-0.135,-5.605,-0.164,-2.69,-7.906,-8.85,-2.619,-0.017,-3.012,-0.022,-0.252,-0.601,-0.023,-2.651
US,-4.722,-0.0,-1.928,-0.024,-0.452,-2.511,-14.383,-0.118,-0.001,-7.863,0.0,-0.0,-0.108,-0.038,-0.125
IN,-0.549,-0.001,-18.867,-0.0,-1.668,-0.814,-4.549,-0.47,-0.0,-3.938,0.0,-0.001,-0.01,-0.0,-0.426
KR,-2.278,0.0,-2.055,-0.0,-2.485,-3.579,-2.357,-11.474,-0.0,-0.566,-0.0,-0.001,-0.396,-0.0,-0.473
WM,-3.745,-0.002,-2.013,-0.026,-0.088,-3.884,-9.589,-0.049,-0.004,-3.778,-0.001,-0.03,-0.095,-0.021,-0.037
CA,-3.491,-0.0,-0.523,-0.002,-0.056,-1.241,-2.288,-0.084,-0.0,-0.812,-0.0,-0.0,-0.163,-0.0,-0.006
DE,-0.301,-0.0,-0.376,-0.0,-0.172,-0.33,-0.257,-0.421,-0.0,-1.31,-0.0,-0.0,-0.141,-0.0,-0.297
TW,-0.037,-0.0,-0.29,-0.0,-0.106,-1.071,-0.994,-0.064,-0.0,-0.205,0.0,-0.0,-0.376,-0.0,-0.092
WL,-0.336,-0.005,-0.212,-0.019,-0.832,-0.424,-0.588,-0.01,-0.001,-0.204,-0.0,-0.006,-0.009,-0.002,-0.01
WF,-0.288,-0.009,-0.254,-0.003,-0.037,-0.394,-0.925,-0.017,-0.004,-0.24,-0.0,-0.054,-0.066,-0.001,-0.007
MX,-0.014,-0.0,-0.072,-0.003,-0.041,-1.14,-0.513,-0.041,-0.0,-0.126,-0.0,-0.0,-0.006,-0.0,-0.027
ID,-0.066,-0.009,-0.934,-0.002,-0.071,-0.085,-0.478,-0.01,-0.0,-0.037,-0.002,-0.001,-0.03,-0.001,-0.006
GB,-0.137,0.0,-0.138,-0.0,-0.107,-0.307,-0.275,-0.358,-0.0,-0.111,-0.0,-0.0,-0.116,-0.0,-0.093
ES,-0.04,-0.0,-0.082,-0.002,-0.023,-0.074,-0.01,-1.21,-0.0,-0.024,-0.0,-0.0,-0.017,-0.0,-0.001
BE,-0.043,-0.0,-0.134,-0.0,-0.054,-0.038,-0.099,-0.466,-0.0,-0.054,-0.0,-0.007,-0.037,-0.0,-0.009
IT,-0.102,-0.0,-0.234,-0.0,-0.057,-0.06,-0.033,-0.065,-0.0,-0.311,-0.0,-0.0,-0.014,-0.0,-0.007
NL,-0.08,0.0,-0.023,0.0,-0.129,-0.077,-0.371,-0.011,0.0,-0.104,0.0,-0.0,-0.008,0.0,-0.001
BR,-0.025,-0.006,-0.38,-0.01,-0.02,-0.086,-0.048,-0.005,-0.002,-0.074,-0.001,-0.027,-0.007,-0.001,-0.008
FR,-0.04,-0.0,-0.26,0.0,-0.025,-0.144,-0.073,-0.026,0.0,-0.056,0.0,-0.0,-0.012,0.0,-0.001
ZA,-0.007,0.0,-0.062,-0.001,-0.01,-0.062,-0.277,-0.002,-0.0,-0.078,-0.0,-0.101,-0.009,-0.0,-0.012
WE,-0.19,-0.004,-0.084,-0.0,-0.007,-0.123,-0.084,-0.004,-0.0,-0.053,-0.0,-0.004,-0.003,-0.0,-0.0
TR,-0.022,-0.0,-0.215,-0.0,-0.021,-0.029,-0.136,-0.003,-0.0,-0.012,-0.0,-0.006,-0.015,-0.001,-0.064
CH,-0.003,0.0,-0.009,0.0,-0.0,-0.077,-0.156,-0.0,0.0,-0.084,-0.0,0.0,-0.0,0.0,-0.156
NO,-0.104,-0.0,-0.027,-0.0,-0.012,-0.016,-0.016,-0.002,-0.0,-0.017,-0.0,-0.0,-0.282,-0.0,-0.001
RU,-0.01,-0.0,-0.216,-0.0,-0.011,-0.02,-0.071,-0.001,-0.001,-0.014,-0.0,-0.001,-0.01,-0.001,-0.003
PL,-0.012,-0.0,-0.024,-0.0,-0.014,-0.07,-0.09,-0.017,-0.0,-0.047,-0.0,-0.0,-0.0,-0.0,-0.002
SE,-0.036,0.0,-0.057,-0.0,-0.022,-0.04,-0.028,-0.002,-0.0,-0.033,-0.0,-0.0,-0.028,-0.0,-0.0
AT,-0.027,0.0,-0.026,-0.0,-0.01,-0.049,-0.065,-0.003,-0.0,-0.04,0.0,-0.0,-0.002,-0.0,-0.0
LU,-0.004,0.0,-0.056,0.0,-0.009,-0.007,-0.057,-0.058,0.0,-0.014,0.0,0.0,-0.005,0.0,-0.002
CZ,-0.003,-0.0,-0.015,-0.0,-0.003,-0.073,-0.031,-0.011,-0.0,-0.039,-0.0,-0.0,-0.002,-0.0,-0.0
BG,-0.002,-0.0,-0.004,-0.0,-0.088,-0.01,-0.012,-0.001,-0.0,-0.027,-0.0,-0.001,-0.001,-0.0,-0.0
DK,-0.005,-0.0,-0.007,-0.0,-0.001,-0.042,-0.037,-0.0,-0.0,-0.04,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.024,-0.0,-0.027,0.0,-0.004,-0.01,-0.05,-0.0,-0.0,-0.009,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.001,-0.0,-0.01,-0.0,-0.004,-0.018,-0.005,-0.001,-0.0,-0.017,-0.0,-0.0,-0.053,-0.0,-0.0
HU,-0.003,-0.0,-0.01,-0.0,-0.0,-0.042,-0.022,-0.0,-0.0,-0.024,-0.0,-0.0,-0.0,-0.0,-0.0
IE,-0.001,0.0,-0.001,0.0,-0.0,-0.028,-0.024,-0.0,-0.0,-0.022,-0.0,0.0,-0.001,-0.0,-0.0
SK,-0.002,-0.0,-0.003,-0.0,-0.001,-0.026,-0.017,-0.001,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.001,0.0,-0.005,-0.001,-0.002,-0.013,-0.017,-0.001,-0.0,-0.014,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.001,-0.0,-0.006,-0.0,-0.001,-0.015,-0.009,-0.007,-0.0,-0.009,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.004,0.0,-0.005,-0.0,-0.001,-0.013,-0.014,-0.0,-0.0,-0.011,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013,-0.007,-0.0,-0.0,-0.002,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.001,-0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.002,-0.002,-0.0,-0.0,-0.002,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.001,-0.0,-0.001,-0.0,-0.0,-0.001,-0.003,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.001,-0.001,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
