Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
BE,-42.32469777031593,0.0,-43.09966148120522,0.0,-17.21468234752581,-0.5400614951876207,-13.09374331784247,-0.6001757574199378,0.0,-16.760463570657198,0.0,-0.0782946067254957,-1.853664404122586,0.0,-4.726957820647401
DE,-2.850619624617025,0.0,-7.176178116677861,0.0,-5.232681075301289,-0.1992165168576158,-7.435223212184127,-0.233423463851998,-0.0009277887632812,-15.692736013110787,0.0,-0.0066355750435875,-0.6108198146881538,0.0,-0.2741130199432496
US,-1.6187429360298802,-0.0002028897466444,-3.427064717069591,-0.0008995479821505,-0.7693409877825783,-3.2452472150145817,-9.295867849546818,-0.0415489374149182,-0.0041692048163933,-10.006205204988923,0.0,-1.4901081076655994e-05,-0.2661042822267704,-0.0001571379729238,-0.7195692844850535
CN,-3.853556348926552,-0.0003481981408445,-6.292009175230858,-0.0047013658979757,-2.8762845719283225,-4.300147820726881,-5.2740568375424255,-2.145722135157274,-0.0010530916192487,-0.000871170622139,-0.0013812268579891,-0.0050779207976044,-0.6915639637969668,-0.0046489603786785,-0.3504393179881548
FR,-3.038591509965205,-0.0023710625809579,-10.827568614015767,0.0,-1.96436587357139,-0.2611322414664778,-2.3172233319622944,-0.0439394050491481,0.0,-3.8783207715444794,-0.0012892527879975,-0.0006437843084384,-0.1698480186516824,0.0,-0.0438626445160883
NL,-3.972631982621193,0.0,-1.073578507571871,0.0,-2.1991833033687143,0.0,-4.423107867093104,-0.3149397827659353,0.0,-5.286167544815157,0.0,-0.0030666515498228,-0.4105987746192839,0.0,-0.0902123484536393
GB,-4.334025719801791,0.0,-3.4697527880891395,0.0,-2.404356890839687,-0.2850372946377152,-4.797684214860092,-0.3217609235663713,-0.0019458865168585,-0.0538508895473081,0.0,-0.0310516036723558,-1.3580956162833604,-9.813155601166237e-06,-0.2443603639338347
WA,-1.5219899013657148,-0.0036283604095242,-3.4732519373595343,-0.0017782460540311,-2.5009781498121946,-0.5020190968830285,-2.476112983574538,-0.1503718695858966,-0.0022902244347688,0.0,-0.0034385939377661,-0.0039377051563512,-0.1198497760322305,-0.0009481822240604,-0.3504201685296876
CA,-3.040187702099164,0.0,-1.6225460074913525,-1.0217348722563154e-07,-0.3678287559273633,-0.3036853677621737,-1.3147250609521506,-0.1705831718247085,-3.3422234897802435e-06,0.0,-4.0182557141490896e-08,-3.540896766911365e-05,-0.0641311640349766,-0.0018562647027745,-0.0266161452637045
IN,-0.3081708606158588,-5.275733095354843e-05,-2.842633662628772,-8.191991606086803e-06,-0.3753804035186387,-0.8048271594860452,-0.7135609062322987,-0.0206122303883946,-5.311352005625262e-05,0.0,0.0,-0.0001844309756424,-0.0055613728193375,-6.561772374957754e-05,-0.0143119412014066
IT,-0.5806906943711081,-0.0012150552671214,-1.1460367914217464,0.0,-0.956933342034894,-0.0433174432554219,-0.3492808662540296,-0.0245201528569457,-4.5186668226675547e-07,-1.2631194402529493,0.0,-0.0006159674025059,-0.0086249602029188,-1.4768076826299522e-07,-0.1377259911077229
KR,-0.2648879721410974,0.0,-0.5355943683004,-3.969821918824871e-06,-1.7382699289662076,-0.6363864596481906,-0.4069273743252346,-0.1849766693261552,-2.187252456637304e-05,-3.16929031165716e-07,-0.033194422821713,-0.0004359886972631,-0.0516451655634521,-0.0007664619655973,-0.2556931622385236
WM,-0.4993114009629444,0.0,-0.4458271790461292,-0.0006266509118915,-1.3577867907847574,-0.1378909045404976,-1.1410991926492688,-0.1099443899352074,0.0,0.0,0.0,0.0,-0.2059106349785391,0.0,-0.0694160200842971
WL,-0.1757404153265966,-0.0005198953230217,-0.4152619524838479,-8.453700387301716e-05,-2.82839209915734,-0.09901123535468,-0.279803853432387,-0.0381785779812512,-0.0002976199306377,0.0,-0.0004902040932369,-0.0003760048034885,-0.0203548203943631,0.0,-0.0338103591115699
PL,-0.1492810517308193,0.0,-0.37298541379255,-0.0008910079937969,-1.282483711473498,-0.0064622224891875,-0.6567144065138202,-0.0210306053504526,-5.1260510069561546e-05,-0.7699404943318846,-0.0001700231491695,-1.917970771371214e-05,-0.0002061205591683,-3.2766601540237805e-05,-0.0626589813405109
WF,-0.0929711768256082,-0.001642821425849,-0.0902461302211499,-0.0033078562678279,-2.642238264973439,-0.0218546925524653,-0.0088077469538875,-0.0584412927153455,-0.0070289667981425,0.0,-0.0049249833934007,-0.0019238473328053,-0.2758281738488836,0.0,-0.0109805922468046
JP,-0.1031339440575491,0.0,-0.3336313428373442,0.0,-1.394298047189615,-0.5576391983542989,-0.6293619474693305,-0.0310905608775975,0.0,-2.0468428529492002e-07,0.0,-0.0014102196810968,-0.0631992936522058,-0.0004590100406303,-0.0780762120320299
AT,-0.4922190236959329,0.0,-0.4704952169183817,0.0,-0.1134308527440782,0.0,-0.8686111748205506,-0.0055933069062454,0.0,-0.8455214219092604,0.0,-0.0027874082956081,-0.07941385322543,0.0,-0.0017027318716905
MX,-0.0897294324873288,0.0,-0.2946975201758037,0.0,-0.1918904351812012,-0.2612730960470349,-1.8497022378325936,-0.035808118418969,0.0,0.0,0.0,0.0,-0.0052000965530724,0.0,-0.0640196416140507
BG,-0.135523434834725,0.0,-0.0189219075263652,-0.0480042474169151,-1.938939893362295,0.0,-0.0439049937656394,-0.0136032808559321,-0.0003766752362535,0.0,0.0,-2.042564354231432e-05,-0.0008738210570746,-0.0211798259100163,-0.0002101616413568
ES,-0.2095276463788858,0.0,-0.5658363253952433,-0.1316542435533088,-0.5299622629847514,-0.1865599905682992,-0.2587259170839793,-0.0068609311120269,-0.0020000065463586,-0.1785852801030105,-0.0001844208824032,-0.0008614419055575,-0.006631113745336,-0.0024642211681851,-0.0033956123950529
CH,-0.0279809858871786,0.0,-0.036502615446306,0.0,-0.0068793447456408,-0.0030123441025149,-1.536051560195312,-0.0012746635105811,0.0,0.0,0.0,0.0,-0.0028562181369851,0.0,-0.3515982526084439
SE,-0.0801595139668561,0.0,-0.3747387283027705,-0.0011056298785575,-0.1029539787419535,-0.0015942033758831,-0.3404585787697146,-0.0118570901065162,-0.0003412263439789,-0.8442099462554262,-3.810007946796084e-05,-0.0001850602075934,-0.0081212813433488,-0.0003530894532705,-0.0018450728217082
