Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.585,-0.062,-5.181,-0.101,-88.368,-65.516,-9.107,-2.959,-0.008,-51.186,-0.01,-1.342,-1.072,-0.026,-5.02
BE,-2.894,-0.0,-45.977,-0.005,-62.991,-17.867,-40.593,-6.215,-0.0,-13.8,-0.0,-0.647,-3.443,-0.0,-9.108
DE,-1.028,-0.0,-7.222,-0.0,-11.916,-4.465,-3.302,-0.263,-0.001,-14.564,-0.003,-0.0,-0.563,-0.0,-0.958
US,-0.428,-0.0,-1.438,-0.015,-3.641,-2.086,-7.576,-0.057,-0.001,-6.665,0.0,-0.0,-0.14,-0.01,-0.566
GB,-0.447,0.0,-0.784,-0.0,-3.754,-1.574,-1.458,-0.049,-0.0,-0.585,-0.0,-0.0,-0.088,-0.0,-0.212
WA,-0.083,-0.028,-1.105,-0.035,-1.454,-2.147,-1.514,-0.29,-0.004,-0.59,-0.005,-0.075,-0.127,-0.006,-0.752
FR,-0.266,-0.0,-1.524,0.0,-1.876,-2.332,-1.218,-0.044,0.0,-0.843,0.0,-0.0,-0.05,0.0,-0.011
IT,-0.2,-0.0,-1.156,-0.0,-3.526,-0.531,-0.247,-0.105,-0.0,-2.128,-0.0,-0.0,-0.028,-0.0,-0.153
CH,-0.01,0.0,-0.023,0.0,-0.034,-0.913,-0.508,-0.001,0.0,-0.511,-0.0,0.0,-0.003,0.0,-5.366
WM,-0.071,-0.003,-0.904,-0.038,-0.546,-1.437,-1.418,-0.027,-0.005,-0.585,-0.0,-0.027,-0.052,-0.02,-0.223
WF,-0.027,-0.061,-0.243,-0.015,-3.704,-0.305,-0.415,-0.019,-0.013,-0.116,-0.002,-0.155,-0.127,-0.004,-0.022
