Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.008,0.013,0.002,0.001,0.003,0.0,0.004,0.007,0.003
BE,0.001,0.019,0.002,0.002,0.273,0.001,0.262,0.636,0.332,0.58,0.55,0.391,0.164,0.527,0.141
BG,0.0,0.001,0.002,0.0,0.0,0.003,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.001,0.0,0.0,0.0,0.001,0.231,0.008,0.007,0.005
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.0,0.0,0.006,0.003,0.003
DE,0.0,0.0,0.025,0.128,0.0,0.0,0.093,0.1,0.063,0.024,0.09,0.041,0.041,0.043,0.149
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,0.002,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.029,0.0,0.007,0.0,0.0,0.006,0.005,0.003,0.01,0.003,0.001,0.004,0.001,0.001
FI,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.001,0.002,0.002,0.014,0.0,0.002,0.001,0.002
FR,0.001,,,,0.0,,0.024,0.021,0.01,0.004,0.008,0.0,0.021,0.016,0.009
GB,,0.0,0.0,0.002,0.0,0.0,0.04,0.011,0.02,0.005,0.014,0.009,0.014,0.019,0.006
GR,0.004,,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.003,0.003,0.002
IE,,,0.001,0.0,,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.002,0.002,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.016,0.019,0.01,0.004,0.007,0.005,0.003,0.022
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.002,0.0,0.002,0.0,0.0,0.0,0.002,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.009,0.002,0.008,0.002,0.006,0.001,0.005,0.031,0.005
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.006,0.0,0.0,0.001,0.001
PL,0.0,0.007,0.006,0.001,0.0,0.001,0.003,0.003,0.002,0.002,0.0,0.001,0.006,0.007,0.004
PT,0.0,0.0,0.003,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.001
RO,,0.018,0.002,0.0,0.0,0.005,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.003,0.001
RU,0.0,0.002,0.023,0.008,0.0,0.015,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
SE,,0.002,0.002,0.001,0.0,0.001,0.006,0.007,0.001,0.0,0.006,0.0,0.002,0.003,0.003
SI,,0.0,0.0,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.002,0.001
WE,0.058,0.001,0.043,0.003,0.005,0.003,0.001,0.002,0.002,0.0,0.001,0.0,0.002,0.001,0.0
BR,0.012,0.019,0.031,0.021,0.008,0.005,0.001,0.001,0.0,0.001,0.001,0.003,0.001,0.0,0.001
CA,0.003,0.009,0.005,0.011,0.0,0.004,0.014,0.007,0.001,0.005,0.011,0.001,0.006,0.009,0.003
MX,0.0,0.019,0.006,0.001,0.0,0.008,0.001,0.002,0.001,0.003,0.001,0.002,0.015,0.009,0.001
US,0.0,0.058,0.016,,0.0,0.132,0.039,0.02,0.019,0.005,0.022,0.024,0.019,0.098,0.068
WL,0.026,0.076,0.041,0.023,0.003,0.03,0.002,0.002,0.003,0.001,0.002,0.001,0.002,0.003,0.001
CN,0.308,0.381,0.198,0.414,0.567,0.341,0.415,0.072,0.466,0.276,0.171,0.216,0.602,0.118,0.523
ID,0.023,0.005,0.001,0.042,0.0,0.003,0.0,0.002,0.0,0.0,0.007,0.0,0.0,0.001,0.0
IN,0.001,0.002,0.001,,0.001,0.004,0.004,0.017,0.001,0.003,0.0,0.002,0.002,0.011,0.009
JP,,,,,0.0,0.0,0.008,0.002,0.003,0.014,0.007,0.003,0.005,0.008,0.016
KR,,0.0,0.0,0.003,0.0,0.0,0.007,0.003,0.005,0.011,0.007,0.002,0.007,0.004,0.001
TR,0.002,0.003,0.006,0.0,0.004,0.016,0.003,0.012,0.001,0.0,0.002,0.018,0.001,0.007,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.002,0.006,0.002,0.001
WA,0.14,0.132,0.105,0.205,0.032,0.073,0.008,0.015,0.008,0.027,0.02,0.032,0.02,0.02,0.006
WM,0.014,0.144,0.114,0.012,0.011,0.255,0.006,0.013,0.003,0.002,0.008,0.01,0.013,0.018,0.006
WF,0.306,0.056,0.318,0.089,0.065,0.054,0.002,0.003,0.02,0.002,0.02,0.001,0.003,0.005,0.001
ZA,,0.001,0.002,0.002,0.018,0.006,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0
AU,0.098,0.014,0.044,0.023,0.011,0.04,0.002,0.0,0.0,0.002,0.004,0.001,0.0,0.0,0.0
