Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
BG,-44.087711325456326,0.0,-3.701913820981124,-5.420606190028483,-481.9997648113074,0.0,-19.15123247109764,-2.9361657908937184,-0.0812056795769924,0.0,0.0,-0.0023981932236703,-0.2133807802982512,-2.040796928423468,-0.019171256743528
CN,-2.4751763022696807,-0.0002711873626631,-11.896566747762554,-0.0039351490515612,-42.562153245952686,-19.52791471486276,-12.801658511908157,-3.458274168903042,-0.0011089364107586,-0.0006382161606364,-0.0013618941198011,-0.0041175449278543,-0.5015344335662639,-0.0057034298947739,-1.0194150608794257
DE,-1.4930271459729856,0.0,-3.79127573290624,0.0,-25.15375045360778,-0.1232463894100759,-6.623848410232421,-0.2526717052647241,-0.0009082034548709,-13.361800962587122,0.0,-0.0040109795013629,-0.1482178201827058,0.0,-9.604652551575532
US,-1.7474766478230424,-0.0001250755344521,-2.7930095860622166,-0.0005715514749127,-3.495302898123009,-3.130008051741368,-11.631624181526446,-0.0443882950553992,-0.0027057702530181,-9.200877593205869,0.0,-9.381731021042025e-06,-0.8363797186486277,-9.635655911265294e-05,-1.1502960447014967
WA,-0.5814862689613177,-0.0013799974886831,-3.100546481412133,-0.0028422884010003,-15.803860774822777,-0.9017097963410516,-4.6046021427939,-0.1091135371147836,-0.0026769077008722,0.0,-0.0067497651186228,-0.00618422793179,-0.0772526324477572,-0.0004367607391859,-0.6862908176944917
TR,-0.9806262124896988,-0.008847039149028,-2.1162860481110592,-0.0063450962486756,-18.425448408639834,-0.0241019041260577,-3.4203925910905277,-0.2343248990208053,-0.0077780408831636,-0.0009726343631947,-0.0139418681900561,-0.0125811682781863,-0.0282839078223612,-0.0242027571614491,-0.2242394619573403
KR,-0.1164414945542186,0.0,-0.5207851098855565,-1.5495125356371754e-05,-19.48179263794288,-2.213238181880181,-0.2542976936049849,-0.2490523774488439,-2.321040756604777e-05,-2.07253523971354e-07,-0.0274760872217177,-0.0004919029988661,-0.0250393918534715,-0.0007274537622539,-0.2197259361616418
BE,-0.6824815704330925,0.0,-0.6784369580193538,0.0,-17.71670506880562,-0.0629948294651766,-1.9144533966330344,-0.0268792517354498,0.0,-0.802492596197212,0.0,-0.0014166667770174,-0.047725208437045,0.0,-0.3819522328218127
WM,-0.4553755187267749,0.0,-0.9810507844523992,-0.00021435108542,-18.776865378428248,-0.3363685253472038,-1.3873295754317914,-0.1403897887316916,0.0,0.0,0.0,0.0,-0.1568443878236249,0.0,-0.0763746356633963
IT,-1.6878495429492475,-0.0040086684315272,-3.903454597702768,0.0,-8.543649928875034,-0.1430311931675736,-1.045232740871103,-0.0499548851415079,-4.733075968960337e-07,-4.2044992454417045,0.0,-0.0022506473839628,-0.0247746348048298,-8.725010025772924e-07,-0.251478595303883
PL,-0.6076735372941415,0.0,-0.760793038273201,-0.0015815325387918,-12.37204222017221,-0.012984705619244,-1.567252399650756,-0.109107631279685,-0.0001914770612672,-1.696466547628556,-0.0028675168001687,-7.593755389539456e-05,-0.0002362613882634,-7.41812661433945e-05,-0.1431548646631534
WE,-0.6551121131853771,-0.0013450856147508,-2.627188230619249,-0.8664478520116237,-5.191247952741362,-0.3257829961705974,-1.6030579915670968,-0.0726462784221551,-0.0035479215110029,0.0,-0.0013773998371165,-0.0065877120582051,-0.1014465453848414,-0.0025520761490025,-0.0582542391221176
RO,-0.2246704161648194,0.0,-1.6188539961041972,-4.098102200121651e-05,-0.347138308084962,0.0,-2.721052525624076,-0.0079925509360827,-6.616269734418206e-07,-6.457586251534168,0.0,-1.7608648620885722e-07,-0.0084391261671681,-4.886364822078682e-05,-0.0005324951948806
GB,-0.0756487032478068,0.0,-0.6356225853046176,0.0,-6.009950249787513,-0.0124145794345986,-1.420653101879101,-0.2372872339385486,-9.461193522525356e-05,-0.0061122008809386,0.0,-0.001474994130924,-0.0803729663906016,-6.009159707382857e-07,-0.0726838284468928
JP,-0.0667793605960995,0.0,-0.330242919635129,0.0,-4.178249231147717,-0.6879172507075821,-0.6007263271442069,-0.0255209764780224,0.0,-1.394880050004332e-07,0.0,-0.0007314779580555,-0.0395183548268435,-0.00014470265402,-0.0306308113642021
WF,-0.1250233843884792,-0.0022360092258246,-0.1218777659467164,-0.005420472132211,-5.044148072536823,-0.0279414743714319,-0.0108277266901822,-0.0660876263336964,-0.026161860223428,0.0,-0.0183308195395725,-0.0023344111109315,-0.295998626572076,0.0,-0.0166639540956412
CZ,-0.3414615459252767,-0.0001276367881641,-0.5279336283343735,0.0,-0.5704410935707501,-0.001585667099795,-1.4656820898650953,-0.1287353531275059,-2.8109210650426845e-05,-2.356349720731383,-5.1419036143088885e-05,-0.0001135123642293,-0.00602164827923,0.0,-0.0103926202365461
CA,-1.320230959369462,0.0,-0.797155019222083,-6.477294858058387e-08,-2.046488076523685,-0.1468507688150304,-0.7386950368010071,-0.1155211491310304,-2.361296528647396e-06,0.0,-2.0451349840577568e-08,-2.5391488657264617e-05,-0.0458958683888244,-0.0049067595339675,-0.0701168083550806
