Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.362,-0.066,-4.209,-0.142,-246.946,-125.162,-9.828,-11.992,-0.012,-64.914,-0.012,-2.352,-0.946,-0.043,-7.696
BG,-6.077,-0.0,-0.961,-0.933,-154.102,-14.061,-17.661,-3.886,-0.288,-24.147,-0.0,-0.102,-0.163,-0.575,-0.018
DE,-1.306,-0.0,-2.236,-0.0,-14.842,-3.982,-3.082,-0.251,-0.001,-12.944,-0.0,-0.0,-0.072,-0.0,-1.387
US,-0.508,-0.0,-0.993,-0.007,-3.157,-1.047,-5.187,-0.04,-0.0,-4.569,0.0,-0.0,-0.114,-0.006,-0.189
TR,-0.046,-0.001,-5.441,-0.003,-3.828,-0.351,-2.009,-0.198,-0.001,-0.142,-0.0,-0.04,-0.048,-0.004,-0.073
IT,-0.434,-0.0,-1.19,-0.0,-4.242,-0.645,-0.31,-0.619,-0.0,-2.934,-0.0,-0.0,-0.011,-0.0,-0.04
BE,-0.109,-0.0,-0.352,-0.0,-6.695,-0.193,-1.115,-0.076,-0.0,-0.291,-0.0,-0.022,-0.015,-0.0,-0.041
WA,-0.089,-0.017,-0.755,-0.026,-1.562,-1.814,-1.108,-0.143,-0.004,-0.507,-0.003,-0.066,-0.083,-0.006,-0.104
WM,-0.091,-0.004,-0.837,-0.034,-0.93,-1.486,-1.362,-0.038,-0.005,-0.573,-0.0,-0.037,-0.05,-0.024,-0.019
GR,-0.663,-0.004,-1.702,0.0,-0.748,-0.279,-1.169,-0.012,-0.0,-0.134,-0.0,-0.0,-0.0,-0.0,-0.001
GB,-0.191,0.0,-0.195,-0.0,-2.209,-0.769,-0.604,-0.114,-0.0,-0.241,-0.0,-0.0,-0.031,-0.0,-0.033
PL,-0.129,-0.0,-0.201,-0.003,-0.685,-0.931,-0.793,-0.291,-0.0,-0.432,-0.0,-0.0,-0.0,-0.0,-0.013
TW,-0.009,-0.0,-0.013,-0.0,-0.494,-2.536,-0.351,-0.003,-0.0,-0.06,0.0,-0.0,-0.006,-0.0,-0.004
FR,-0.114,-0.0,-0.267,0.0,-1.204,-0.925,-0.337,-0.013,0.0,-0.294,0.0,-0.0,-0.007,0.0,-0.003
KR,-0.031,0.0,-0.099,-0.0,-1.178,-0.785,-0.209,-0.372,-0.0,-0.085,-0.0,-0.0,-0.008,-0.0,-0.016
RO,-0.059,0.0,-0.99,-0.015,-0.068,-0.269,-0.663,-0.213,-0.0,-0.451,-0.0,-0.001,-0.002,-0.001,-0.0
CA,-0.117,-0.001,-0.339,-0.001,-0.49,-0.676,-0.488,-0.009,-0.0,-0.208,-0.0,-0.0,-0.017,-0.0,-0.005
WE,-0.128,-0.058,-0.507,-0.002,-0.487,-0.488,-0.192,-0.169,-0.016,-0.186,-0.0,-0.073,-0.022,-0.001,-0.002
WF,-0.031,-0.041,-0.209,-0.006,-1.025,-0.173,-0.294,-0.012,-0.008,-0.081,-0.001,-0.083,-0.081,-0.002,-0.012
LU,-0.018,0.0,-0.237,0.0,-0.909,-0.007,-0.641,-0.08,0.0,-0.055,0.0,0.0,-0.006,0.0,-0.012
IN,-0.03,-0.0,-0.625,-0.0,-0.109,-0.145,-0.406,-0.026,-0.0,-0.546,0.0,-0.0,-0.001,-0.0,-0.019
MX,-0.007,-0.0,-0.065,-0.003,-0.163,-1.159,-0.361,-0.013,-0.0,-0.09,-0.0,-0.0,-0.004,-0.0,-0.026
CZ,-0.036,-0.0,-0.122,-0.0,-0.217,-0.731,-0.268,-0.046,-0.0,-0.379,-0.0,-0.0,-0.002,-0.0,-0.002
AT,-0.106,0.0,-0.185,-0.0,-0.254,-0.385,-0.512,-0.044,-0.0,-0.255,0.0,-0.0,-0.012,-0.0,-0.002
JP,-0.043,0.0,-0.063,0.0,-0.246,-0.238,-0.236,-0.016,0.0,-0.801,0.0,-0.0,-0.012,-0.0,-0.008
WL,-0.014,-0.003,-0.116,-0.014,-0.971,-0.159,-0.153,-0.008,-0.001,-0.069,-0.0,-0.004,-0.006,-0.002,-0.008
NL,-0.034,0.0,-0.021,0.0,-0.458,-0.12,-0.461,-0.024,0.0,-0.157,0.0,-0.0,-0.007,0.0,-0.001
HU,-0.054,-0.0,-0.079,-0.0,-0.004,-0.575,-0.295,-0.004,-0.0,-0.244,-0.0,-0.0,-0.0,-0.0,-0.0
ES,-0.074,-0.0,-0.171,-0.005,-0.419,-0.353,-0.036,-0.092,-0.0,-0.08,-0.0,-0.001,-0.005,-0.0,-0.005
CH,-0.003,0.0,-0.007,0.0,-0.025,-0.491,-0.163,-0.002,0.0,-0.197,-0.0,0.0,-0.001,0.0,-0.087
SK,-0.014,-0.0,-0.01,-0.0,-0.033,-0.121,-0.268,-0.104,-0.0,-0.148,-0.0,-0.0,-0.0,-0.0,-0.001
SE,-0.022,0.0,-0.105,-0.0,-0.12,-0.154,-0.104,-0.002,-0.0,-0.136,-0.0,-0.0,-0.002,-0.0,-0.0
DK,-0.049,-0.0,-0.021,-0.0,-0.046,-0.116,-0.166,-0.001,-0.0,-0.123,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.02,0.0,-0.03,-0.0,-0.013,-0.076,-0.168,-0.024,-0.0,-0.051,-0.0,0.0,-0.0,-0.0,-0.0
PT,-0.007,-0.0,-0.022,-0.0,-0.076,-0.148,-0.05,-0.002,-0.0,-0.058,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.002,-0.0,-0.032,-0.0,-0.104,-0.098,-0.021,-0.001,-0.0,-0.084,-0.0,-0.0,-0.017,-0.0,-0.0
NO,-0.022,-0.0,-0.017,-0.0,-0.113,-0.036,-0.025,-0.001,-0.0,-0.041,-0.0,-0.0,-0.02,-0.0,-0.002
IE,-0.03,0.0,-0.001,0.0,-0.001,-0.053,-0.058,-0.0,-0.0,-0.069,-0.0,0.0,-0.002,-0.0,-0.0
ID,-0.002,-0.003,-0.073,-0.001,-0.047,-0.03,-0.022,-0.002,-0.0,-0.016,-0.001,-0.0,-0.01,-0.0,-0.001
RU,-0.009,-0.0,-0.099,-0.001,-0.02,-0.015,-0.028,-0.002,-0.001,-0.005,-0.0,-0.002,-0.01,-0.002,-0.006
AU,-0.011,-0.01,-0.018,-0.002,-0.004,-0.035,-0.03,-0.009,-0.001,-0.013,-0.0,-0.013,-0.009,-0.002,-0.009
