Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.007,0.008,0.001,0.002,0.007,0.0,0.002,0.01,0.002
BE,0.0,0.0,0.0,0.0,0.008,0.0,0.007,0.015,0.015,0.004,0.008,0.004,0.001,0.022,0.002
BG,0.0,0.778,0.848,0.002,0.036,0.859,0.402,0.041,0.343,0.205,0.09,0.002,0.087,0.344,0.207
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.009,0.003,0.003,0.002
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.0,0.002,0.001,0.0,0.005,0.005,0.003
DE,0.0,0.0,0.002,0.014,0.0,0.0,0.086,0.094,0.033,0.013,0.04,0.141,0.025,0.06,0.111
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.003,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.004,0.0,0.005,0.0,0.0,0.005,0.007,0.001,0.005,0.003,0.0,0.002,0.001,0.001
FI,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.01,0.0,0.001,0.0,0.001
FR,0.0,,,,0.0,,0.008,0.011,0.003,0.001,0.004,0.0,0.006,0.007,0.003
GB,,0.0,0.0,0.001,0.0,0.0,0.013,0.008,0.005,0.006,0.017,0.003,0.005,0.012,0.002
GR,0.018,,0.0,0.0,0.0,0.0,0.044,0.072,0.002,0.001,0.0,0.0,0.002,0.023,0.001
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.0,0.0,0.004,0.006,0.002
IE,,,0.0,0.0,,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.05,0.009,0.033,0.006,0.004,0.004,0.006,0.025
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.01,0.002,0.004,0.003,0.001,0.0,0.012,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
