Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
BR,-12.352197942757996,-0.0130381200488968,-16.05135035021035,-0.0892663584994975,-18.437589319483333,-13.838933986247646,-1.2712473524032102,-7.173749917051341,-0.0101488683693482,-0.0,-0.0361791504460088,-0.0206025416291638,-0.9427897168904708,-0.387498666256511,-4.371050646318024
US,-1.7566404580704371,-0.0001290319938592,-4.202857813012677,-0.0006718567239332,-1.5728604521392953,-2.638840726668397,-9.58893126794842,-0.1925488257091184,-0.0034631391078432,-8.435029869568753,-0.0,-9.587718938242657e-06,-0.4157476771435686,-0.0001747806290428,-0.3292525992801171
CA,-14.104810290266474,-0.0,-0.9605613748442496,-4.490354160341024e-07,-0.4456276675299658,-1.0450405421937734,-2.894876811334342,-0.3508627903269187,-1.0512347906101472e-06,-0.0,-3.2189395861522585e-08,-3.095857559067225e-05,-0.055967910459892,-0.0277650502479933,-0.3964415224395394
CN,-2.717474121714132,-0.0013836523852464,-3.711274842402137,-0.0187310228960767,-2.153658733664653,-3.357253646273532,-2.9922744022515397,-1.7432094333279948,-0.0022479203175626,-0.0018219826077959,-0.0034722205484212,-0.0190224270135784,-0.5571522817086405,-0.0116466052343175,-0.3963681591472483
WL,-1.220844014638904,-0.0036147540187951,-0.8567842659054252,-0.0005187921971061,-12.603100326365142,-0.6099382249493343,-0.7685081794181872,-0.2012540188219325,-0.0012323919202237,-0.0,-0.0043827968088608,-0.0026142958624912,-0.0943910542481377,-0.0,-0.2286217817543242
WA,-0.7787582090178025,-0.0018168127489138,-4.913936045902565,-0.0039058141598839,-1.5466980787922695,-0.5596884058244438,-1.7434573907373885,-0.2487187086879617,-0.0063205322450993,-0.0,-0.0063266330578428,-0.006387618550315,-0.1615430551906315,-0.0016605713397993,-0.6550831018071074
KR,-0.0687052659467227,-0.0,-0.3076787231363265,-8.311662104122631e-07,-3.0760667613732338,-0.447480385278426,-0.1504831078889572,-0.1322886982919192,-7.548064268969134e-06,-1.891251923818121e-08,-0.0194562055008961,-0.0002079538337378,-0.0150258415919607,-0.0004141314671693,-0.0454512529827477
JP,-0.4913030972517037,-0.0,-0.6777514459768056,-0.0,-0.916387668669194,-0.4126393674222688,-1.3428647671579004,-0.0547142229028629,-0.0,-6.695669371746886e-08,-0.0,-0.001183744560235,-0.0649825267421603,-0.0002699166903098,-0.0522971574792405
IN,-0.1095199068183695,-3.716106030596563e-05,-0.765981201857938,-1.458701183250002e-05,-0.2404402868314842,-0.6019455004739197,-0.8095656815346793,-0.0139143148717555,-2.0261727810656013e-05,-0.0,-0.0,-7.388018783674163e-05,-0.00514262193355,-2.089220907176611e-05,-0.0785482575649822
MX,-0.0486180917413319,-0.0,-0.2233566002462089,-0.0,-0.2828602294927431,-0.1912368126694351,-1.2013253530826804,-0.1021788745993338,-0.0,-0.0,-0.0,-0.0,-0.0032178814384019,-0.0,-0.0448634579856138
DE,-0.0515253214872823,-0.0,-0.2256982807875399,-0.0,-0.4832715756400954,-0.0103504953542477,-0.2212243338761031,-0.1471046741897087,-0.0004392984626297,-0.5008477611015564,-0.0,-0.0003739935158849,-0.0261363418591859,-0.0,-0.0162791852661333
