Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-7.106,-0.078,-17.324,-0.157,-27.969,-35.094,-11.46,-4.223,-0.01,-59.333,-0.013,-1.783,-2.546,-0.035,-2.721
BR,-15.231,-0.79,-44.516,-1.416,-8.621,-16.685,-12.342,-0.882,-0.34,-13.049,-0.165,-4.194,-1.782,-0.093,-0.992
US,-3.794,-0.0,-6.458,-0.032,-0.652,-3.52,-18.169,-0.043,-0.001,-13.089,0.0,-0.0,-0.136,-0.028,-0.225
WL,-0.522,-0.187,-1.829,-0.159,-3.735,-4.282,-2.78,-0.206,-0.022,-0.923,-0.013,-0.047,-0.126,-0.017,-0.166
CA,-5.342,-0.001,-1.306,-0.003,-0.192,-2.141,-4.116,-0.025,-0.0,-1.27,-0.0,-0.0,-0.184,-0.0,-0.012
MX,-0.025,-0.0,-0.143,-0.005,-0.061,-2.028,-1.066,-0.032,-0.0,-0.248,-0.0,-0.001,-0.009,-0.001,-0.047
WA,-0.103,-0.02,-1.063,-0.022,-0.166,-0.688,-0.882,-0.117,-0.004,-0.313,-0.004,-0.053,-0.08,-0.005,-0.066
JP,-0.696,0.0,-0.291,0.0,-0.116,-0.202,-0.475,-0.057,0.0,-0.908,0.0,-0.0,-0.063,-0.0,-0.035
DE,-0.146,-0.0,-0.515,-0.0,-0.296,-0.252,-0.181,-0.017,-0.0,-1.084,-0.0,-0.0,-0.024,-0.0,-0.008
WM,-0.078,-0.001,-1.051,-0.012,-0.038,-0.358,-0.65,-0.006,-0.002,-0.254,-0.0,-0.011,-0.022,-0.009,-0.02
IN,-0.031,-0.0,-0.653,-0.0,-0.145,-0.106,-0.401,-0.017,-0.0,-0.369,0.0,-0.0,-0.001,-0.0,-0.034
KR,-0.053,0.0,-0.413,-0.0,-0.394,-0.338,-0.307,-0.11,-0.0,-0.081,-0.0,-0.0,-0.017,-0.0,-0.015
TR,-0.009,-0.0,-0.543,-0.0,-0.015,-0.027,-0.243,-0.0,-0.0,-0.016,-0.0,-0.002,-0.001,-0.0,-0.014
TW,-0.011,-0.0,-0.054,-0.0,-0.044,-0.329,-0.219,-0.003,-0.0,-0.049,0.0,-0.0,-0.02,-0.0,-0.008
GB,-0.034,0.0,-0.196,-0.0,-0.046,-0.157,-0.149,-0.012,-0.0,-0.059,-0.0,-0.0,-0.009,-0.0,-0.072
IT,-0.031,-0.0,-0.222,-0.0,-0.062,-0.051,-0.026,-0.006,-0.0,-0.227,-0.0,-0.0,-0.002,-0.0,-0.021
NO,-0.432,-0.0,-0.027,-0.0,-0.008,-0.038,-0.037,-0.001,-0.0,-0.015,-0.0,-0.0,-0.029,-0.0,-0.001
BE,-0.045,-0.0,-0.167,-0.0,-0.082,-0.029,-0.104,-0.022,-0.0,-0.048,-0.0,-0.001,-0.006,-0.0,-0.008
CH,-0.001,0.0,-0.002,0.0,-0.001,-0.046,-0.048,-0.0,0.0,-0.038,-0.0,0.0,-0.0,0.0,-0.266
FR,-0.02,-0.0,-0.151,0.0,-0.03,-0.095,-0.054,-0.002,0.0,-0.039,0.0,-0.0,-0.006,0.0,-0.0
WF,-0.022,-0.007,-0.067,-0.002,-0.037,-0.06,-0.115,-0.002,-0.002,-0.033,-0.0,-0.023,-0.02,-0.001,-0.003
NL,-0.027,0.0,-0.011,0.0,-0.022,-0.046,-0.204,-0.006,0.0,-0.073,0.0,-0.0,-0.002,0.0,-0.001
ES,-0.017,-0.0,-0.077,-0.001,-0.16,-0.06,-0.009,-0.031,-0.0,-0.017,-0.0,-0.0,-0.001,-0.0,-0.001
PL,-0.012,-0.0,-0.031,-0.0,-0.014,-0.06,-0.068,-0.002,-0.0,-0.04,-0.0,-0.0,-0.0,-0.0,-0.001
WE,-0.071,-0.005,-0.035,-0.0,-0.006,-0.048,-0.031,-0.001,-0.0,-0.021,-0.0,-0.002,-0.002,-0.0,-0.0
SE,-0.017,0.0,-0.034,-0.0,-0.034,-0.037,-0.037,-0.0,-0.0,-0.039,-0.0,-0.0,-0.002,-0.0,-0.0
PT,-0.001,-0.0,-0.043,-0.0,-0.004,-0.06,-0.023,-0.001,-0.0,-0.023,-0.0,-0.0,-0.0,-0.0,-0.0
ID,-0.002,-0.002,-0.093,-0.0,-0.007,-0.019,-0.017,-0.001,-0.0,-0.006,-0.0,-0.0,-0.003,-0.0,-0.0
AT,-0.011,0.0,-0.034,-0.0,-0.006,-0.034,-0.033,-0.0,-0.0,-0.028,0.0,-0.0,-0.001,-0.0,-0.0
LU,-0.003,0.0,-0.052,0.0,-0.012,-0.009,-0.039,-0.009,0.0,-0.009,0.0,0.0,-0.001,0.0,-0.003
CZ,-0.003,-0.0,-0.015,-0.0,-0.004,-0.05,-0.025,-0.001,-0.0,-0.024,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.015,-0.006,-0.013,-0.001,-0.003,-0.011,-0.01,-0.032,-0.001,-0.007,-0.0,-0.008,-0.009,-0.001,-0.006
BG,-0.0,-0.0,-0.0,-0.0,-0.1,-0.002,-0.002,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.0
DK,-0.009,-0.0,-0.004,-0.0,-0.001,-0.022,-0.028,-0.0,-0.0,-0.019,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.002,-0.0,-0.041,-0.0,-0.004,-0.004,-0.01,-0.0,-0.0,-0.002,-0.0,-0.0,-0.006,-0.0,-0.002
HU,-0.002,-0.0,-0.01,-0.0,-0.0,-0.03,-0.017,-0.0,-0.0,-0.014,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.002,-0.0,-0.01,-0.0,-0.019,-0.013,-0.005,-0.001,-0.0,-0.013,-0.0,-0.0,-0.007,-0.0,-0.0
ZA,-0.006,0.0,-0.006,-0.0,-0.006,-0.005,-0.005,-0.002,-0.0,-0.005,-0.0,-0.013,-0.006,-0.0,-0.003
IE,-0.008,0.0,-0.001,0.0,-0.0,-0.015,-0.013,-0.0,-0.0,-0.014,-0.0,0.0,-0.003,-0.0,-0.0
GR,-0.004,-0.0,-0.01,0.0,-0.003,-0.003,-0.012,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.001,0.0,-0.005,-0.001,-0.002,-0.008,-0.01,-0.0,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.001,-0.0,-0.002,-0.0,-0.001,-0.009,-0.01,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.002,0.0,-0.003,-0.0,-0.0,-0.006,-0.006,-0.0,-0.0,-0.005,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
HR,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0
