Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
US,-4.316717900277524,-0.0032481205799777,-24.072097985171357,-0.0146541658368117,-2.9361556568591176,-29.90216332899864,-98.90729275419022,-0.1299203710175879,-0.0679866220153577,-104.97742787394436,0.0,-0.0002373984219544,-0.8767768008765823,-0.0026716445744121,-1.119144485067122
CA,-4.537569695211895,0.0,-19.9113614091049,-2.2506288686902648e-05,-1.005800328217015,-6.894839779553449,-16.378632102444417,-1.490930740041753,-0.0002771170568234,0.0,-6.571269907183148e-06,-0.0003822315825312,-0.8394361262440805,-0.0096534785350983,-0.1413888688910939
CN,-2.3998402503621072,-0.0004938472091061,-4.253628410123348,-0.0064880844483098,-1.052620360051785,-2.7834318371815696,-2.9846112496818376,-1.7742630739272265,-0.0024074042881258,-0.0008378418556009,-0.0029156129498931,-0.0077515811553377,-0.6343901939930999,-0.0092490030439096,-0.2432450286373609
WL,-0.2868507730878385,-0.0008316327238375,-0.4823400029574552,-0.0025048201690788,-6.25947510497971,-0.1713991240070365,-0.2580630505279103,-0.1582242667201635,-0.0004868335750662,0.0,-0.0015649939189721,-0.0006014799340078,-0.0670423879540535,0.0,-0.1501369417550646
MX,-0.1709931131024918,0.0,-1.0719338798577436,0.0,-0.4940793766930151,-0.5516253695166994,-3.131705849058357,-0.0857006869033267,0.0,0.0,0.0,0.0,-0.0218532223724174,0.0,-0.2506096078154042
WA,-0.3080447830027402,-0.0007262874094298,-1.6972248565770518,-0.0012269813341685,-0.7442806100537778,-0.2763604816758193,-0.9129046975354492,-0.0813867171190089,-0.0014593610742472,0.0,-0.0022575123765761,-0.0022165505569786,-0.0827927096075914,-0.0006163320377107,-0.2313175144000357
SE,-0.0910649957466853,0.0,-1.0729216564929138,-0.00183008512429,-0.086088027121663,-0.0038740655131131,-0.6954668895916006,-0.0121347966074361,-0.000659605434452,-2.3520740616985942,-0.0005973040930669,-0.0006296267261345,-0.0168004124653722,-0.0006402184191068,-0.0062799649660394
JP,-0.0694586615866869,0.0,-0.7675504259445245,0.0,-0.7810917215806267,-0.9042211441230978,-0.9868573908123592,-0.1005664936995166,0.0,-1.0667727534905796e-07,0.0,-0.0017681268982548,-0.0761847496793439,-0.0010819836359545,-0.1730544731498614
DE,-0.1106575784226564,0.0,-0.4920625818791887,0.0,-0.2775812344594278,-0.0504032047691183,-0.3418281015043435,-0.0374866557838737,-0.0001487759067105,-1.301844805951304,0.0,-0.0005913114022084,-0.054650830276315,0.0,-0.0265342844369528
KR,-0.0848902657711527,0.0,-0.5577570956580661,-4.357963962558246e-06,-0.997308501455384,-0.3841401586506123,-0.2897764896934577,-0.1182201306230811,-2.7665277348018765e-05,-2.1804778017000819e-07,-0.0887017586623467,-0.0007173511521889,-0.0539990409473373,-0.0017562469100008,-0.0381006926468123
IN,-0.0889784485247127,-4.62787189529773e-05,-0.9509834541083816,-1.7573788951318988e-05,-0.1563086589376353,-0.1578208221746538,-0.1624903064936106,-0.014969518422319,-2.238537432315704e-05,0.0,0.0,-6.359640793103768e-05,-0.0020546469509478,-2.2669273444075586e-05,-0.0080271893261059
