Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CA,-46.382,-0.018,-43.277,-1.454,-3.983,-20.18,-38.036,-5.126,-0.14,-22.566,-0.162,-0.078,-8.482,-0.175,-3.222
US,-13.036,-0.0,-8.81,-0.073,-2.277,-8.012,-44.95,-0.308,-0.003,-27.734,0.0,-0.001,-0.315,-0.068,-0.402
CN,-3.449,-0.043,-4.922,-0.096,-21.33,-25.034,-5.847,-1.454,-0.008,-29.84,-0.009,-1.484,-1.129,-0.028,-4.881
MX,-0.04,-0.0,-0.163,-0.006,-0.118,-2.645,-1.445,-0.07,-0.0,-0.319,-0.0,-0.001,-0.017,-0.001,-0.056
JP,-0.625,0.0,-0.235,0.0,-1.683,-0.386,-0.499,-0.02,0.0,-1.044,0.0,-0.0,-0.049,-0.0,-0.018
WA,-0.1,-0.021,-0.506,-0.015,-0.327,-0.701,-0.631,-0.098,-0.003,-0.234,-0.004,-0.034,-0.123,-0.003,-0.207
KR,-0.173,0.0,-0.2,-0.0,-1.18,-0.587,-0.305,-0.176,-0.0,-0.084,-0.0,-0.0,-0.021,-0.0,-0.018
DE,-0.162,-0.0,-0.256,-0.0,-0.215,-0.195,-0.136,-0.017,-0.0,-0.75,-0.0,-0.0,-0.096,-0.0,-0.108
IN,-0.021,-0.0,-0.551,-0.0,-0.212,-0.095,-0.311,-0.015,-0.0,-0.302,0.0,-0.0,-0.001,-0.0,-0.015
WL,-0.023,-0.006,-0.088,-0.019,-0.564,-0.13,-0.116,-0.015,-0.002,-0.056,-0.001,-0.007,-0.011,-0.002,-0.012
GB,-0.232,0.0,-0.099,-0.0,-0.174,-0.161,-0.14,-0.015,-0.0,-0.056,-0.0,-0.0,-0.043,-0.0,-0.01
WM,-0.045,-0.001,-0.259,-0.006,-0.024,-0.159,-0.23,-0.006,-0.002,-0.115,-0.0,-0.008,-0.025,-0.006,-0.008
NO,-0.108,-0.0,-0.03,-0.0,-0.075,-0.017,-0.013,-0.007,-0.0,-0.012,-0.0,-0.0,-0.537,-0.0,-0.001
TW,-0.005,-0.0,-0.014,-0.0,-0.019,-0.231,-0.123,-0.002,-0.0,-0.034,0.0,-0.0,-0.033,-0.0,-0.009
