Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-7.576298013824031,0.0,-22.10240025709318,0.0,-4.097165541833883,-0.5771878078555048,-14.519253062705296,-0.3997922393726416,-0.0023306181705578,-31.35580851085667,0.0,-0.0126555699046856,-0.8802857329995595,0.0,-0.3535130349547417
IT,-3.061800139742279,-0.0100681058723221,-12.647343409519834,0.0,-2.216391116096369,-0.5649684216631015,-1.8033413526968385,-0.0952576863335454,-3.2214543663060786e-06,-14.215265728461322,0.0,-0.0062064353530245,-0.0789677419633163,-5.1538436311344285e-06,-1.0212317208552846
FR,-3.2025301379900006,-0.0027003250529402,-11.645163346045132,0.0,-1.839985248404983,-0.2120148418391674,-1.6823542179100566,-0.0404324678528847,0.0,-3.157742712539505,-0.0013443614562767,-0.0007381652734552,-0.1658459861839449,0.0,-0.0495092627237079
CN,-2.198440203848887,-0.00018252907859,-5.649764865898715,-0.0024865639916297,-1.550291867141635,-2.550871567325792,-4.207184079868615,-1.2470864196918268,-0.0006604178489741,-0.0013185026232005,-0.0008351697942353,-0.0027257295036001,-0.3785149362897846,-0.0029259730388163,-0.2275195760474626
US,-0.5370380265449185,-0.0001664485586182,-2.0526597970011973,-0.0005995772763545,-0.4278996011825425,-2.074312846040353,-4.799592609629903,-0.0216633501594848,-0.0026912651669768,-6.362705088008973,0.0,-1.1411494427703204e-05,-0.1349661805983764,-0.0001794149348066,-0.201008199283387
AT,-2.7770743431492533,0.0,-3.861807697506967,0.0,-0.2044565011343345,0.0,-1.8790001708925528,-0.0197998872686774,0.0,-2.4379078964873844,0.0,-0.0236122336029613,-0.3159195936876707,0.0,-0.0094734756515648
WA,-0.4146867165088211,-0.0009864098525426,-1.9188794147137376,-0.0009073254289941,-0.9671728256238452,-0.2241279214752497,-1.0776757053775758,-0.07624703753569,-0.0012988453034194,0.0,-0.0015848407416676,-0.0018529910715146,-0.0595059418418645,-0.0002915946170439,-0.1615533777887867
PL,-0.0902332456959949,0.0,-0.3600950565198436,-0.0007509408762561,-0.7215053970480269,-0.0050918442477047,-0.59206947851048,-0.0145425298986845,-4.015473345416707e-05,-0.6837097431413137,-0.0005177538524677,-4.079381977965053e-05,-0.0001249850652299,-3.0978692956313364e-05,-0.0894983880465904
CA,-0.546727030388733,0.0,-0.9733621031002692,-5.69630446033179e-08,-0.1785381313587736,-0.0889143212032491,-0.6006918610320738,-0.0592833772832572,-2.5225352234023406e-06,0.0,-2.2655488162506322e-08,-1.2937608358816716e-05,-0.0234439648681968,-0.000618286964204,-0.008892048290105
CZ,-0.1257789627359009,-6.518449914516024e-05,-0.341318822828605,0.0,-0.0746566362376617,-0.0007380942062753,-0.6363945796148466,-0.0440707264766053,-1.2650653875470812e-05,-1.1484527270721208,-2.624860190180464e-05,-5.109716305715217e-05,-0.0031352716420695,0.0,-0.0050572862235218
GB,-0.0914961014619911,0.0,-0.5550241485044871,0.0,-0.3625597086432126,-0.0091662577490679,-1.0611931751684651,-0.0940750373012115,-9.490489537539004e-05,-0.0045678169197151,0.0,-0.001480042052382,-0.080460399999496,-5.588752617290859e-07,-0.0271685018073811
WL,-0.1380233231115291,-0.0004092218535072,-0.2653912040738854,-5.935397350253619e-05,-1.5249649276259862,-0.0681581660117824,-0.1833360062071257,-0.0236748069157112,-0.0002690749156708,0.0,-0.0002971492056815,-0.0002959616582452,-0.0145835585654315,0.0,-0.0219989445001833
CH,-0.0300918481809487,0.0,-0.0569748327898442,0.0,-0.004643997563183,-0.0035681851999257,-1.6207626986684844,-0.001344294626392,0.0,0.0,0.0,0.0,-0.0031938771416237,0.0,-0.4914557858252988
BE,-0.1842165824319381,0.0,-0.5505721659562388,0.0,-0.4653089810798821,-0.02669290323667,-0.3783421037475797,-0.0126283543091998,0.0,-0.4070840266925811,0.0,-0.0004707167465419,-0.0120966828435244,0.0,-0.1190308663060473
WE,-0.0817619231421042,-0.0002264760307682,-0.5689677075343575,-0.2441134141088754,-0.4762049751789369,-0.0570705211191294,-0.4152117101202086,-0.0095647251823501,-0.0006618683740319,0.0,-0.0003048830350497,-0.0012983209466992,-0.0219802109601445,-0.0003634232647217,-0.0113411343368092
MX,-0.0380755896667192,0.0,-0.2035375450112876,0.0,-0.1170758640947185,-0.1631683996547018,-1.2609174759544988,-0.0183142509262387,0.0,0.0,0.0,0.0,-0.0044930394127667,0.0,-0.0519697719766582
NL,-0.1105963068772972,0.0,-0.1891327895838452,0.0,-0.175974497775907,0.0,-0.6580457438352295,-0.0175129252382325,0.0,-0.6187353496917104,0.0,-0.0001975597709303,-0.0137452756684013,0.0,-0.0054526791809932
RO,-0.0292680693084104,0.0,-0.2810784076673152,-6.362450492548266e-06,-0.0236111595738734,0.0,-0.4325463116824723,-0.0005476253805496,-1.4291582416116978e-07,-0.9905194136997916,0.0,-3.2691210148798025e-08,-0.001380667711821,-2.7716375122054323e-05,-8.431254061510988e-05
WM,-0.2416670913005806,0.0,-0.23130905124776,-0.0001430789492338,-0.5005352080873886,-0.06211414937949,-0.4818004665304434,-0.025107243904955,0.0,0.0,0.0,0.0,-0.0673916583980732,0.0,-0.0353335410604079
KR,-0.0779694223263846,0.0,-0.2973707201816833,-2.439758344020468e-06,-0.6288398828975854,-0.2126119181578497,-0.16376263614775,-0.0959833562311074,-1.5723391368074638e-05,-9.98331798561509e-07,-0.0161134162224225,-0.0002371619377647,-0.0187318538622524,-0.0004113093220426,-0.025689278120749
JP,-0.0701271564544702,0.0,-0.2132566656171336,0.0,-0.604821702104072,-0.2138515963475653,-0.337530128904387,-0.0170819380386077,0.0,-3.755544808094433e-07,0.0,-0.0012064456391353,-0.040720262768777,-0.0001068720422976,-0.0212260583392844
ES,-0.1006908609046464,0.0,-0.5078676142029578,-0.0946762618354045,-0.2887829192060159,-0.1251047699742407,-0.2029552704183211,-0.0037176779389517,-0.0014121794481002,-0.1255994940333805,-0.0001000286766277,-0.0006870584323213,-0.0037381315097902,-0.0016106373701589,-0.0022947182243261
IN,-0.0732489516849476,-2.4661393837247865e-05,-0.7146715278490052,-3.6632746037160575e-06,-0.1326497579819348,-0.1903260987619874,-0.2130325199606374,-0.0078286135063077,-9.75818278061394e-06,0.0,0.0,-4.49985998768115e-05,-0.0020415326356272,-1.1575363612354056e-05,-0.0056949153385596
SE,-0.0265534816739595,0.0,-0.2634626933085789,-0.0005326341490959,-0.0513530530299604,-0.0008168987509159,-0.1965515240581702,-0.0035356051856652,-0.0001760424364854,-0.4590776593625024,-2.022839868268785e-05,-0.0001000141495115,-0.003368604139835,-0.0001776003226078,-0.0007753586173961
TR,-0.1042903647591443,-0.0009382746936604,-0.3404272050046809,-0.0010878933492243,-0.0820144597865338,-0.0027136862616408,-0.1981624808700946,-0.0012268712149505,-0.0010537928501207,-0.0002357958163933,-0.0027990688226697,-0.0009971932631419,-0.0036560055530133,-0.0056332166807561,-0.0462992781770792
WF,-0.0461848561982874,-0.0008258019531356,-0.0501707103101744,-0.0021247235260886,-0.4827064242233676,-0.0110498245973685,-0.0054594640510613,-0.0156637405410465,-0.003448613104628,0.0,-0.0024163383894938,-0.0010826105277894,-0.0738970158473525,0.0,-0.0052313956654664
BR,-0.0166357360937654,-1.74772068964693e-05,-0.3622185437389403,-1.1128040103323156e-05,-0.0264967254117732,-0.0925940368800482,-0.0407851830372875,-0.0026344986514219,-2.4271093945869623e-05,0.0,-7.239284784705643e-05,-1.0405082006432628e-05,-0.0048442157319253,-7.08051164522663e-05,-0.0022404672071852
SK,-0.0160178626649002,0.0,-0.0277071721322455,-1.0681402842428393e-05,-0.0081836842351181,0.0,-0.0721957545402434,-0.0020805910602336,-4.341638877851e-07,-0.3834018925389285,0.0,0.0,-0.0004288401914056,-0.0009274323809344,-0.0002692541621314
FI,-0.0037250482050713,0.0,-0.0876974667023577,-0.0001308946961946,-0.0323271647635819,0.0,-0.0348396383120848,-0.0016449768114791,-6.401518784120161e-05,-0.1897279574846269,-0.0075271005487988,-3.858359950423592e-05,-0.028022849749116,-0.0009338906322021,-0.0002825500274573
BG,-0.0079304318350356,0.0,-0.0018675344777993,-0.0051204931883839,-0.2617638333983226,0.0,-0.0118306258155301,-0.0014647110299166,-8.46138260691979e-05,0.0,0.0,-8.433919036585299e-06,-0.0001867879347569,-0.0013102685077779,-1.5204663743240189e-05
ID,-0.0158193069416324,-2.6051820386499585e-08,-0.1417340665027148,-4.193111354614726e-07,-0.0474919962490027,-0.0137777603467431,-0.041547851205242,-0.0090737060065503,-2.2139139556613447e-06,0.0,-9.762749835547258e-07,-8.460421223986947e-09,-0.0146001791623431,-2.174514506607468e-08,-0.0011131704897449
RU,-0.019266238331597,-1.0260259778033112e-05,-0.0928060632608409,-4.019757359316388e-05,-0.0634614476197404,-0.0431366974849877,-0.0089895235313471,-0.0019775826216851,-7.90303470743581e-06,0.0,-0.0001504854107013,-1.864045805854537e-05,-0.0171780848624156,-6.748765366134203e-05,-0.0088241902144396
PT,-0.0030050408520394,0.0,-0.0733944174427213,-0.0003616924499277,-0.0476019639377464,-0.0150296437541784,-0.0492921084057375,-0.0017879212784331,-2.408569047129454e-05,-0.0559639599891236,0.0,-5.6764821515219845e-05,-0.0001153585367299,-5.311348533329516e-05,-0.000210755419025
DK,-0.0226652729144493,0.0,-0.0232452176308368,0.0,-0.0022697391799762,0.0,-0.1760640310960526,-0.0002216672350888,0.0,-0.0006732421130322,-1.437235296880298e-07,0.0,-0.0003630064815447,0.0,-0.0004368570055077
SI,-0.0529816948712077,0.0,-0.0640989622779567,0.0,-0.0019100205028046,0.0,-0.0484531385311383,-0.000248996799738,0.0,-0.04755307149094,0.0,0.0,-0.0008041138427563,0.0,-3.600054098861906e-05
AU,-0.0102761982071162,-0.000672651055362,-0.0331730892475066,-0.0002073227823603,-0.0371971382091173,-0.0119179709823406,-0.0072172162238219,-0.0130869879737438,-0.0001432488712186,0.0,-0.0031050813800635,-2.435816877630339e-05,-0.0239160133617551,-0.0022304362426992,-0.0480021811097152
LU,-0.0111040878537461,0.0,-0.0089407948016366,0.0,-0.0343294089675109,-0.0001213992425732,-0.0451534287217225,-0.001979795420881,0.0,-0.0328680628793136,0.0,0.0,-0.0016042379314899,0.0,-0.0046411346977582
GR,-0.0238368719005657,-3.0902622314808e-05,-0.0389714613201655,0.0,-0.0113970980310206,-0.0186191083893047,-0.0269994397275749,-8.053459629642898e-05,-1.94946235266366e-05,0.0,-0.0113069879104912,-1.0790130937986097e-06,-1.1295798880838678e-05,-1.9489596810504417e-05,-7.37172642827472e-05
IE,-0.0022189103594807,0.0,-0.002756911602122,0.0,-0.0002729462953977,0.0,-0.0466926659403851,-0.00069677199314,-0.0003536796641219,-0.0643088210423078,0.0,0.0,-0.0009321460407066,-1.77439422782661e-05,-0.0007700830020794
ZA,-0.0054807832723059,0.0,-0.0208717143475588,-7.085205899786398e-06,-0.0083579028055258,-0.0101902679958565,-0.033966852323032,-0.0002700006662322,-1.874512332358408e-06,0.0,-5.450136166936645e-05,-3.457914994817441e-05,-0.0046089794444758,-2.470627805495256e-05,-0.0235569942384083
NO,-0.0050777432947594,0.0,-0.0046191823408872,0.0,-0.0095495267184731,-0.0001931655923482,-0.0092826431278608,-0.0006015508673292,0.0,-0.0401933969075145,-1.6712898477156378e-10,-2.128723935211933e-06,-0.0121106499697876,0.0,-0.0008067628306033
HR,-0.0053282702944707,-8.66545555623774e-07,-0.0021969398817887,0.0,-0.0005578650845934,0.0,-0.0051153843418851,-1.2450659074288168e-05,-1.1236211437683802e-10,-0.0294391212446879,-5.018798244296401e-08,0.0,-0.0001344226766663,0.0,-6.094274536980029e-06
TW,-0.0040776570060539,-0.0004504029290409,-0.006409284633181,-0.000338429376738,-0.0005143318175383,-0.0020154499992316,-0.0094694263777867,-0.0011108438455717,-0.000406263046656,0.0,0.0,-4.441721329096321e-05,-1.4640010608689785e-05,-0.0008224698780071,-9.40488716405423e-06
HU,-0.0011336587006571,-1.3275601378069996e-05,-0.0071887776349546,0.0,-8.59108375598278e-05,0.0,-0.0063702705825719,-0.0001054462646272,0.0,-0.0070737723695405,0.0,-3.465251985452608e-06,-2.7417068040964453e-06,0.0,-2.583480298838459e-05
EE,-0.0002107626592587,0.0,-0.000715666738593,0.0,-0.0001698198158647,0.0,-0.0036871622810358,-1.8005805627975855e-05,0.0,-0.0043626735332964,0.0,0.0,-0.0004614268024794,0.0,-1.503084613782021e-05
LV,-0.0001656388494765,0.0,-0.000602333031809,0.0,-0.0008453129899071,-0.0007385441452988,-0.0012854909409676,-6.980834337611513e-06,0.0,-0.0018692105348775,0.0,0.0,-1.0066572471200705e-05,0.0,-6.493448135890155e-07
LT,-0.0001824135108544,0.0,-2.070440429732739e-05,-8.29940429152013e-10,-0.0010652851049378,-0.0001245037618207,-0.0024689829823826,-4.301492312627468e-05,0.0,-0.0010601962307509,0.0,0.0,-2.620567964793061e-06,-1.2088845865855226e-10,-7.252486443830222e-07
CY,-9.784918656563275e-06,0.0,-3.449982671418748e-05,-5.0798080787722034e-06,-3.804480770167314e-05,-6.794935198307457e-05,-8.615802457089181e-05,-1.2758552614401973e-06,0.0,-0.0004075657348324,0.0,0.0,-1.1886598631846374e-06,0.0,-2.249199638470041e-07
