Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.005,0.01,0.003,0.0,0.007,0.0,0.006,0.007,0.004
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.007,0.009,0.007,0.002,0.0,0.002,0.003,0.001
BG,0.0,0.001,0.003,0.0,0.0,0.003,0.0,0.0,0.008,0.001,0.0,0.0,0.0,0.0,0.0
CH,,,,0.001,,,0.457,0.301,0.057,0.089,0.434,0.641,0.234,0.625,0.279
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.001,0.0,0.0,0.005,0.002,0.002
DE,0.0,0.0,0.022,0.025,0.0,0.0,0.073,0.09,0.037,0.025,0.024,0.003,0.033,0.029,0.113
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.022,0.0,0.005,0.0,0.0,0.006,0.006,0.005,0.011,0.001,0.0,0.003,0.0,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.002,0.001,0.001,0.01,0.0,0.001,0.0,0.001
FR,0.001,,,,0.0,,0.012,0.02,0.01,0.006,0.008,0.0,0.014,0.006,0.004
GB,,0.0,0.0,0.001,0.0,0.0,0.012,0.007,0.009,0.011,0.012,0.001,0.009,0.008,0.002
GR,0.003,,0.001,0.0,0.0,0.0,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.004,0.001,0.001
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.002,0.001,0.001
IT,0.001,0.0,0.0,0.0,0.0,0.0,0.02,0.099,0.021,0.017,0.005,0.003,0.014,0.004,0.035
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.019,0.002,0.007,0.001,0.0,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.003,0.003,0.003,0.001,0.0,0.002,0.004,0.002
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.006,0.0,0.0,0.0,0.0
PL,0.0,0.004,0.005,0.0,0.0,0.0,0.002,0.003,0.004,0.002,0.0,0.0,0.004,0.003,0.002
