Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-582.8969828825466,-0.0183788141473713,-290.6170552263264,-0.2666896675838874,-35.43901231890743,-163.95615122723336,-383.8417708761321,-85.17730018482965,-0.0249301614412415,-0.0217446545664928,-0.040134177850138,-0.2486867290875886,-33.255080283111745,-0.1794913951916477,-1.9514821455793363
WA,-4.482076387276456,-0.010687552412577,-12.687891122653,-0.0043248888758933,-3.2618310356326,-1.9268439503848585,-7.627359742063195,-0.2277359702655237,-0.0076034079288351,0.0,-0.0054827209545882,-0.0087154183296778,-0.2771651362793428,-0.0015481219745601,-0.5609882911439557
US,-0.9413710649166812,-0.0002389923982959,-2.565901065117896,-0.0010983963450626,-0.4761677675309381,-3.400024489929196,-7.42522571772815,-0.0252455513605151,-0.0052355235138542,-11.577572471174149,0.0,-1.804797083047821e-05,-0.1556343225312952,-0.0001805701821236,-0.1719470911781439
KR,-0.6114628234892525,0.0,-1.7653544808083936,-2.773758830718854e-06,-2.263113163983045,-1.7468148894961997,-0.9899873288999036,-0.4388634441707702,-2.6110987972089084e-05,-2.4002116798895393e-08,-0.0564148785199086,-0.0008615299585784,-0.1382042438637452,-0.001425627697021,-0.0401678718425534
WL,-1.0630796031891108,-0.0031688363805054,-1.0835248976180964,-0.0001347984967273,-2.7893172043518297,-0.2968656256217031,-0.8672829419803207,-0.0517282010162064,-0.0010100060277431,0.0,-0.0006853372649846,-0.0022917784686495,-0.0430700989823741,0.0,-0.0541741124443864
JP,-0.4483685571642337,0.0,-0.8963162509907668,0.0,-1.553503916325912,-0.9781900102711892,-1.9584499980562968,-0.0673085060793846,0.0,-8.829038934215823e-08,0.0,-0.0064716149929829,-0.2086811670194812,-0.0004874941751585,-0.0897270139046372
CA,-2.70638958345348,0.0,-0.994213432665464,-8.555384388919057e-08,-0.1788261521815626,-0.3223514196667145,-1.1620668618324963,-0.1935716364590056,-1.4777610129754337e-06,0.0,-2.678956464686696e-08,-4.195660018212425e-05,-0.0757768445032159,-0.000365528882887,-0.0053292663413342
MX,-0.1854367930533096,0.0,-0.7932750511452638,0.0,-0.1953070866912014,-0.5120918486604918,-2.897165671439648,-0.0442311143779853,0.0,0.0,0.0,0.0,-0.0103078100492213,0.0,-0.1679770936525236
IN,-0.335234313710822,-7.486494169894519e-05,-2.2776947974760957,-8.793857946802163e-06,-0.3412936520371251,-0.5026256623766723,-0.5364584676611377,-0.0243268926444495,-3.09070120961868e-05,0.0,0.0,-0.0002003693160498,-0.0053426086047897,-3.72666980106386e-05,-0.0125194211834759
WM,-1.316014862411193,0.0,-0.3560260390773083,-0.0002365428759907,-0.4982167112096158,-0.1610534259072466,-1.267788482426653,-0.0404971659175402,0.0,0.0,0.0,0.0,-0.1427032678374782,0.0,-0.0185363431696069
DE,-0.0826362026508637,0.0,-0.3256173487280672,0.0,-0.1437532619231947,-0.0206177968972403,-0.4785002007267797,-0.0197289970591812,-8.571788294414402e-05,-1.1432551416749388,0.0,-0.0002878526949282,-0.1007749323306518,0.0,-0.0126268958324968
ID,-0.1533345897317691,-1.4040853797347134e-07,-0.7835958476200555,-2.2459948596936487e-06,-0.2281691660506436,-0.1480484092429562,-0.3173676896633196,-0.0378101755176641,-7.074967583821474e-06,0.0,-6.035933860928807e-06,-4.2337261249583146e-08,-0.0612149227232609,-1.338966181397974e-07,-0.0053317989674153
BR,-0.0410183888061839,-4.311813210871016e-05,-0.6921174013853597,-1.8251550591934985e-05,-0.0442179271198066,-0.1558003274641093,-0.097858158143901,-0.0040762002957181,-7.422135668770757e-05,0.0,-0.0002212914982487,-2.8830245219322506e-05,-0.0088397622906393,-0.0002042140437933,-0.0030005131503856
GB,-0.0449842605327279,0.0,-0.1533523601943402,0.0,-0.0905201181043321,-0.0086692543853641,-0.422505057361679,-0.0249107779815399,-4.732059137647148e-05,-0.0038027829377614,0.0,-0.0007377406074387,-0.0393515584972459,-3.078940200675429e-07,-0.0102425086689914
WF,-0.2361626935023275,-0.0039755134538819,-0.0896488316555092,-0.0047564544350649,-0.2185497116634434,-0.0293781611153087,-0.0157602741884141,-0.0249133749597032,-0.0039419303903338,0.0,-0.0027619909158231,-0.0012556678495691,-0.1181495131283115,0.0,-0.0082584087705161
AU,-0.0685394366719725,-0.0019002175545308,-0.128988576846608,-0.0005743799301545,-0.1146311936558068,-0.0332160308381976,-0.0371022746019449,-0.0437488865645573,-0.0003453496074852,0.0,-0.0082885046985053,-5.9155683939238406e-05,-0.0696133010756535,-0.0059645046590363,-0.0949927757981247
NL,-0.0439736206424115,0.0,-0.0314408134608882,0.0,-0.0507184590078503,0.0,-0.2298563389237551,-0.010980447204779,0.0,-0.1752810985056436,0.0,-0.0001362244357917,-0.0274165386085339,0.0,-0.0035799188565686
IT,-0.0545452607529849,-0.0002030837595764,-0.1363335924077696,0.0,-0.0473596857628303,-0.0396261626858541,-0.0454437245139123,-0.0027013354810751,-5.1668637445179954e-08,-0.1999020641736347,0.0,-0.0001691646761291,-0.0017161594597951,-6.963954575231216e-08,-0.0121353925136803
TR,-0.1260457460634989,-0.0006759879496361,-0.1752336042793228,-0.000828581235626,-0.0416491312044753,-0.0020065946780145,-0.1178532591982018,-0.0010078760442074,-0.0006562826696608,-0.0001213824138522,-0.0016640373406742,-0.0008133488423465,-0.0032741373170289,-0.0032655658609583,-0.0259637877813534
PL,-0.0251164578344192,0.0,-0.0581926863499044,-0.0002910308944394,-0.0999169126837627,-0.0047387292871004,-0.1241603221186019,-0.0035389123981655,-1.2553059474178754e-05,-0.1641593760711917,-6.626639787476306e-05,-3.1405969039147405e-06,-2.298431278449817e-05,-8.968332590067802e-06,-0.0105729833228083
FR,-0.0215452834704209,-4.166814955817419e-05,-0.1241517232273133,0.0,-0.030419294414221,-0.0077463010276961,-0.0604195329241574,-0.0007371861788552,0.0,-0.1122212368485271,-2.4204563574760597e-05,-1.008207883928219e-05,-0.002621008500267,0.0,-0.0007060639263587
BE,-0.0323716035324161,0.0,-0.0759848391366571,0.0,-0.0698151394819286,-0.0075968727211042,-0.0675363505066928,-0.0022671324803773,0.0,-0.0538089396319849,0.0,-0.0001897140822598,-0.0040402812978977,0.0,-0.0275656710761285
ES,-0.0274457658069975,0.0,-0.0746210891150321,-0.0161002915922839,-0.0475293469183149,-0.0446569096243638,-0.0404541016002572,-0.0011672201988944,-0.0005946332343489,-0.0357439352086344,-3.0394062499905012e-05,-0.0001293994725297,-0.0011742441458043,-0.0007639588964721,-0.0004611001499775
WE,-0.0354149367036911,-5.932534934302421e-05,-0.1322564458466122,-0.002050653387033,-0.0585760152919762,-0.0161137828306954,-0.031434159090764,-0.0015528456770764,-7.042987599115506e-05,0.0,-2.6201372175477352e-05,-9.882529078423177e-05,-0.0029882747088424,-5.318084715392269e-05,-0.001231442248612
RU,-0.0196862218755745,-7.525648518134225e-06,-0.1283122605970159,-2.760115531603512e-05,-0.0420069251887514,-0.0148701511610163,-0.0097897018068782,-0.0011374853335147,-4.657629253377278e-06,0.0,-0.0001970759869953,-1.2799234710309469e-05,-0.0129361221702171,-4.049955490088956e-05,-0.0063281303428389
SE,-0.0067037606200503,0.0,-0.042949240308137,-0.0002832925282426,-0.0136086064055713,-0.0005239783599901,-0.035713657149192,-0.001837951627229,-9.95589769403409e-05,-0.1070200817488972,-8.277221443793887e-06,-3.0205134395037545e-05,-0.0016310683995537,-0.0001060023762314,-0.0002414059893156
CZ,-0.0103258461064365,-5.16439432414911e-06,-0.0204744253094358,0.0,-0.0045936239582415,-4.749186161178271e-05,-0.0670019827437665,-0.0035176827306691,-1.2813001762484135e-06,-0.0918191897214162,-2.0861175052278926e-06,-5.169366542052962e-06,-0.0003665871929523,0.0,-0.0004195355915634
AT,-0.0187184201972942,0.0,-0.030257670056267,0.0,-0.0063898097397713,0.0,-0.0644489129367927,-0.0006117168532243,0.0,-0.0636509857129418,0.0,-0.0005019430792785,-0.0127114423068132,0.0,-0.0002395318021099
CH,-0.0033989046578619,0.0,-0.0045940902267668,0.0,-0.0005230867881275,-0.0004911787985056,-0.124452789269662,-0.0001808952418005,0.0,0.0,0.0,0.0,-0.0005188687574844,0.0,-0.0586396990181037
ZA,-0.0073127300872107,0.0,-0.0310279475487843,-6.7486458685436325e-06,-0.0097217394055241,-0.0141578097300286,-0.060424596416493,-0.0003391002430586,-2.4816286544168885e-06,0.0,-8.388192599727829e-05,-3.1702007376455155e-05,-0.0043539213633989,-2.2650832703956293e-05,-0.0237026585896154
FI,-0.0013346735818578,0.0,-0.0187324601697154,-0.0001410818450382,-0.0096078334600137,0.0,-0.0082057847179424,-0.0007153073711558,-3.933065359677867e-05,-0.0533333825898797,-0.0038335746339315,-3.482089018697277e-05,-0.0150061423263118,-0.0005251786383284,-0.0001488490602138
