Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-193.155,-1.132,-62.833,-1.446,-44.784,-306.001,-109.408,-19.559,-0.091,-589.229,-0.122,-17.783,-11.079,-0.355,-20.704
US,-0.264,-0.0,-0.392,-0.009,-0.088,-0.967,-3.656,-0.006,-0.0,-4.05,0.0,-0.0,-0.017,-0.01,-0.032
WA,-0.156,-0.029,-0.863,-0.027,-0.133,-1.567,-1.212,-0.068,-0.005,-0.634,-0.006,-0.102,-0.126,-0.008,-0.075
JP,-0.11,0.0,-0.126,0.0,-0.036,-0.415,-0.467,-0.007,0.0,-1.542,0.0,-0.0,-0.019,-0.0,-0.005
IN,-0.129,-0.0,-0.623,-0.0,-0.077,-0.266,-0.494,-0.032,-0.0,-0.57,0.0,-0.001,-0.002,-0.0,-0.041
KR,-0.111,0.0,-0.291,-0.0,-0.06,-0.875,-0.522,-0.037,-0.0,-0.163,-0.0,-0.0,-0.012,-0.0,-0.008
DE,-0.114,-0.0,-0.215,-0.0,-0.037,-0.27,-0.165,-0.01,-0.0,-0.994,-0.0,-0.0,-0.015,-0.0,-0.006
MX,-0.052,-0.0,-0.088,-0.004,-0.032,-1.0,-0.37,-0.025,-0.0,-0.096,-0.0,-0.001,-0.005,-0.0,-0.035
WM,-0.047,-0.001,-0.17,-0.007,-0.012,-0.319,-0.323,-0.004,-0.002,-0.181,-0.0,-0.011,-0.015,-0.008,-0.005
WL,-0.02,-0.007,-0.079,-0.011,-0.235,-0.225,-0.135,-0.011,-0.001,-0.064,-0.001,-0.004,-0.007,-0.001,-0.009
CA,-0.081,-0.0,-0.095,-0.001,-0.008,-0.142,-0.223,-0.005,-0.0,-0.139,-0.0,-0.0,-0.01,-0.0,-0.003
GB,-0.023,0.0,-0.034,-0.0,-0.013,-0.127,-0.13,-0.003,-0.0,-0.053,-0.0,-0.0,-0.008,-0.0,-0.003
WF,-0.01,-0.012,-0.053,-0.003,-0.014,-0.073,-0.09,-0.003,-0.003,-0.032,-0.001,-0.037,-0.028,-0.001,-0.004
ID,-0.008,-0.011,-0.119,-0.002,-0.015,-0.104,-0.05,-0.004,-0.0,-0.018,-0.001,-0.0,-0.007,-0.0,-0.002
IT,-0.021,-0.0,-0.064,-0.0,-0.012,-0.042,-0.013,-0.003,-0.0,-0.16,-0.0,-0.0,-0.001,-0.0,-0.003
FR,-0.034,-0.0,-0.054,0.0,-0.012,-0.11,-0.047,-0.001,0.0,-0.047,0.0,-0.0,-0.001,0.0,-0.0
AU,-0.029,-0.025,-0.027,-0.004,-0.008,-0.032,-0.016,-0.01,-0.002,-0.014,-0.001,-0.024,-0.017,-0.003,-0.017
BR,-0.017,-0.002,-0.07,-0.004,-0.01,-0.045,-0.022,-0.003,-0.001,-0.032,-0.0,-0.014,-0.003,-0.0,-0.002
TR,-0.012,-0.0,-0.054,-0.0,-0.003,-0.054,-0.061,-0.0,-0.0,-0.008,-0.0,-0.002,-0.001,-0.0,-0.003
BE,-0.018,-0.0,-0.044,-0.0,-0.017,-0.022,-0.039,-0.006,-0.0,-0.023,-0.0,-0.001,-0.002,-0.0,-0.007
PL,-0.008,-0.0,-0.01,-0.0,-0.009,-0.067,-0.035,-0.001,-0.0,-0.033,-0.0,-0.0,-0.0,-0.0,-0.001
TW,-0.003,-0.0,-0.004,-0.0,-0.004,-0.091,-0.037,-0.001,-0.0,-0.014,0.0,-0.0,-0.004,-0.0,-0.002
CH,-0.001,0.0,-0.001,0.0,-0.0,-0.049,-0.045,-0.0,0.0,-0.041,-0.0,0.0,-0.0,0.0,-0.02
ES,-0.039,-0.0,-0.036,-0.001,-0.011,-0.042,-0.004,-0.009,-0.0,-0.012,-0.0,-0.0,-0.001,-0.0,-0.0
NL,-0.006,0.0,-0.007,0.0,-0.006,-0.023,-0.057,-0.001,0.0,-0.032,0.0,-0.0,-0.001,0.0,-0.0
CZ,-0.002,-0.0,-0.007,-0.0,-0.001,-0.055,-0.023,-0.001,-0.0,-0.024,-0.0,-0.0,-0.0,-0.0,-0.0
AT,-0.007,0.0,-0.016,-0.0,-0.002,-0.023,-0.019,-0.0,-0.0,-0.016,0.0,-0.0,-0.001,-0.0,-0.0
ZA,-0.004,0.0,-0.006,-0.0,-0.004,-0.009,-0.006,-0.001,-0.0,-0.008,-0.0,-0.035,-0.005,-0.0,-0.003
HU,-0.002,-0.0,-0.006,-0.0,-0.0,-0.043,-0.013,-0.0,-0.0,-0.017,-0.0,-0.0,-0.0,-0.0,-0.0
DK,-0.006,-0.0,-0.004,-0.0,-0.0,-0.025,-0.025,-0.0,-0.0,-0.017,-0.0,-0.0,-0.0,-0.0,-0.0
WE,-0.005,-0.007,-0.02,-0.0,-0.004,-0.02,-0.006,-0.001,-0.0,-0.008,-0.0,-0.002,-0.002,-0.0,-0.0
SE,-0.005,0.0,-0.015,-0.0,-0.002,-0.022,-0.011,-0.0,-0.0,-0.018,-0.0,-0.0,-0.001,-0.0,-0.0
IE,-0.002,0.0,-0.001,0.0,-0.0,-0.036,-0.011,-0.0,-0.0,-0.013,-0.0,0.0,-0.001,-0.0,-0.0
GR,-0.022,-0.0,-0.013,0.0,-0.001,-0.003,-0.017,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.003,-0.0,-0.027,-0.0,-0.003,-0.003,-0.007,-0.0,-0.0,-0.002,-0.0,-0.0,-0.003,-0.0,-0.001
LU,-0.002,0.0,-0.013,0.0,-0.002,-0.004,-0.017,-0.002,0.0,-0.004,0.0,0.0,-0.0,0.0,-0.001
