Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-1.715,-0.035,-1.103,-0.029,-3.011,-5.503,-1.527,-0.775,-0.003,-8.966,-0.004,-0.353,-0.31,-0.007,-0.62
CY,-0.145,-0.0,-0.377,-0.001,-0.432,-1.289,-0.719,-0.018,-0.0,-1.151,-0.0,-0.0,-0.007,-0.0,-0.025
US,-0.044,-0.0,-0.11,-0.004,-0.041,-0.242,-0.65,-0.003,-0.0,-0.788,0.0,-0.0,-0.009,-0.003,-0.009
WM,-0.054,-0.004,-0.174,-0.018,-0.054,-0.208,-0.263,-0.016,-0.006,-0.157,-0.0,-0.025,-0.044,-0.022,-0.014
DE,-0.03,-0.0,-0.125,-0.0,-0.054,-0.159,-0.083,-0.007,-0.0,-0.571,-0.0,-0.0,-0.009,-0.0,-0.004
WA,-0.026,-0.017,-0.172,-0.007,-0.056,-0.243,-0.215,-0.038,-0.002,-0.101,-0.003,-0.027,-0.044,-0.003,-0.024
JP,-0.02,0.0,-0.053,0.0,-0.042,-0.055,-0.166,-0.093,0.0,-0.304,0.0,-0.0,-0.015,-0.0,-0.008
IN,-0.017,-0.0,-0.218,-0.001,-0.024,-0.055,-0.163,-0.011,-0.0,-0.251,0.0,-0.001,-0.002,-0.001,-0.01
WL,-0.014,-0.006,-0.064,-0.014,-0.408,-0.073,-0.063,-0.012,-0.001,-0.046,-0.001,-0.006,-0.009,-0.002,-0.01
GB,-0.017,0.0,-0.04,-0.0,-0.024,-0.131,-0.133,-0.007,-0.0,-0.053,-0.0,-0.0,-0.014,-0.0,-0.007
IE,-0.009,0.0,-0.003,0.0,-0.0,-0.135,-0.149,-0.001,-0.0,-0.11,-0.0,0.0,-0.013,-0.0,-0.004
