Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.002,0.003,0.0,0.0,0.002,0.0,0.002,0.004,0.003
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.017,0.003,0.005,0.002,0.005,0.002,0.005,0.001
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.025,0.003,0.007,0.002
CY,0.0,0.013,0.0,0.0,0.0,0.0,0.064,0.112,0.097,0.016,0.01,0.03,0.14,0.142,0.087
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.006,0.005,0.001
DE,0.0,0.0,0.003,0.001,0.0,0.0,0.013,0.037,0.012,0.007,0.014,0.005,0.017,0.016,0.043
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.014,0.0,0.002,0.001,0.0,0.003,0.009,0.002,0.006,0.002,0.001,0.004,0.001,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.003,0.001,0.001,0.024,0.0,0.002,0.001,0.001
FR,0.0,,,,0.001,,0.005,0.018,0.003,0.004,0.008,0.002,0.008,0.005,0.002
GB,,0.0,0.0,0.001,0.0,0.0,0.008,0.012,0.005,0.007,0.023,0.009,0.014,0.026,0.004
GR,0.008,,0.001,0.0,0.0,0.0,0.008,0.03,0.002,0.0,0.0,0.0,0.003,0.021,0.002
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.0,0.0,0.0,0.0,0.007,0.005,0.003
IE,,,0.001,0.001,,0.001,0.004,0.001,0.0,0.001,0.02,0.005,0.015,0.029,0.008
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.014,0.004,0.004,0.002,0.013,0.003,0.002,0.008
LT,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.004,0.001
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.006,0.001,0.0,0.001,0.001
PL,0.0,0.005,0.003,0.0,0.0,0.001,0.002,0.005,0.003,0.002,0.0,0.002,0.004,0.008,0.002
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.009,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.002,0.001
RU,0.002,0.015,0.087,0.059,0.007,0.066,0.005,0.024,0.006,0.002,0.028,0.012,0.001,0.002,0.0
SE,,0.001,0.001,0.002,0.0,0.002,0.003,0.009,0.001,0.0,0.002,0.0,0.002,0.005,0.002
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.002,0.001
WE,0.043,0.006,0.046,0.003,0.014,0.005,0.002,0.012,0.003,0.001,0.007,0.0,0.002,0.002,0.001
