Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-9.639323292684717,0.0,-27.629179272905645,0.0,-5.597547392500474,-0.7388037717066912,-18.39865967255322,-0.541067220567108,-0.0030692996941099,-40.83857396805067,0.0,-0.0164895643757475,-1.2242075237582768,0.0,-0.5223779335889069
SK,-1.4384809374990075,0.0,-2.4030366314777734,-0.0610477920258024,-1.1845896145305606,0.0,-16.817559335030378,-1.0651373124519383,-0.032305678208848,-15.188569202816865,0.0,0.0,-0.0580560899631496,-1.8483335183186549,-0.1487547314729781
CN,-2.49291019709144,-0.0002753923344407,-6.0083439547541495,-0.003756323575148,-2.892381467441972,-3.0295760293171257,-4.806010260601227,-1.6095233010282473,-0.0010208093189745,-0.001302446845357,-0.0012851402534002,-0.0041266699905036,-0.4925073795966886,-0.0045140139789148,-0.2902363733589735
US,-0.6338531817811224,-0.0001916263936043,-2.30827496556794,-0.0006723590114848,-0.5185199047301556,-2.5442416268656927,-5.454185362360177,-0.0327604742099256,-0.0030090991287757,-7.898922874653597,0.0,-1.3042911236246202e-05,-0.1686984109269135,-0.0002147264407926,-0.3240693341482664
AT,-4.25632361181791,0.0,-5.940340438290029,0.0,-0.993219144781492,0.0,-2.958434185064031,-0.0349155491806134,0.0,-3.932107966717446,0.0,-0.0367286284279262,-0.5006396887038156,0.0,-0.0210381511916504
IT,-1.511216528044766,-0.0049143006370402,-5.939619825621985,0.0,-1.3547453465210628,-0.2734460556743342,-0.9254650767569558,-0.0537423582744991,-3.325193129314237e-06,-6.848332874536195,0.0,-0.0031698296967992,-0.0389128695145881,-2.3137978475357133e-06,-0.5047598559123271
GB,-2.3077052826388544,0.0,-1.7972188298358622,0.0,-0.7692213739182673,-0.1510402187500838,-2.500851833285463,-0.2335085495648282,-0.0010401942476093,-0.0285492959559971,0.0,-0.0165984303766933,-0.7263680275524067,-4.822716551202464e-06,-0.1221434149870116
WE,-0.2107508445896168,-0.0006388881878723,-1.4707977356834565,-0.9261677139260877,-1.2494401276191025,-0.162443039630544,-1.4689376933870275,-0.0310344768604432,-0.0021178342984929,0.0,-0.0010332877238886,-0.0044824943552016,-0.0751288524373185,-0.0010293548349513,-0.0374116877327196
WA,-0.5163195451039466,-0.0012281404728051,-2.043984569661546,-0.0011764753469565,-1.1879223401718453,-0.2540922560718624,-1.2273569249985583,-0.0779157220448447,-0.0015173317680468,0.0,-0.0022159831792186,-0.0023557351544854,-0.0783510027982136,-0.0003095547466887,-0.2256638226176057
PL,-0.2295970081719754,0.0,-0.7687167381661165,-0.0027970112230372,-1.496908046701971,-0.0155610420888078,-1.154284148164335,-0.0733263630812843,-0.0001595649140543,-1.3631343135758422,-0.001688694304956,-9.094864208711584e-05,-0.000489931958904,-0.000112466127637,-0.1745449840558065
CH,-0.1245046696661331,0.0,-0.2272902447279405,0.0,-0.0094125256060216,-0.0045146057420975,-2.114687491830817,-0.0029387775103558,0.0,0.0,0.0,0.0,-0.0113425661112193,0.0,-0.6761976851025855
CZ,-0.1820757981934375,-8.907706433592698e-05,-0.4104396091689747,0.0,-0.1573788135552101,-0.0005203542563678,-1.0202671078454486,-0.1228118033425663,-9.536313626566911e-06,-1.1423846939453512,-3.5788773339448404e-05,-5.617635704030036e-05,-0.0038138381719571,0.0,-0.0293074278830906
