Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CZ,-3.65,-0.002,-25.792,-0.001,-2.084,-25.383,-17.328,-0.658,-0.0,-20.575,-0.003,-0.0,-0.166,-0.0,-0.363
CN,-3.386,-0.039,-3.078,-0.069,-6.665,-22.825,-5.664,-1.037,-0.006,-26.938,-0.007,-0.945,-0.734,-0.018,-1.199
DE,-0.964,-0.0,-7.219,-0.0,-0.601,-4.624,-2.566,-0.185,-0.001,-18.562,-0.001,-0.0,-0.136,-0.0,-0.094
US,-0.224,-0.0,-1.209,-0.023,-0.147,-0.885,-3.596,-0.014,-0.001,-3.987,0.0,-0.001,-0.029,-0.009,-0.053
AT,-0.109,0.0,-3.087,-0.0,-0.057,-0.634,-0.648,-0.005,-0.0,-0.48,0.0,-0.0,-0.029,-0.0,-0.005
PL,-0.096,-0.0,-0.688,-0.004,-0.175,-1.031,-1.235,-0.032,-0.001,-0.676,-0.0,-0.0,-0.0,-0.0,-0.028
IT,-0.122,-0.0,-1.157,-0.0,-0.146,-0.303,-0.145,-0.023,-0.0,-1.47,-0.0,-0.0,-0.006,-0.0,-0.052
SK,-0.164,-0.0,-0.142,-0.0,-0.045,-0.551,-0.828,-0.006,-0.0,-0.937,-0.0,-0.0,-0.003,-0.0,-0.039
WM,-0.036,-0.001,-0.812,-0.014,-0.026,-0.474,-0.778,-0.006,-0.003,-0.348,-0.0,-0.017,-0.021,-0.012,-0.009
GB,-0.116,0.0,-0.454,-0.0,-0.093,-0.741,-0.725,-0.024,-0.0,-0.296,-0.0,-0.0,-0.042,-0.0,-0.026
JP,-0.032,0.0,-0.214,0.0,-0.456,-0.355,-0.391,-0.051,0.0,-0.956,0.0,-0.0,-0.015,-0.0,-0.005
WA,-0.04,-0.009,-0.553,-0.009,-0.1,-0.658,-0.577,-0.034,-0.002,-0.29,-0.002,-0.035,-0.046,-0.002,-0.035
HU,-0.037,-0.0,-0.479,-0.0,-0.001,-0.715,-0.439,-0.001,-0.0,-0.338,-0.0,-0.0,-0.0,-0.0,-0.001
FR,-0.076,-0.0,-0.324,0.0,-0.072,-0.629,-0.272,-0.007,0.0,-0.266,0.0,-0.0,-0.006,0.0,-0.003
MX,-0.007,-0.0,-0.056,-0.002,-0.024,-0.891,-0.319,-0.009,-0.0,-0.091,-0.0,-0.0,-0.004,-0.0,-0.021
