Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.012,0.064,0.005,0.002,0.02,0.002,0.01,0.017,0.006
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.004,0.007,0.008,0.008,0.003,0.011,0.002,0.006,0.002
BG,0.0,0.002,0.003,0.0,0.0,0.003,0.0,0.0,0.007,0.001,0.0,0.0,0.0,0.001,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.001,0.045,0.005,0.005,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.025,0.005,0.001,0.185,0.0,0.003,0.385,0.533,0.179,0.292,0.115,0.169,0.398,0.449,0.262
DE,0.0,0.0,0.065,0.062,0.0,0.0,0.102,0.149,0.052,0.082,0.094,0.044,0.073,0.067,0.236
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.003,0.003,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.027,0.0,0.005,0.0,0.0,0.004,0.004,0.004,0.007,0.005,0.004,0.003,0.001,0.001
FI,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.002,0.001,0.001,0.022,0.004,0.001,0.001,0.001
FR,0.0,,,,0.0,,0.008,0.007,0.006,0.003,0.004,0.001,0.01,0.007,0.003
GB,,0.0,0.0,0.002,0.0,0.0,0.012,0.009,0.008,0.011,0.029,0.012,0.012,0.019,0.004
GR,0.004,,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.01,0.0,0.0,0.0,0.0,0.011,0.011,0.004
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.024,0.013,0.01,0.004,0.024,0.005,0.004,0.019
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.003,0.002,0.01,0.002,0.003,0.0,0.002,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.0,0.003,0.003,0.002,0.001,0.002,0.01,0.002
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.001,0.0,0.023,0.001,0.001,0.001,0.001
PL,0.002,0.03,0.033,0.006,0.0,0.002,0.01,0.014,0.015,0.014,0.0,0.013,0.016,0.032,0.009
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.025,0.003,0.0,0.0,0.006,0.001,0.002,0.001,0.001,0.0,0.0,0.002,0.003,0.002
