Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-66.55882457857003,0.0,-104.8684165799746,0.0,-23.7908597446102,-2.933234685103337,-50.32542568833898,-2.271431978415116,-0.0096957426547987,-101.5268589337311,0.0,-0.0499691217678565,-4.63464784250256,0.0,-2.0965923601741894
US,-2.173178688205431,-0.0004283959825165,-5.215608629332423,-0.0013640947277315,-1.3203534836165582,-4.993841823057049,-13.664413770264549,-0.0877220001440905,-0.0059780570489657,-15.224487996399462,0.0,-2.837836575307727e-05,-0.4313254686545423,-0.0005235148399258,-0.5199032683384065
CN,-5.723695180450973,-0.000378913497818,-12.720043376652212,-0.0051484904824947,-3.0401606534642003,-6.1807019464924045,-10.28344480373969,-3.0197538714944545,-0.0013321068193635,-0.0032824985165181,-0.0016940440808027,-0.0056358084393852,-0.9311516582870988,-0.0058880297443314,-0.5596292095140066
AT,-4.318133076675532,0.0,-5.318619520301794,0.0,-0.4607783643934148,0.0,-4.78204516598382,-0.0349561127375764,0.0,-4.684542275035359,0.0,-0.0298517822969747,-0.4896978014832784,0.0,-0.0139392378142057
WA,-1.586490335586835,-0.0037834655336953,-4.112584925171533,-0.0019594863053607,-2.54114725684252,-0.5188808940357936,-2.728626659098013,-0.1419569333089885,-0.002224558222714,0.0,-0.0037945458116484,-0.0043221223413378,-0.1471964227990069,-0.0006419924917479,-0.3862836915449006
IT,-1.3682643965969938,-0.0033518445893845,-3.614651421883903,0.0,-1.2116500305246094,-0.1203900487513212,-0.7887397482073093,-0.0415662825354919,-8.556461639083689e-06,-3.7817570079006337,0.0,-0.0017313275832096,-0.0215431409781031,-8.608223581300104e-07,-0.2457201430057102
PL,-0.5870252170757092,0.0,-1.607677191552284,-0.004407414824155,-3.0958031773946604,-0.0264594690241025,-2.3376326731202908,-0.0738756020158331,-0.0001952671677515,-2.5870331439914342,-0.0003099765731075,-0.0001353643130203,-0.000564976655144,-0.0002011361694472,-0.304262757723793
CH,-0.5190786181651809,0.0,-0.8893171570012864,0.0,-0.0327777895615912,-0.0107428076857974,-7.4516083656982435,-0.0092033821725608,0.0,0.0,0.0,0.0,-0.0435568966738325,0.0,-1.6592561351419923
NL,-1.731005437936992,0.0,-0.8829864918856892,0.0,-1.140110846599814,0.0,-3.118039272595455,-0.1526081235864435,0.0,-3.115636645055128,0.0,-0.0013634967632063,-0.1718967046391611,0.0,-0.0410949485139243
GB,-0.2201664667552776,0.0,-1.4982090506630048,0.0,-1.1052538784647623,-0.0171369596000903,-4.633247017324558,-0.4436692257210777,-0.0001910269854292,-0.0130005864323938,0.0,-0.00297997282534,-0.1920045791854908,-1.2964391686917936e-06,-0.0548469760344181
FR,-0.705179506521282,-0.0004648132333964,-2.764486986525899,0.0,-0.5608699091435486,-0.1161052226655052,-1.1892124874768677,-0.0140059814001096,0.0,-1.847471884854176,-0.0002802619225533,-0.0001231329317374,-0.0357879243731267,0.0,-0.0104641119600943
BE,-1.2542801033360131,0.0,-1.6732242985449963,0.0,-1.454444469155154,-0.075556399391804,-1.2815066683127898,-0.0396874913407966,0.0,-0.971743688759871,0.0,-0.0025207686302466,-0.0740301988710185,0.0,-0.3810211774664304
CA,-2.7132216923082138,0.0,-1.7531153413326075,-1.0951906380331213e-07,-0.4655460505828286,-0.2822185101207889,-1.4153078450492071,-0.1891193305145086,-3.38474788337692e-06,0.0,-4.986826595918983e-08,-4.004154528980541e-05,-0.0723876463826389,-0.0009336664566337,-0.0134264757200161
CZ,-0.4695119961429572,-0.0001503568779715,-0.8882604231201936,0.0,-0.2034296966675025,-0.0013411527076447,-1.5782900192690732,-0.0988393900559007,-2.3744769265863837e-05,-2.584609895842506,-6.0594857599171456e-05,-9.591296577732886e-05,-0.0056116670824076,0.0,-0.0123451845671604
MX,-0.1385830082731774,0.0,-0.5083597915992816,0.0,-0.3363316178187467,-0.4589150851898246,-3.405457191161348,-0.0481651669995374,0.0,0.0,0.0,0.0,-0.009673840909003,0.0,-0.1116714778495782
KR,-0.3641335116623168,0.0,-0.662597825278195,-2.6331446345307154e-06,-1.6386527996744151,-0.6683557806873777,-0.5176439734749748,-0.372199756997575,-3.972475315281679e-05,-3.828744944074852e-06,-0.0294828960801447,-0.0004565334519635,-0.04744948462686,-0.0007813713953616,-0.0825447418168867
