Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-30.799,-0.0,-64.87,-0.0,-10.651,-30.092,-30.125,-2.518,-0.051,-58.233,-0.004,-0.0,-6.595,-0.0,-1.012
CN,-7.243,-0.074,-6.979,-0.126,-19.172,-59.768,-12.439,-2.282,-0.01,-61.452,-0.012,-1.795,-1.289,-0.034,-2.339
US,-1.581,-0.0,-2.127,-0.013,-1.175,-2.012,-9.598,-0.08,-0.0,-8.265,0.0,-0.0,-0.079,-0.011,-0.143
IT,-0.458,-0.0,-1.813,-0.0,-0.644,-0.534,-0.238,-0.074,-0.0,-2.355,-0.0,-0.0,-0.016,-0.0,-0.04
GB,-0.905,0.0,-0.56,-0.0,-0.537,-1.381,-1.298,-0.102,-0.0,-0.525,-0.0,-0.0,-0.058,-0.0,-0.033
WA,-0.162,-0.016,-0.82,-0.017,-0.374,-1.331,-1.085,-0.106,-0.003,-0.519,-0.003,-0.064,-0.145,-0.004,-0.079
AT,-0.362,0.0,-1.241,-0.0,-0.168,-0.834,-1.129,-0.011,-0.0,-0.747,0.0,-0.0,-0.033,-0.0,-0.006
FR,-0.273,-0.0,-0.775,0.0,-0.395,-1.268,-0.728,-0.078,0.0,-0.527,0.0,-0.0,-0.018,0.0,-0.003
PL,-0.158,-0.0,-0.434,-0.003,-0.271,-1.02,-1.058,-0.052,-0.0,-0.622,-0.0,-0.0,-0.001,-0.0,-0.017
MX,-0.019,-0.0,-0.139,-0.005,-0.106,-2.061,-0.9,-0.039,-0.0,-0.216,-0.0,-0.001,-0.014,-0.001,-0.047
CH,-0.024,0.0,-0.054,0.0,-0.012,-0.953,-1.101,-0.002,0.0,-0.953,-0.0,0.0,-0.003,0.0,-0.131
CZ,-0.059,-0.0,-0.326,-0.0,-0.104,-1.231,-0.589,-0.049,-0.0,-0.651,-0.0,-0.0,-0.005,-0.0,-0.006
BE,-0.355,-0.0,-0.867,-0.0,-0.416,-0.235,-0.65,-0.088,-0.0,-0.319,-0.0,-0.007,-0.018,-0.0,-0.044
WM,-0.12,-0.001,-0.487,-0.012,-0.084,-0.596,-0.783,-0.012,-0.003,-0.396,-0.0,-0.019,-0.044,-0.012,-0.011
JP,-0.259,0.0,-0.123,0.0,-0.134,-0.302,-0.402,-0.02,0.0,-1.296,0.0,-0.0,-0.024,-0.0,-0.01
CA,-0.364,-0.0,-0.5,-0.002,-0.065,-0.388,-0.828,-0.02,-0.0,-0.318,-0.0,-0.0,-0.046,-0.0,-0.006
NL,-0.095,0.0,-0.063,0.0,-0.227,-0.262,-1.274,-0.032,0.0,-0.357,0.0,-0.0,-0.006,0.0,-0.003
IN,-0.031,-0.0,-0.622,-0.0,-0.064,-0.167,-0.505,-0.021,-0.0,-0.724,0.0,-0.001,-0.001,-0.0,-0.021
KR,-0.179,0.0,-0.205,-0.0,-0.218,-0.653,-0.31,-0.101,-0.0,-0.146,-0.0,-0.0,-0.022,-0.0,-0.015
SE,-0.082,0.0,-0.626,-0.0,-0.072,-0.327,-0.346,-0.004,-0.0,-0.304,-0.0,-0.0,-0.017,-0.0,-0.0
HU,-0.049,-0.0,-0.143,-0.0,-0.002,-0.645,-0.391,-0.001,-0.0,-0.284,-0.0,-0.0,-0.0,-0.0,-0.001
TW,-0.01,-0.0,-0.015,-0.0,-0.032,-0.957,-0.281,-0.003,-0.0,-0.092,0.0,-0.0,-0.027,-0.0,-0.004
WL,-0.067,-0.006,-0.127,-0.017,-0.572,-0.24,-0.223,-0.012,-0.001,-0.103,-0.001,-0.006,-0.01,-0.002,-0.011
ES,-0.084,-0.0,-0.426,-0.006,-0.146,-0.37,-0.05,-0.048,-0.0,-0.105,-0.0,-0.001,-0.015,-0.0,-0.015
TR,-0.094,-0.0,-0.544,-0.001,-0.053,-0.087,-0.332,-0.001,-0.0,-0.028,-0.0,-0.007,-0.012,-0.001,-0.044
LU,-0.016,0.0,-0.458,0.0,-0.089,-0.013,-0.239,-0.085,0.0,-0.068,0.0,0.0,-0.006,0.0,-0.014
DK,-0.062,-0.0,-0.073,-0.0,-0.022,-0.262,-0.289,-0.001,-0.0,-0.209,-0.0,-0.0,-0.001,-0.0,-0.001
SK,-0.034,-0.0,-0.016,-0.0,-0.017,-0.2,-0.246,-0.003,-0.0,-0.281,-0.0,-0.0,-0.0,-0.0,-0.002
WF,-0.016,-0.011,-0.102,-0.002,-0.152,-0.103,-0.151,-0.006,-0.003,-0.051,-0.0,-0.039,-0.031,-0.001,-0.005
FI,-0.01,-0.0,-0.118,-0.0,-0.053,-0.166,-0.055,-0.003,-0.0,-0.153,-0.0,-0.0,-0.072,-0.0,-0.001
IE,-0.009,0.0,-0.004,0.0,-0.001,-0.215,-0.223,-0.001,-0.0,-0.108,-0.0,0.0,-0.009,-0.0,-0.001
WE,-0.046,-0.01,-0.149,-0.0,-0.059,-0.142,-0.052,-0.003,-0.001,-0.055,-0.0,-0.009,-0.009,-0.0,-0.001
RO,-0.011,0.0,-0.05,-0.004,-0.013,-0.124,-0.188,-0.002,-0.0,-0.138,-0.0,-0.0,-0.001,-0.0,-0.0
NO,-0.043,-0.0,-0.074,-0.0,-0.054,-0.052,-0.053,-0.003,-0.0,-0.074,-0.0,-0.0,-0.046,-0.0,-0.004
GR,-0.049,-0.0,-0.115,0.0,-0.016,-0.027,-0.151,-0.0,-0.0,-0.017,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.009,-0.0,-0.046,-0.0,-0.027,-0.129,-0.069,-0.003,-0.0,-0.068,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.025,0.0,-0.051,-0.0,-0.005,-0.093,-0.095,-0.001,-0.0,-0.07,-0.0,0.0,-0.0,-0.0,-0.0
BR,-0.019,-0.002,-0.073,-0.004,-0.022,-0.083,-0.035,-0.005,-0.001,-0.065,-0.0,-0.014,-0.004,-0.0,-0.01
AU,-0.044,-0.016,-0.032,-0.003,-0.007,-0.036,-0.036,-0.017,-0.002,-0.022,-0.0,-0.022,-0.019,-0.003,-0.015
ID,-0.003,-0.002,-0.086,-0.001,-0.011,-0.037,-0.03,-0.002,-0.0,-0.012,-0.0,-0.0,-0.006,-0.0,-0.001
BG,-0.004,-0.0,-0.001,-0.0,-0.113,-0.017,-0.021,-0.001,-0.0,-0.025,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.007,-0.0,-0.1,-0.0,-0.012,-0.013,-0.023,-0.001,-0.001,-0.005,-0.0,-0.001,-0.007,-0.001,-0.004
ZA,-0.004,0.0,-0.017,-0.0,-0.005,-0.018,-0.029,-0.001,-0.0,-0.019,-0.0,-0.03,-0.005,-0.0,-0.006
EE,-0.0,-0.0,-0.001,-0.0,-0.003,-0.034,-0.004,-0.0,-0.0,-0.005,-0.0,0.0,-0.001,-0.0,-0.0
HR,-0.003,-0.0,-0.003,-0.0,-0.001,-0.006,-0.019,-0.0,-0.0,-0.009,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.001,-0.0,-0.004,-0.009,-0.014,-0.0,-0.0,-0.007,-0.0,0.0,-0.0,0.0,-0.0
LV,-0.001,-0.0,-0.001,-0.0,-0.001,-0.004,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002,-0.001,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
