Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.008,0.014,0.005,0.002,0.004,0.001,0.008,0.016,0.005
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.01,0.011,0.015,0.002,0.011,0.002,0.009,0.002
BG,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.001,0.001,0.0,0.0,0.0,0.032,0.009,0.016,0.007
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.003,0.008,0.001,0.001,0.011,0.009,0.005
DE,0.001,0.0,0.653,0.179,0.0,0.001,0.696,0.75,0.293,0.427,0.757,0.246,0.275,0.439,0.413
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.002,0.004,0.001
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.028,0.0,0.005,0.0,0.0,0.002,0.005,0.004,0.008,0.002,0.004,0.003,0.001,0.001
FI,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.008,0.0,0.002,0.001,0.001
FR,0.0,,,,0.0,,0.006,0.009,0.011,0.013,0.002,0.001,0.012,0.011,0.004
GB,,0.0,0.0,0.002,0.0,0.0,0.02,0.006,0.015,0.017,0.007,0.008,0.013,0.019,0.004
GR,0.003,,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.006,0.006,0.002
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.021,0.018,0.013,0.002,0.01,0.005,0.003,0.017
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.005,0.002,0.014,0.001,0.003,0.0,0.003,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.001,0.006,0.005,0.001,0.001,0.002,0.019,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.005,0.001,0.0,0.001,0.001
PL,0.0,0.013,0.005,0.002,0.0,0.001,0.004,0.005,0.007,0.009,0.0,0.004,0.009,0.015,0.004
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0
RO,,0.017,0.001,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.003,0.001
RU,0.0,0.002,0.013,0.008,0.0,0.015,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0
SE,,0.002,0.001,0.001,0.0,0.001,0.002,0.007,0.002,0.001,0.002,0.0,0.003,0.005,0.002
SI,,0.0,0.0,0.0,,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.001,0.002,0.004,0.002
WE,0.071,0.001,0.01,0.007,0.004,0.002,0.001,0.002,0.002,0.001,0.001,0.0,0.001,0.001,0.0
BR,0.012,0.016,0.011,0.016,0.007,0.004,0.0,0.001,0.001,0.001,0.0,0.002,0.001,0.001,0.0
CA,0.001,0.008,0.002,0.009,0.0,0.004,0.008,0.006,0.002,0.003,0.005,0.001,0.004,0.012,0.002
MX,0.0,0.024,0.003,0.001,0.0,0.01,0.0,0.002,0.003,0.007,0.002,0.012,0.019,0.013,0.002
US,0.0,0.058,0.006,,0.0,0.149,0.036,0.025,0.032,0.014,0.009,0.035,0.018,0.14,0.059
WL,0.04,0.079,0.019,0.023,0.003,0.029,0.002,0.001,0.016,0.002,0.001,0.003,0.002,0.003,0.001
CN,0.532,0.582,0.133,0.531,0.89,0.478,0.164,0.081,0.527,0.387,0.148,0.57,0.546,0.181,0.436
ID,0.016,0.003,0.0,0.022,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
IN,0.001,0.001,0.0,,0.0,0.003,0.001,0.007,0.002,0.004,0.0,0.005,0.002,0.007,0.005
JP,,,,,0.0,0.0,0.006,0.001,0.004,0.003,0.003,0.002,0.003,0.006,0.009
KR,,0.0,0.0,0.002,0.0,0.0,0.004,0.002,0.006,0.017,0.003,0.004,0.006,0.005,0.001
TR,0.002,0.003,0.002,0.0,0.004,0.013,0.002,0.006,0.001,0.0,0.001,0.011,0.001,0.005,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.009,0.004,0.001
WA,0.117,0.076,0.041,0.144,0.032,0.058,0.004,0.009,0.01,0.018,0.017,0.019,0.012,0.016,0.004
WM,0.01,0.057,0.035,0.004,0.009,0.169,0.003,0.006,0.002,0.002,0.005,0.003,0.005,0.011,0.003
WF,0.077,0.011,0.04,0.021,0.02,0.012,0.0,0.001,0.004,0.001,0.004,0.001,0.001,0.002,0.0
ZA,,0.001,0.001,0.001,0.015,0.003,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0
AU,0.113,0.014,0.019,0.02,0.011,0.038,0.001,0.0,0.0,0.003,0.002,0.004,0.0,0.001,0.0
