Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-16.597577010792513,0.0,-46.735149912285785,0.0,-9.690339731655351,-1.2562261954982925,-29.739097563616703,-1.2364852103673578,-0.0061746531974845,-63.52532245533431,0.0,-0.0266012619762101,-1.9639397989214693,0.0,-0.7760355427072443
SE,-2.263462318889501,0.0,-13.856957330680377,-0.1297274373332118,-3.302006621324024,-0.0400491093655413,-4.35408165340874,-0.3030190655945964,-0.0435031201884993,-7.701705081496765,-0.0082574018349292,-0.0032076634484465,-0.4388302290912625,-0.0049500144371351,-0.0355882444311192
NL,-6.585298324302443,0.0,-1.5785122222321886,0.0,-3.382228431979351,0.0,-5.710832221801988,-0.6374228166009536,0.0,-7.750544169346853,0.0,-0.0046762845791573,-0.7370960442614339,0.0,-0.1508058303411722
CN,-3.2507375737826902,-0.0003104273553059,-7.95375532293211,-0.0042125231582115,-2.1376422553873526,-3.758993039322368,-6.229409382286711,-2.1295432774664227,-0.0009762050758142,-0.0017775448311452,-0.0012686026688834,-0.0045486121720186,-0.6715483516942583,-0.0043754807660669,-0.2134652668222776
US,-0.8952020764937298,-0.0002676828916914,-3.078154142904074,-0.0008694138224886,-0.7578480590743549,-3.233835270715508,-7.163151338302729,-0.0609613778077276,-0.0038182967278962,-9.29461600183476,0.0,-1.7789673642952688e-05,-0.2435137083018342,-0.0003234356675363,-0.2639326679473108
WA,-0.6232065448625399,-0.0014829863940428,-2.5743901559126474,-0.0010858369304599,-1.707721538945972,-0.3141297750680168,-1.5519499004522257,-0.1043331059861321,-0.0015580052138769,0.0,-0.0015063448108214,-0.0020942733115855,-0.0927333628057139,-0.0004412904933145,-0.153862042630361
PL,-0.2135806018731594,0.0,-0.5681769536486182,-0.0014592638507489,-2.11420153721682,-0.0085994766283219,-0.9894277315863595,-0.0668293175612199,-0.0001305466055782,-1.121517157779532,-0.0003541202278887,-6.457867262934527e-05,-0.0001936932862888,-5.310444803695793e-05,-0.0812482786100522
AT,-0.4339543634265314,0.0,-0.5801052140347325,0.0,-0.1699623575342565,0.0,-1.4233215920034672,-0.0109976192411733,0.0,-1.3895834216849583,0.0,-0.0025490727825381,-0.0993596460686776,0.0,-0.0025710263663586
GB,-0.1735396785189156,0.0,-0.7969683231648306,0.0,-0.6865366608556304,-0.0147672687222708,-1.722787032654514,-0.3425228930929895,-0.0001561224011028,-0.0197835589780873,0.0,-0.0024350460609353,-0.1440836639726805,-9.401988687118972e-07,-0.0432212134307461
NO,-0.6774395029061782,0.0,-0.7497109623271304,0.0,-0.3108294848583753,-0.0045843084953786,-0.6613683299731459,-0.0241339382262724,0.0,-0.946521905442871,-1.1990183629304788e-08,-7.77481873598802e-05,-0.4954093721206121,0.0,-0.0616621696368155
IT,-0.390881769680476,-0.0011105216581887,-1.0455800067294367,0.0,-0.8342838464903463,-0.0331352502875778,-0.2961835798794286,-0.0333280110797556,-5.046674694726888e-06,-1.1328760641786455,0.0,-0.000633185801394,-0.0086568578041713,-1.1076629293458092e-07,-0.0663091345597591
CA,-0.9832122890505098,0.0,-1.1055574819591487,-8.338544659705038e-08,-0.3070480111140214,-0.1323339204349162,-0.7252407826019426,-0.1162499651607643,-3.942469031825876e-06,0.0,-3.398009986266707e-08,-2.480669767079517e-05,-0.0448932867785572,-0.0004636959537546,-0.0067180027387715
BE,-0.4259146175579111,0.0,-0.686846349410563,0.0,-0.7904711896484338,-0.0486204081169144,-0.5889541810452418,-0.0503959436848708,0.0,-0.5808375957720793,0.0,-0.0010257418624494,-0.0286321982062297,0.0,-0.2016985619037456
WL,-0.1897051773269661,-0.0005625217952183,-0.3236572905600503,-8.507620905968418e-05,-2.2959346970839243,-0.0832471350863844,-0.226619256849252,-0.0331152222927531,-0.0002600071594559,0.0,-0.0004578285772423,-0.0004068326025567,-0.0199842934989606,0.0,-0.03244967561158
FR,-0.1884397934270673,-0.0002106051534041,-0.967468915298808,0.0,-0.2390027764329551,-0.0499809404730748,-0.4920898729519739,-0.0118118983325525,0.0,-0.821566322616221,-0.0001177051589727,-5.45092383036546e-05,-0.0152598634609859,0.0,-0.0039946772190048
JP,-0.084072599811847,0.0,-0.3136597877302699,0.0,-1.3789643057532828,-0.3686665240475169,-0.4995794921642636,-0.0276435288594843,0.0,-7.607997279399419e-07,0.0,-0.001924452322498,-0.0663582977254894,-0.0001599992448394,-0.0320174183561235
KR,-0.1275209734902558,0.0,-0.4212429377495565,-2.081287546415713e-06,-1.1323002847532693,-0.3519162126334376,-0.2468321579563252,-0.2619886897553538,-2.58549441777318e-05,-1.945550209408607e-06,-0.0208846192741648,-0.0003178301877404,-0.0300302061532172,-0.000550176467848,-0.060950867452645
