Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-7.439,-0.063,-4.607,-0.097,-11.242,-34.322,-7.893,-1.821,-0.007,-40.626,-0.009,-1.277,-0.945,-0.024,-1.868
DK,-12.888,-0.013,-24.093,-0.001,-2.282,-10.675,-14.607,-0.49,-0.001,-9.847,-0.002,-0.0,-0.862,-0.001,-0.422
NO,-5.738,-0.0,-5.872,-0.0,-0.709,-3.433,-5.263,-0.117,-0.0,-3.141,-0.001,-0.063,-1.818,-0.0,-0.458
DE,-3.083,-0.0,-5.037,-0.0,-0.95,-2.162,-2.558,-0.264,-0.001,-8.889,-0.001,-0.0,-0.273,-0.0,-0.071
US,-0.768,-0.0,-1.051,-0.011,-0.262,-1.178,-5.053,-0.042,-0.0,-4.538,0.0,-0.0,-0.036,-0.01,-0.092
SE,-0.597,0.0,-3.173,-0.005,-0.335,-1.582,-1.893,-0.047,-0.001,-1.6,-0.0,-0.0,-0.036,-0.0,-0.004
GB,-0.378,0.0,-0.606,-0.0,-0.192,-1.213,-1.063,-0.298,-0.0,-0.427,-0.0,-0.0,-0.136,-0.0,-0.059
WA,-0.141,-0.029,-0.791,-0.019,-0.209,-0.928,-0.962,-0.145,-0.004,-0.435,-0.005,-0.066,-0.124,-0.005,-0.076
JP,-0.149,0.0,-0.213,0.0,-0.239,-0.328,-0.523,-0.83,0.0,-1.384,0.0,-0.0,-0.1,-0.0,-0.037
PL,-0.245,-0.0,-0.392,-0.003,-0.136,-0.766,-1.018,-0.046,-0.0,-0.538,-0.0,-0.0,-0.001,-0.0,-0.021
NL,-0.248,0.0,-0.064,0.0,-0.121,-0.373,-1.624,-0.059,0.0,-0.415,0.0,-0.0,-0.007,0.0,-0.004
TR,-0.025,-0.0,-1.762,-0.001,-0.02,-0.076,-0.829,-0.003,-0.0,-0.054,-0.0,-0.009,-0.006,-0.001,-0.027
IT,-0.265,-0.0,-0.522,-0.0,-0.143,-0.181,-0.086,-0.075,-0.0,-0.889,-0.0,-0.0,-0.004,-0.0,-0.153
IN,-0.038,-0.0,-0.798,-0.001,-0.081,-0.146,-0.494,-0.03,-0.0,-0.606,0.0,-0.001,-0.002,-0.0,-0.026
FR,-0.195,-0.0,-0.491,0.0,-0.109,-0.671,-0.382,-0.015,0.0,-0.29,0.0,-0.0,-0.013,0.0,-0.003
BE,-0.252,-0.0,-0.849,-0.0,-0.157,-0.141,-0.361,-0.059,-0.0,-0.198,-0.0,-0.005,-0.009,-0.0,-0.088
WM,-0.061,-0.002,-0.48,-0.015,-0.039,-0.467,-0.601,-0.01,-0.003,-0.297,-0.0,-0.017,-0.028,-0.011,-0.04
WL,-0.043,-0.01,-0.184,-0.024,-1.116,-0.242,-0.215,-0.027,-0.002,-0.1,-0.001,-0.008,-0.022,-0.003,-0.025
CA,-0.205,-0.0,-0.354,-0.002,-0.023,-0.226,-0.531,-0.267,-0.0,-0.248,-0.0,-0.0,-0.077,-0.0,-0.007
FI,-0.037,-0.0,-0.429,-0.001,-0.058,-0.411,-0.19,-0.07,-0.0,-0.363,-0.0,-0.0,-0.353,-0.0,-0.008
