Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.005,0.004,0.002,0.001,0.002,0.0,0.004,0.007,0.003
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.016,0.008,0.012,0.002,0.022,0.002,0.007,0.003
BG,0.0,0.002,0.003,0.0,0.0,0.004,0.0,0.0,0.003,0.007,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.075,0.004,0.008,0.004
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.001,0.003,0.0,0.001,0.008,0.006,0.005
DE,0.0,0.0,0.025,0.024,0.0,0.0,0.092,0.092,0.05,0.052,0.051,0.018,0.034,0.051,0.115
DK,0.074,0.004,0.017,0.099,0.0,0.016,0.385,0.441,0.12,0.096,0.161,0.107,0.166,0.293,0.128
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0
ES,0.0,0.037,0.0,0.011,0.001,0.0,0.003,0.005,0.003,0.01,0.002,0.002,0.005,0.001,0.001
FI,0.0,0.007,0.003,0.004,0.0,0.001,0.001,0.008,0.003,0.014,0.066,0.002,0.006,0.004,0.005
FR,0.0,,,,0.0,,0.006,0.009,0.006,0.003,0.002,0.001,0.01,0.008,0.004
GB,,0.0,0.001,0.004,0.0,0.0,0.011,0.011,0.01,0.058,0.026,0.015,0.019,0.021,0.006
GR,0.002,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.0,0.0,0.0,0.0,0.006,0.005,0.002
IE,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.008,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.007,0.015,0.001,0.039,0.003,0.002,0.012
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
LU,,,,,,,0.0,0.005,0.002,0.011,0.001,0.002,0.0,0.003,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.007,0.001,0.006,0.012,0.001,0.001,0.006,0.033,0.005
NO,0.0,0.002,0.001,0.039,0.04,0.001,0.171,0.107,0.037,0.023,0.34,0.117,0.053,0.106,0.041
PL,0.0,0.012,0.012,0.0,0.0,0.001,0.007,0.007,0.007,0.009,0.0,0.005,0.012,0.02,0.007
PT,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.002,0.001,0.001
RO,,0.017,0.002,0.0,0.0,0.005,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.002,0.001
