Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
LV,-0.6973240029517271,0.0,-2.3663483347623515,0.0,-2.6946308553460594,-1.0243614468623892,-4.037745649082054,-0.0244596182749202,0.0,-8.915410261714007,0.0,0.0,-0.0389699544402872,0.0,-0.0035202943538068
FI,-0.3974248031377639,0.0,-5.813989214699302,-0.0108756023543624,-1.9298942721875396,0.0,-0.5055405854502049,-0.070185522044343,-0.011646615374962,-2.941309218345801,-1.2116290077156986,-0.0043185047239213,-3.0272591852645943,-0.1609541838807658,-0.0443388396077632
CN,-1.58483474970127,-0.0001819314235599,-3.1154502255056333,-0.0022594261812577,-1.4082527310835662,-1.828956034771824,-2.365071365079316,-2.2731031776434167,-0.0019093490085399,-0.0003516969533607,-0.0021417345213421,-0.0034685870350392,-0.7632262747583307,-0.0066373578093892,-0.1979094434545644
US,-0.1733549867178745,-6.349359458452114e-05,-1.008153798337751,-0.0002912571063537,-0.2862219835542752,-1.0047529803769928,-2.1473327460392118,-0.0178852953140669,-0.0013845510725872,-3.2566285648718423,0.0,-4.755846316201453e-06,-0.0973311717730808,-5.305015902965635e-05,-0.1014278106931909
DE,-0.1666950767877912,0.0,-1.1383163130384382,0.0,-1.0761467927116284,-0.0836966807197319,-1.3594674150207786,-0.0852478769077208,-0.0003271512043215,-3.3827071093607475,0.0,-0.0009514906475288,-0.1247339052250845,0.0,-0.0433842310412907
PL,-0.1818664568559977,0.0,-0.6413110198284453,-0.0044881647018116,-1.114131848724485,-0.0263957635263522,-1.0194016778930393,-0.0426707709247766,-0.0001419794814146,-1.2710784862142022,-0.0045906267656483,-0.0009418422736315,-0.0010396008071939,-0.0001469661008628,-0.1513861050439
WE,-0.1545160155972098,-0.0015138438881897,-1.5311393369777064,-0.1204566064500139,-1.1034878128323875,-0.2585715650262745,-0.5278713721808078,-0.0835967615223391,-0.005761843226474,0.0,-0.0019915742753805,-0.0061067721275894,-0.1861766147128443,-0.0043239009580657,-0.1253753482448068
WA,-0.1889038458106698,-0.00043304777104,-1.4859692574814136,-0.0015577045712151,-0.8327326405963595,-0.2407016685101146,-0.860855827135593,-0.1109804815402112,-0.0021030560143103,0.0,-0.0016782417463585,-0.0018692526551936,-0.1229609335863616,-0.0003744847860917,-0.171583613895844
RU,-0.0995851213919787,-0.000115643872061,-0.451991334516117,-0.0002646073418205,-0.4413349985425835,-1.8569643628732668,-0.0665310537737342,-0.0246075181852087,-0.0001454673673308,0.0,-0.0035513013226719,-0.0001227039749001,-0.1134307867982159,-0.0014303339887923,-0.059775754016245
WL,-0.0434800321985075,-0.0001264584028237,-0.171524145659014,-5.623269012689123e-05,-2.391469233440888,-0.0422614532644793,-0.1075054570657382,-0.0247755603224623,-9.532257840963176e-05,0.0,-0.0003570475591521,-9.146081701360878e-05,-0.011477901502402,0.0,-0.0195541881389823
SE,-0.0713714302856743,0.0,-0.7001509463427349,-0.0027468689300887,-0.1527173172121415,-0.0032472476291954,-0.5439647525327239,-0.0280893716103833,-0.0008389796189256,-1.240461302352861,-0.0001010896832959,-0.0007164728012208,-0.018033697549227,-0.0008127981814016,-0.004939148297555
JP,-0.0503323881693274,0.0,-0.225425119044849,0.0,-1.35255945383472,-0.2554713908170858,-0.3084197330225194,-0.0419948310498785,0.0,-1.5470448725334922e-07,0.0,-0.00090137240132,-0.0740818961160648,-0.0001304148467191,-0.0257203416208579
KR,-0.0422187872949085,0.0,-0.3041939931787977,-2.6953998097001e-06,-1.0569879023701827,-0.2307082478879228,-0.1495272574405173,-0.2529430384944158,-2.566903228159069e-05,-1.7112407166447078e-07,-0.0429325006089728,-0.0006424041292186,-0.0764063117251473,-0.0011825006051182,-0.020912726003742
NL,-0.0468326794746105,0.0,-0.1873119024547797,0.0,-0.1157908705509251,0.0,-0.6598151615313135,-0.0416762414407691,0.0,-0.521170680676154,0.0,-0.000328302373236,-0.0222779919971487,0.0,-0.0074324243848542
CA,-0.199662077748565,0.0,-0.5000075282569881,-4.501359572330384e-08,-0.1541233386599696,-0.0486671387548389,-0.2211753585449504,-0.196788883059668,-7.697141303386302e-06,0.0,-1.4376119689012058e-08,-7.629472034834662e-05,-0.1376186844164173,-0.0002168492044761,-0.003169594904236
GB,-0.0758530469188221,0.0,-0.2350194100660696,0.0,-0.1813585161536843,-0.0245186683688566,-0.414798891756737,-0.0623963603896999,-0.0001866908880464,-0.0069381752772094,0.0,-0.0029103768467449,-0.1230907870533246,-5.959521149855742e-07,-0.0480586368910356
IT,-0.0555527940453537,-0.0003449285339642,-0.3277111085445751,0.0,-0.2124497317950388,-0.0201380814407347,-0.0841168431197745,-0.0076595633602041,-1.4354652425196438e-07,-0.3761775854307063,0.0,-0.0005582265742486,-0.0047565718303755,-9.821101894156269e-08,-0.0335764119827575
IN,-0.0524095152878572,-2.676709774056263e-05,-0.59194508188701,-3.3417586552306013e-06,-0.1159151199147158,-0.1471188213688099,-0.1606213928234902,-0.0080835927290894,-1.2937247899708977e-05,0.0,0.0,-3.320460611297625e-05,-0.0016875581181423,-1.5831135199880427e-05,-0.0053927607067857
TR,-0.0441933023717552,-0.0011088412922212,-0.4713024694547945,-0.0020610909245417,-0.0972070786780298,-0.0037674192020939,-0.2610687557896998,-0.0016500748666353,-0.0012561108745992,-0.0002698716539197,-0.0045749537475267,-0.0009946889947467,-0.0041556927009172,-0.0075783846515613,-0.0719104506692282
CH,-0.0052405107530498,0.0,-0.011822837709299,0.0,-0.0015899910703107,-0.0015041835214234,-0.2283701463628746,-0.0007773499468921,0.0,0.0,0.0,0.0,-0.0009721587121875,0.0,-0.7148863625324436
WM,-0.0821684935848005,0.0,-0.150470468377137,-7.882364021305202e-05,-0.2909647225839971,-0.0368111576903141,-0.2340852275624226,-0.0294252428274021,0.0,0.0,0.0,0.0,-0.0634750025358916,0.0,-0.0325520910583709
MX,-0.0186414280904632,0.0,-0.0866672590366597,0.0,-0.0727888227713315,-0.1048837280028371,-0.5060650038142251,-0.011894237881273,0.0,0.0,0.0,0.0,-0.002125245703785,0.0,-0.0576410158303589
BE,-0.0501291548755302,0.0,-0.1466744043619485,0.0,-0.2223725998873136,-0.0188383780989619,-0.1321264661097936,-0.0491263724379383,0.0,-0.1475758383182694,0.0,-0.0001507144621089,-0.0108583175018547,0.0,-0.068926481983746
CZ,-0.0243372476939227,-3.6325749792668e-05,-0.1222821299998539,0.0,-0.0332720702787614,-0.0003305621277124,-0.2111792586553938,-0.0207902931720475,-1.325406433166179e-05,-0.3860202526850918,-1.4777110537422688e-05,-5.338006157085206e-05,-0.0025861993279785,0.0,-0.002347480092876
AT,-0.0518143859560397,0.0,-0.1596167143025738,0.0,-0.0284640275032572,0.0,-0.2140231593981507,-0.0038191818591026,0.0,-0.3073333786940628,0.0,-0.0015144831851231,-0.0294807070271913,0.0,-0.0017064355463189
FR,-0.0492481701895216,-0.0001224973231317,-0.2162527068308635,0.0,-0.0839563915086984,-0.0120880023841385,-0.0970956013990237,-0.002917379352663,0.0,-0.1957989622603354,-5.013986850538659e-05,-3.215763672654147e-05,-0.0095249402742464,0.0,-0.0016614428338907
BG,-0.022116965520244,0.0,-0.0047403910130692,-0.0106173863518806,-0.5760770202105777,0.0,-0.0361913736440628,-0.0043006427333752,-0.0001650157865305,0.0,0.0,-2.0030657044662357e-05,-0.00094806685673,-0.0032070887435085,-5.018138446410358e-05
LT,-0.0122169904066319,0.0,-0.0026427835895786,-6.0053354925005085e-09,-0.304530744099547,-0.0040965227468249,-0.2566045129973667,-0.010426497822241,0.0,-0.0575803497232403,0.0,0.0,-0.0005640054726083,-8.747531590407399e-10,-0.0001161025078501
WF,-0.0165156066430646,-0.0005485173399068,-0.0683304470688653,-0.0017769807403977,-0.1623260247675872,-0.0108263667435066,-0.0033848815208537,-0.042876769071539,-0.0071073712891171,0.0,-0.0049799189442143,-0.0016203795389478,-0.1979410270356908,0.0,-0.0206902471698996
EE,-0.018048259592668,0.0,-0.0552913626050499,0.0,-0.0141961177581782,0.0,-0.1455481799197613,-0.0024817107138918,0.0,-0.2328979613095751,0.0,0.0,-0.057183684509817,0.0,-0.0008598421661257
DK,-0.0326027943788886,0.0,-0.0587652505885152,0.0,-0.0043198691072126,0.0,-0.3575270489600586,-0.000802728236371,0.0,-0.0010883089984304,-4.072927286245493e-07,0.0,-0.0018051888162393,0.0,-0.0015242277435376
ES,-0.0270513333637878,0.0,-0.1097255053370692,-0.0297776253746594,-0.0841935728574484,-0.0517546573281359,-0.0405685382030063,-0.0029504397332635,-0.0005032064270814,-0.0322288606516029,-5.895335425905053e-05,-0.0001983904487707,-0.0026291709458875,-0.0006430633319789,-0.0021079597914968
ID,-0.0071581812834041,-3.1993605578825435e-08,-0.173485184590965,-5.09068367984213e-07,-0.0712747835855526,-0.0132219059902587,-0.0307445444698439,-0.016906397800459,-5.544595359059647e-06,0.0,-1.205052184323895e-06,-1.3930022527586578e-08,-0.0195375238630858,-2.9318464970782245e-08,-0.0009220819176809
NO,-0.0250379811342669,0.0,-0.0161331478551375,0.0,-0.0135093374966843,-0.0006227356486238,-0.0437980339240447,-0.0019946214275418,0.0,-0.1155054311025871,-5.343923592583655e-10,-6.896898993065482e-06,-0.1108153130437254,0.0,-0.00384521831858
BR,-0.0072006871717033,-7.562876756459903e-06,-0.1637263919159783,-9.221218580372693e-06,-0.0218629760702584,-0.0742957437023459,-0.0121066777404726,-0.0015027080320642,-1.714040844080765e-05,0.0,-5.1165693426034457e-05,-7.438651831555293e-06,-0.0023091192915273,-5.094023638214636e-05,-0.0009898684058987
SK,-0.0050618422878308,0.0,-0.0211823058785359,-6.399943186412707e-06,-0.0041152242207609,0.0,-0.0674790141901805,-0.0031112716160868,-3.491661101544033e-07,-0.1723901789121645,0.0,0.0,-0.0003743003652059,-0.0007978201683171,-0.0002339784785581
RO,-0.0083590026074927,0.0,-0.0845714220220643,-3.04923792562972e-06,-0.0071165198589765,0.0,-0.0542354195294467,-0.000163472101611,-1.1611909165488595e-07,-0.1167249697352701,0.0,-1.3502347711728588e-08,-0.0004040673850191,-3.364407483002319e-05,-0.0001448645882613
LU,-0.0057898799185325,0.0,-0.025728955671204,0.0,-0.1453098725514759,-7.576095059051858e-05,-0.0171807586646961,-0.0021243187474018,0.0,-0.0323048532598503,0.0,0.0,-0.0020371907794492,0.0,-0.027888502631479
AU,-0.0073901872634568,-0.0006283088844529,-0.0383542037002512,-0.0001960856635168,-0.0349991469029136,-0.0171949171047585,-0.0054069750427508,-0.016964577543239,-0.0001283523599689,0.0,-0.0028006936883429,-2.2417517491299563e-05,-0.0480714777119922,-0.0020921012451869,-0.0570858339084257
PT,-0.0012238057464485,0.0,-0.027206365072768,-0.0001797003257548,-0.020625243318463,-0.012082686899659,-0.032745175912968,-0.0014954043598592,-1.6057157077117236e-05,-0.0197774229632866,0.0,-2.567164203925485e-05,-9.216396484308986e-05,-1.972297783419069e-05,-0.0001424290389437
GR,-0.0229885335643545,-4.51627439082294e-05,-0.0341001777754099,0.0,-0.0118981355704252,-0.0168397966066368,-0.0145989634272854,-0.0001428955897494,-2.6237318305889984e-05,0.0,-0.0139637038831989,-1.8435821762151247e-06,-1.4422371885654665e-05,-1.2298882515185302e-05,-5.065566360011614e-05
SI,-0.0137310356486795,0.0,-0.0258182924026456,0.0,-0.0011516337589519,0.0,-0.0409623914046283,-0.0002843462324676,0.0,-0.0246400618940933,0.0,0.0,-0.0003849661660353,0.0,-3.021113531352288e-05
ZA,-0.0056842327903091,0.0,-0.0132715938248646,-9.043204470381712e-06,-0.0098367902884311,-0.0073660818676304,-0.0183114839661068,-0.0002533986755288,-2.225578656444519e-06,0.0,-4.743293446206416e-05,-4.398378533573272e-05,-0.0045951891440338,-3.14254689142179e-05,-0.0230905377539254
TW,-0.0099645382369421,-0.0007661039851085,-0.0170196872175328,-0.0006583184156041,-0.0021625442832663,-0.0042320549745884,-0.0233954261032114,-0.0035590834593882,-0.0008121617966179,0.0,0.0,-4.626018449623449e-05,-4.295995443078896e-05,-0.0016396142059094,-3.016559939541113e-05
HR,-0.0045587456933196,-2.6326408878316184e-06,-0.0021408318081122,0.0,-0.0006364584003019,0.0,-0.0056116388604772,-1.3796311227393085e-05,-1.5872002505592095e-10,-0.0338481974963326,-1.5238380069045098e-07,0.0,-0.0002052967954005,0.0,-6.588791020559054e-06
