Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
EE,-6.866,-0.0,-7.285,-0.0,-3.366,-27.778,-27.129,-1.113,-0.0,-13.972,-0.0,0.0,-4.567,-0.0,-0.249
CN,-3.491,-0.04,-2.946,-0.064,-11.562,-26.322,-5.382,-1.523,-0.006,-25.802,-0.006,-0.881,-0.752,-0.017,-1.302
DE,-0.913,-0.0,-1.418,-0.0,-0.46,-1.359,-1.254,-0.647,-0.001,-5.896,-0.0,-0.0,-0.13,-0.0,-0.099
US,-0.304,-0.0,-0.748,-0.01,-0.165,-1.136,-4.141,-0.049,-0.0,-4.442,0.0,-0.0,-0.026,-0.007,-0.048
FI,-0.128,-0.0,-1.925,-0.004,-0.152,-3.145,-0.937,-0.038,-0.0,-2.69,-0.0,-0.0,-0.51,-0.0,-0.014
TR,-0.167,-0.001,-4.409,-0.001,-0.029,-0.126,-2.255,-0.004,-0.0,-0.153,-0.0,-0.012,-0.01,-0.002,-0.167
SE,-0.254,0.0,-1.151,-0.001,-0.108,-1.222,-1.09,-0.02,-0.0,-1.409,-0.0,-0.0,-0.016,-0.0,-0.009
WA,-0.172,-0.023,-0.813,-0.021,-0.137,-1.065,-1.113,-0.091,-0.004,-0.592,-0.004,-0.068,-0.106,-0.006,-0.058
PL,-0.138,-0.0,-0.199,-0.003,-0.298,-0.743,-0.834,-0.397,-0.0,-0.453,-0.0,-0.0,-0.0,-0.0,-0.039
WM,-0.096,-0.003,-0.827,-0.038,-0.046,-0.568,-0.856,-0.017,-0.006,-0.396,-0.0,-0.034,-0.043,-0.028,-0.02
JP,-0.273,0.0,-0.29,0.0,-0.135,-0.251,-0.698,-0.043,0.0,-1.035,0.0,-0.0,-0.029,-0.0,-0.011
GB,-0.285,0.0,-0.186,-0.0,-0.121,-0.572,-0.541,-0.088,-0.0,-0.215,-0.0,-0.0,-0.029,-0.0,-0.031
NO,-0.335,-0.0,-0.183,-0.0,-0.025,-0.286,-0.415,-0.039,-0.0,-0.486,-0.0,-0.001,-0.26,-0.0,-0.022
IN,-0.04,-0.0,-0.668,-0.001,-0.059,-0.169,-0.459,-0.036,-0.0,-0.572,0.0,-0.001,-0.003,-0.0,-0.024
MX,-0.008,-0.0,-0.094,-0.004,-0.035,-1.384,-0.31,-0.017,-0.0,-0.109,-0.0,-0.001,-0.006,-0.001,-0.033
IT,-0.144,-0.0,-0.349,-0.0,-0.092,-0.154,-0.061,-0.059,-0.0,-0.704,-0.0,-0.0,-0.005,-0.0,-0.025
DK,-0.076,-0.0,-0.064,-0.0,-0.006,-0.614,-0.424,-0.001,-0.0,-0.338,-0.0,-0.0,-0.001,-0.0,-0.013
KR,-0.044,0.0,-0.128,-0.0,-0.095,-0.466,-0.244,-0.246,-0.0,-0.107,-0.0,-0.0,-0.013,-0.0,-0.011
WE,-0.097,-0.207,-0.326,-0.001,-0.095,-0.227,-0.093,-0.044,-0.002,-0.103,-0.005,-0.026,-0.073,-0.0,-0.005
WL,-0.036,-0.007,-0.137,-0.028,-0.571,-0.195,-0.176,-0.016,-0.002,-0.083,-0.001,-0.009,-0.012,-0.003,-0.014
CZ,-0.014,-0.0,-0.087,-0.0,-0.031,-0.456,-0.217,-0.11,-0.0,-0.265,-0.0,-0.0,-0.001,-0.0,-0.002
CA,-0.094,-0.0,-0.22,-0.001,-0.019,-0.19,-0.371,-0.014,-0.0,-0.184,-0.0,-0.0,-0.017,-0.0,-0.005
NL,-0.033,0.0,-0.042,0.0,-0.046,-0.107,-0.675,-0.024,0.0,-0.152,0.0,-0.0,-0.003,0.0,-0.002
FR,-0.081,-0.0,-0.185,0.0,-0.051,-0.344,-0.166,-0.013,0.0,-0.149,0.0,-0.0,-0.013,0.0,-0.002
BE,-0.039,-0.0,-0.196,-0.0,-0.076,-0.156,-0.228,-0.048,-0.0,-0.122,-0.0,-0.004,-0.013,-0.0,-0.021
RU,-0.029,-0.0,-0.438,-0.002,-0.083,-0.055,-0.119,-0.004,-0.005,-0.026,-0.001,-0.005,-0.051,-0.006,-0.026
AT,-0.041,0.0,-0.236,-0.0,-0.018,-0.138,-0.179,-0.007,-0.0,-0.133,0.0,-0.0,-0.007,-0.0,-0.001
CH,-0.003,0.0,-0.007,0.0,-0.001,-0.176,-0.218,-0.001,0.0,-0.182,-0.0,0.0,-0.001,0.0,-0.122
ES,-0.025,-0.0,-0.123,-0.003,-0.033,-0.136,-0.016,-0.309,-0.0,-0.037,-0.0,-0.0,-0.003,-0.0,-0.002
WF,-0.015,-0.02,-0.159,-0.007,-0.037,-0.086,-0.163,-0.01,-0.006,-0.049,-0.001,-0.062,-0.049,-0.002,-0.007
HU,-0.027,-0.0,-0.055,-0.0,-0.0,-0.275,-0.173,-0.002,-0.0,-0.136,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.001,0.0,-0.006,-0.0,-0.09,-0.162,-0.297,-0.0,-0.0,-0.094,-0.0,0.0,-0.0,0.0,-0.0
TW,-0.007,-0.0,-0.011,-0.0,-0.018,-0.403,-0.118,-0.004,-0.0,-0.053,0.0,-0.0,-0.023,-0.0,-0.003
LV,-0.123,-0.0,-0.126,-0.0,-0.058,-0.173,-0.087,-0.003,-0.0,-0.031,-0.0,0.0,-0.007,-0.0,-0.0
LU,-0.008,0.0,-0.162,0.0,-0.023,-0.022,-0.109,-0.04,0.0,-0.048,0.0,0.0,-0.003,0.0,-0.006
SK,-0.032,-0.0,-0.016,-0.0,-0.009,-0.096,-0.096,-0.009,-0.0,-0.137,-0.0,-0.0,-0.0,-0.0,-0.001
RO,-0.004,0.0,-0.038,-0.004,-0.01,-0.092,-0.126,-0.004,-0.0,-0.087,-0.0,-0.0,-0.001,-0.0,-0.0
ID,-0.004,-0.004,-0.127,-0.001,-0.034,-0.043,-0.049,-0.003,-0.0,-0.013,-0.001,-0.0,-0.017,-0.0,-0.001
GR,-0.016,-0.001,-0.099,0.0,-0.012,-0.019,-0.092,-0.0,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
AU,-0.014,-0.019,-0.039,-0.004,-0.009,-0.026,-0.03,-0.016,-0.002,-0.02,-0.001,-0.026,-0.018,-0.003,-0.018
BG,-0.003,-0.0,-0.007,-0.0,-0.109,-0.027,-0.026,-0.026,-0.0,-0.033,-0.0,-0.0,-0.0,-0.0,-0.0
IE,-0.005,0.0,-0.002,0.0,-0.0,-0.087,-0.074,-0.0,-0.0,-0.058,-0.0,0.0,-0.004,-0.0,-0.0
PT,-0.003,-0.0,-0.022,-0.0,-0.003,-0.045,-0.043,-0.009,-0.0,-0.031,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.009,0.0,-0.017,-0.0,-0.001,-0.038,-0.045,-0.001,-0.0,-0.03,-0.0,0.0,-0.0,-0.0,-0.0
BR,-0.005,-0.001,-0.035,-0.002,-0.01,-0.029,-0.01,-0.002,-0.001,-0.023,-0.0,-0.009,-0.002,-0.0,-0.003
ZA,-0.002,0.0,-0.008,-0.0,-0.004,-0.007,-0.009,-0.001,-0.0,-0.009,-0.0,-0.023,-0.003,-0.0,-0.007
HR,-0.002,-0.0,-0.003,-0.0,-0.001,-0.005,-0.009,-0.0,-0.0,-0.005,-0.0,-0.0,-0.0,-0.0,-0.0
