Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.003,0.009,0.001,0.001,0.001,0.0,0.002,0.003,0.002
BE,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.007,0.004,0.009,0.002,0.009,0.002,0.004,0.002
BG,0.0,0.002,0.003,0.0,0.0,0.004,0.0,0.0,0.006,0.005,0.0,0.0,0.0,0.001,0.001
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.05,0.002,0.004,0.003
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.021,0.0,0.001,0.006,0.004,0.004
DE,0.0,0.0,0.016,0.016,0.0,0.0,0.063,0.053,0.025,0.126,0.019,0.041,0.019,0.024,0.096
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.0,0.0,0.0,0.005,0.009,0.008,0.005
EE,0.0,0.0,0.0,0.0,,0.0,0.473,0.274,0.183,0.216,0.669,0.103,0.39,0.52,0.227
ES,0.0,0.016,0.0,0.003,0.0,0.0,0.002,0.005,0.002,0.06,0.0,0.001,0.002,0.0,0.001
FI,0.0,0.02,0.013,0.021,0.0,0.003,0.009,0.072,0.008,0.007,0.075,0.006,0.044,0.018,0.044
FR,0.0,,,,0.0,,0.006,0.007,0.003,0.003,0.002,0.001,0.005,0.003,0.002
GB,,0.0,0.0,0.001,0.0,0.0,0.02,0.007,0.007,0.017,0.004,0.013,0.008,0.01,0.003
GR,0.002,,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.004,0.003,0.002
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.013,0.005,0.011,0.001,0.01,0.002,0.001,0.011
LT,,0.0,0.0,0.0,,,0.0,0.0,0.005,0.0,0.0,0.0,0.002,0.006,0.002
LU,,,,,,,0.001,0.006,0.001,0.008,0.0,0.002,0.0,0.002,0.001
LV,0.0,0.0,0.0,0.0,,0.0,0.008,0.005,0.003,0.001,0.001,0.0,0.002,0.002,0.001
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.002,0.002,0.003,0.005,0.0,0.001,0.002,0.013,0.002
NO,0.0,0.0,0.0,0.0,0.001,0.0,0.023,0.007,0.001,0.008,0.038,0.009,0.004,0.008,0.008
PL,0.0,0.014,0.01,0.001,0.0,0.001,0.01,0.007,0.016,0.077,0.0,0.016,0.01,0.016,0.007
PT,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.001,0.001,0.001
RO,,0.02,0.002,0.0,0.0,0.004,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.002,0.001
RU,0.001,0.011,0.133,0.043,0.004,0.078,0.002,0.016,0.005,0.001,0.007,0.011,0.001,0.002,0.0
SE,,0.007,0.009,0.006,0.0,0.002,0.018,0.043,0.006,0.004,0.002,0.004,0.017,0.021,0.023
SI,,0.0,0.0,0.0,,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.002,0.0,0.0,0.001,0.002,0.002
WE,0.635,0.005,0.057,0.24,0.022,0.005,0.007,0.012,0.005,0.009,0.011,0.002,0.003,0.002,0.002
BR,0.004,0.012,0.015,0.011,0.007,0.002,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0
CA,0.0,0.007,0.003,0.007,0.0,0.002,0.006,0.008,0.001,0.003,0.003,0.002,0.003,0.007,0.003
MX,0.0,0.021,0.005,0.0,0.0,0.008,0.001,0.004,0.002,0.003,0.001,0.013,0.019,0.006,0.002
US,0.0,0.048,0.01,,0.0,0.096,0.021,0.028,0.009,0.009,0.004,0.02,0.016,0.079,0.072
WL,0.022,0.139,0.055,0.034,0.007,0.036,0.002,0.005,0.031,0.003,0.002,0.006,0.003,0.003,0.001
CN,0.122,0.315,0.152,0.286,0.758,0.217,0.241,0.111,0.63,0.296,0.11,0.538,0.37,0.103,0.418
ID,0.012,0.005,0.001,0.037,0.0,0.003,0.0,0.005,0.002,0.001,0.002,0.001,0.001,0.001,0.0
IN,0.001,0.004,0.001,,0.001,0.006,0.003,0.025,0.003,0.007,0.0,0.01,0.002,0.009,0.009
JP,,,,,0.0,0.0,0.019,0.011,0.007,0.008,0.004,0.005,0.004,0.013,0.017
KR,,0.0,0.0,0.003,0.0,0.0,0.003,0.005,0.005,0.048,0.002,0.004,0.007,0.005,0.002
TR,0.002,0.007,0.011,0.0,0.01,0.03,0.012,0.166,0.002,0.001,0.001,0.069,0.002,0.043,0.002
TW,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.001,0.006,0.002,0.001
WA,0.07,0.105,0.119,0.203,0.058,0.072,0.012,0.031,0.007,0.018,0.016,0.024,0.015,0.021,0.01
WM,0.01,0.189,0.165,0.009,0.029,0.365,0.007,0.031,0.003,0.003,0.006,0.008,0.008,0.016,0.006
WF,0.062,0.033,0.165,0.052,0.053,0.025,0.001,0.006,0.002,0.002,0.007,0.003,0.001,0.003,0.001
ZA,,0.001,0.001,0.001,0.02,0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
AU,0.059,0.017,0.05,0.024,0.023,0.038,0.001,0.001,0.0,0.003,0.003,0.007,0.0,0.001,0.0
