Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
ES,-21.83209681690165,0.0,-39.74771366103454,-3.11837877120025,-7.023250206702604,-11.373718646166418,-7.140292606444826,-0.663705326008806,-0.1323230409000887,-6.378383875217118,-0.0080018695966175,-0.0270552708125695,-0.2963605145097437,-0.1704246128549884,-0.1265778496758448
CN,-2.453909582583129,-0.0002327695425752,-3.8997877692003526,-0.0033537940745743,-6.499661571713497,-3.5957854017374813,-3.67198782883085,-5.380912246768084,-0.0006641868442938,-0.0004661550816236,-0.0008721367090295,-0.0033639499307101,-0.3631217207973127,-0.0037485194936006,-0.5055052448579243
US,-0.683333698577061,-0.0001257601393626,-2.327434447094334,-0.0005710526462977,-0.3986655503594281,-1.8153826866724452,-5.036636161527105,-0.0188120247084209,-0.0026877798999552,-5.885880623380609,0.0,-9.283087763859943e-06,-0.1190910748290312,-9.590267902236956e-05,-0.1386105933411785
FR,-1.9621402486077648,-0.0014900406189829,-7.132761214013439,0.0,-1.035198872618036,-0.1873894908653857,-1.7303829301599394,-0.0307114296348148,0.0,-2.8883121331467767,-0.0008393336113621,-0.0004054837902576,-0.0925714193875047,0.0,-0.0326689367437333
DE,-0.6024382226832062,0.0,-1.954505430225988,0.0,-0.8670425158749576,-0.0444432951916731,-2.3636282088144487,-0.0924300710681087,-0.0003168507341898,-5.903892219832149,0.0,-0.0011859062950177,-0.0582517306693438,0.0,-0.0241373525924134
PT,-0.3542281358599015,0.0,-2.905409869538573,-0.0096426250950554,-1.9639114816555352,-0.7107419016641958,-2.7219153970368755,-0.0853039966350107,-0.0007361195010154,-1.89759176482084,0.0,-0.0012186245087282,-0.0112518435582553,-0.0006370017312883,-0.0160154418780939
WA,-0.8728128271704138,-0.0020804938039807,-2.4550102664586704,-0.0010401718682278,-1.6940305000860263,-0.3116281290123688,-1.6127053547899572,-0.1019694661504918,-0.0019794808108352,0.0,-0.001858059752589,-0.0022352469948199,-0.0502600548271981,-0.0004535442126946,-0.1893759199980972
WL,-0.4999809069748444,-0.0014858113276773,-1.0501177896955427,-0.0001246728809653,-3.7974682706971303,-0.2242409910043594,-0.710267793140787,-0.059775652203172,-0.0006382784080282,0.0,-0.0010036040325595,-0.0010745793682094,-0.0365249744556553,0.0,-0.0566163841444741
GB,-0.1134186747996899,0.0,-1.2756632698333643,0.0,-0.3326202596316814,-0.0125103781757773,-2.0548188188756606,-0.0692334111128135,-0.0001608683917863,-0.0066963769399868,0.0,-0.0025078635444638,-0.1112731184016709,-8.383514376713638e-07,-0.0342385019209533
IT,-0.3674319202996158,-0.0011699244829044,-1.3412533811908378,0.0,-0.4162129780283175,-0.035285538087903,-0.3501376573078525,-0.0356597799443434,-8.934105732783889e-08,-1.0879932567411954,0.0,-0.0006261740801733,-0.0065214625840125,-9.667224418910756e-08,-0.1182293374131303
WM,-0.3784693208563275,0.0,-0.3322388947315773,-0.0003848064535208,-1.6705586985684422,-0.1147028724110583,-0.844560846851728,-0.0929153349021814,0.0,0.0,0.0,0.0,-0.0851109472408831,0.0,-0.0249981621507674
