Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.743,-0.06,-3.889,-0.129,-50.443,-37.118,-7.066,-3.177,-0.012,-34.929,-0.013,-2.153,-0.879,-0.039,-2.188
ES,-17.6,-0.0,-29.798,-1.914,-18.45,-36.498,-2.835,-6.921,-0.0,-3.99,-0.043,-0.213,-1.459,-0.0,-0.455
US,-0.792,-0.0,-1.532,-0.021,-0.45,-1.51,-5.896,-0.036,-0.001,-5.878,0.0,-0.0,-0.067,-0.027,-0.077
DE,-1.36,-0.0,-2.326,-0.0,-0.9,-1.965,-1.412,-0.11,-0.001,-6.113,-0.0,-0.0,-0.064,-0.0,-0.022
FR,-0.51,-0.0,-0.985,0.0,-0.445,-1.91,-1.076,-0.019,0.0,-0.795,0.0,-0.0,-0.014,0.0,-0.011
WA,-0.133,-0.024,-1.42,-0.02,-0.502,-1.335,-1.358,-0.177,-0.004,-0.514,-0.004,-0.068,-0.093,-0.005,-0.055
IT,-0.359,-0.0,-1.124,-0.0,-1.016,-0.435,-0.184,-0.158,-0.0,-1.622,-0.0,-0.0,-0.007,-0.0,-0.064
GB,-0.421,0.0,-1.119,-0.0,-0.46,-1.199,-1.047,-0.087,-0.0,-0.416,-0.0,-0.0,-0.049,-0.0,-0.081
WM,-0.119,-0.003,-0.804,-0.022,-0.505,-1.386,-1.242,-0.056,-0.005,-0.59,-0.0,-0.029,-0.047,-0.02,-0.014
WF,-0.083,-0.058,-0.605,-0.012,-1.891,-0.521,-0.809,-0.025,-0.014,-0.23,-0.002,-0.15,-0.147,-0.004,-0.024
WL,-0.133,-0.015,-0.316,-0.044,-2.064,-0.735,-0.55,-0.032,-0.004,-0.262,-0.001,-0.014,-0.026,-0.005,-0.03
MX,-0.021,-0.0,-0.187,-0.007,-0.126,-2.556,-0.834,-0.102,-0.0,-0.22,-0.0,-0.001,-0.015,-0.001,-0.07
PT,-0.136,-0.0,-0.367,-0.0,-0.334,-1.501,-0.601,-0.024,-0.001,-0.618,-0.0,-0.001,-0.001,-0.0,-0.0
KR,-0.237,0.0,-0.185,-0.0,-0.779,-0.717,-0.358,-0.22,-0.0,-0.108,-0.0,-0.0,-0.095,-0.0,-0.01
JP,-0.245,0.0,-0.112,0.0,-0.233,-0.302,-0.377,-0.033,0.0,-0.895,0.0,-0.0,-0.026,-0.0,-0.008
CA,-0.195,-0.0,-0.458,-0.002,-0.044,-0.311,-0.658,-0.014,-0.0,-0.237,-0.0,-0.0,-0.025,-0.0,-0.006
BE,-0.137,-0.0,-0.348,-0.0,-0.526,-0.147,-0.325,-0.048,-0.0,-0.162,-0.0,-0.012,-0.008,-0.0,-0.024
IN,-0.034,-0.0,-0.519,-0.0,-0.068,-0.141,-0.378,-0.022,-0.0,-0.502,0.0,-0.001,-0.001,-0.0,-0.02
TR,-0.059,-0.0,-0.78,-0.001,-0.213,-0.106,-0.384,-0.009,-0.0,-0.029,-0.0,-0.009,-0.004,-0.001,-0.017
PL,-0.054,-0.0,-0.122,-0.001,-0.126,-0.436,-0.349,-0.025,-0.0,-0.234,-0.0,-0.0,-0.0,-0.0,-0.007
NL,-0.072,0.0,-0.024,0.0,-0.109,-0.17,-0.579,-0.015,0.0,-0.177,0.0,-0.0,-0.003,0.0,-0.002
AT,-0.049,0.0,-0.462,-0.0,-0.032,-0.181,-0.197,-0.002,-0.0,-0.143,0.0,-0.0,-0.007,-0.0,-0.001
TW,-0.006,-0.0,-0.011,-0.0,-0.059,-0.588,-0.139,-0.011,-0.0,-0.04,0.0,-0.0,-0.008,-0.0,-0.003
CH,-0.004,0.0,-0.009,0.0,-0.006,-0.263,-0.253,-0.0,0.0,-0.2,-0.0,0.0,-0.001,0.0,-0.119
SE,-0.033,0.0,-0.244,-0.0,-0.026,-0.168,-0.144,-0.002,-0.0,-0.139,-0.0,-0.0,-0.003,-0.0,-0.0
CZ,-0.01,-0.0,-0.061,-0.0,-0.022,-0.33,-0.116,-0.006,-0.0,-0.151,-0.0,-0.0,-0.001,-0.0,-0.001
LU,-0.01,0.0,-0.179,0.0,-0.071,-0.013,-0.124,-0.033,0.0,-0.198,0.0,0.0,-0.003,0.0,-0.007
IE,-0.007,0.0,-0.004,0.0,-0.001,-0.162,-0.219,-0.001,-0.0,-0.133,-0.0,0.0,-0.007,-0.0,-0.0
NO,-0.195,-0.0,-0.044,-0.0,-0.012,-0.064,-0.06,-0.001,-0.0,-0.093,-0.0,-0.0,-0.052,-0.0,-0.005
HU,-0.009,-0.0,-0.055,-0.0,-0.001,-0.183,-0.111,-0.0,-0.0,-0.104,-0.0,-0.0,-0.0,-0.0,-0.0
DK,-0.019,-0.0,-0.027,-0.0,-0.007,-0.138,-0.12,-0.0,-0.0,-0.114,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.025,-0.0,-0.077,0.0,-0.101,-0.039,-0.101,-0.0,-0.0,-0.014,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.02,-0.002,-0.087,-0.005,-0.032,-0.081,-0.032,-0.006,-0.001,-0.061,-0.0,-0.017,-0.005,-0.0,-0.004
SK,-0.009,-0.0,-0.009,-0.0,-0.01,-0.117,-0.106,-0.001,-0.0,-0.097,-0.0,-0.0,-0.0,-0.0,-0.001
WE,-0.021,-0.008,-0.107,-0.0,-0.028,-0.097,-0.033,-0.002,-0.002,-0.036,-0.0,-0.01,-0.005,-0.0,-0.001
