Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.002,0.009,0.0,0.0,0.002,0.0,0.002,0.006,0.002
BE,0.0,0.0,0.0,0.0,0.004,0.0,0.005,0.007,0.007,0.004,0.003,0.007,0.002,0.011,0.003
BG,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.035,0.003,0.008,0.003
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.004,0.004,0.003
DE,0.0,0.0,0.012,0.004,0.0,0.0,0.049,0.048,0.011,0.01,0.02,0.007,0.021,0.047,0.101
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.004,0.002
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.001,0.875,0.0,0.645,0.078,0.0,0.63,0.611,0.23,0.607,0.455,0.136,0.389,0.093,0.066
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.007,0.0,0.001,0.001,0.001
FR,0.0,,,,0.0,,0.018,0.02,0.006,0.002,0.004,0.003,0.02,0.035,0.013
GB,,0.0,0.0,0.001,0.0,0.0,0.015,0.023,0.006,0.008,0.015,0.024,0.013,0.034,0.007
GR,0.002,,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.003,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.004,0.002
IE,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.007,0.002
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.023,0.013,0.014,0.002,0.019,0.005,0.006,0.027
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.004,0.001,0.003,0.001,0.002,0.0,0.004,0.003
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.003,0.0,0.001,0.001,0.001,0.0,0.002,0.019,0.003
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.001,0.0,0.0,0.016,0.002,0.001,0.002,0.002
PL,0.0,0.001,0.003,0.0,0.0,0.0,0.002,0.003,0.002,0.002,0.0,0.002,0.005,0.011,0.004
PT,0.0,0.0,0.016,0.0,0.0,0.0,0.005,0.008,0.004,0.002,0.0,0.0,0.016,0.02,0.01
RO,,0.001,0.001,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.003,0.001
RU,0.0,0.0,0.013,0.002,0.0,0.008,0.0,0.001,0.0,0.0,0.004,0.001,0.0,0.0,0.0
SE,,0.0,0.001,0.0,0.0,0.0,0.001,0.005,0.0,0.0,0.001,0.0,0.002,0.005,0.002
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002
