Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
FI,-9.326564850609383,0.0,-118.09168065852155,-0.1889860142969206,-27.624752322799203,0.0,-10.781616145945124,-1.2433582909714869,-0.1840082169115207,-57.30378607735985,-19.02215093535116,-0.0721180574440654,-51.83151503005006,-2.548345504047928,-0.6632780694445689
CN,-9.530188384826417,-0.0003941674226011,-18.000353700846137,-0.0052728004074831,-6.82506557366616,-8.526463839559932,-10.786027652909125,-22.486543295253195,-0.0016095866539713,-0.0006423626464537,-0.0019994422211697,-0.0059983747762781,-8.285643365361972,-0.0065914713030177,-1.37724669020772
DE,-0.4443127164135591,0.0,-6.101333720262377,0.0,-8.564373874226494,-0.0789064004067038,-6.07745647389492,-0.5853698993360364,-0.0018001868495226,-11.26220052997532,0.0,-0.0023112878514483,-0.5443592061368387,0.0,-0.094758679383443
US,-0.7634770653456547,-0.0001842331710202,-5.896141245985114,-0.0008470293993285,-1.6333583429284964,-3.1310232551260877,-9.96873688838572,-0.1664810284346963,-0.0039793341675027,-9.72406873979034,0.0,-1.3648113283758873e-05,-0.6813464665119021,-0.0001464837891929,-0.2852133924187792
JP,-0.5047660818250815,0.0,-1.045620403929955,0.0,-18.151008928016985,-2.2156322911121684,-1.8847674451340115,-0.5332455899221206,0.0,-5.4830790296552014e-08,0.0,-0.0011809179371327,-0.8050738447973561,-0.0001951416292788,-0.0686624861257425
SE,-0.4288188323696598,0.0,-6.488199739221389,-0.0157572449521386,-1.139483557700829,-0.0090126898009087,-4.338466597092167,-0.3459220340014065,-0.0049804089544221,-6.787874509410749,-0.000403933677315,-0.0015067871780769,-0.0953420367029022,-0.0053707458689324,-0.0378346119466231
WA,-1.0524249007457491,-0.0025038254289737,-5.9779186939640745,-0.0032497606144331,-6.2047887531885415,-0.6832337419977808,-3.717520019789487,-0.5299998859609322,-0.0022475117251469,0.0,-0.0086473505407775,-0.0080043555967793,-0.3698472513155927,-0.0005158289367451,-0.8785543555505354
KR,-0.1759873352538388,0.0,-1.3397324533341026,-1.4644409070080737e-06,-10.116833872669895,-1.4555804216280852,-0.418911028733118,-2.698776938037589,-1.556257531327024e-05,-8.493164249197118e-08,-0.0259332536006893,-0.0004238691988407,-0.9641583741572702,-0.0007082254837253,-0.0459053432731198
NL,-0.2538590454288671,0.0,-2.905798093756125,0.0,-0.7470562134754808,0.0,-7.17834772801201,-0.5198529801502665,0.0,-3.052072010127542,0.0,-0.000568680008415,-0.174416496955918,0.0,-0.0353802669771499
CA,-1.7070195599433826,0.0,-1.810298621848196,-1.202460746351439e-07,-1.007160973186269,-0.228502347093359,-1.152582612910242,-2.7793746147064557,-7.493552317568601e-06,0.0,-4.233995701555165e-08,-0.0011380586305745,-2.05081743023204,-0.0006421275858018,-0.0093571169850417
CH,-0.009590260251223,0.0,-0.0283875288330968,0.0,-0.0052394477178562,-0.0022484688144845,-1.1034067165674828,-0.0028066392450771,0.0,0.0,0.0,0.0,-0.0021514701928152,0.0,-8.169844963808298
IT,-0.1975791299181277,-0.0020288761964314,-2.5921729148395,0.0,-1.625334054624278,-0.034321411923827,-0.6134065686000418,-0.0472303637690512,-1.4608382163832505e-07,-1.392372634299368,0.0,-0.0007110909546927,-0.0125212110652457,-1.2528431085181517e-07,-0.0560037246437511
GB,-0.3025710344108996,0.0,-1.5793396418439078,0.0,-1.2290204500667192,-0.0153232401141539,-1.8978566861889676,-0.4142117367185969,-0.0002151016003093,-0.0231184939196518,0.0,-0.0033533323049818,-0.2673496385502705,-8.631779874459986e-07,-0.4713320108916075
PL,-0.1114104709495432,0.0,-0.8973369952450421,-0.0013777625895043,-2.1262545694378496,-0.0084398477491169,-1.3359174490903476,-0.1238892322419205,-0.0002029093958524,-1.1324439613534245,-0.0001714838613882,-7.795076362126575e-05,-0.0001663452912381,-5.211254585623477e-05,-0.097868599032375
WL,-0.1644918983055618,-0.0004838069100691,-0.6766550621832361,-0.0001419595987,-3.934742457878901,-0.1485102397341101,-0.4482158346471711,-0.0570176603513318,-0.0003693611644269,0.0,-0.000534955785974,-0.0003499081145624,-0.0324400787710504,0.0,-0.0488603600246453
MX,-0.0498312782795896,0.0,-0.3335491270486989,0.0,-0.3462731776404708,-0.3805977887465618,-3.5125868740109767,-0.0587669888938014,0.0,0.0,0.0,0.0,-0.0081882018843062,0.0,-0.1106021048770279
IN,-0.1816748899061737,-4.048481921319727e-05,-2.3266369857369176,-9.916554648973535e-06,-0.4816648928481714,-0.5364528288296134,-0.6612254060703285,-0.0218775179094642,-1.6730247138564273e-05,0.0,0.0,-0.0001097059312093,-0.004814657891872,-2.0845695821436004e-05,-0.02009641966066
BE,-0.2504267128116971,0.0,-0.4989923001918166,0.0,-1.1894392744198727,-0.0340802982306527,-0.4504897817038671,-0.6773991177749374,0.0,-0.4204575122696494,0.0,-0.0006145299190278,-0.0287213145041441,0.0,-0.177574915114922
WM,-0.2107882597427607,0.0,-0.4114668122358522,-0.0002329766476713,-1.5444243059890423,-0.108080878595916,-0.7683908992241858,-0.1240821661674742,0.0,0.0,0.0,0.0,-0.1745534075140842,0.0,-0.1527518718311001
FR,-0.3304778429895301,-0.0001057508990542,-0.8951970105914665,0.0,-0.6641402122083676,-0.0542147782138347,-0.6009044146249302,-0.0265844182114471,0.0,-0.6719242091959817,-9.16876806469976e-05,-2.6052943720895955e-05,-0.0948890602521645,0.0,-0.0029051623294294
RU,-0.0815541782965188,-2.8884903037007903e-05,-0.6753921695035354,-0.0001480090811552,-1.5855928610753784,-0.3244774512468771,-0.0535436903895048,-0.0048055167738911,-2.5638606882521637e-05,0.0,-0.0003223244504438,-6.863491555609331e-05,-0.062683697730166,-0.0002231604796031,-0.0302208412475143
TR,-0.0712998806736483,-0.0018666162856893,-0.937529894788587,-0.0022925594059606,-0.6070597981951861,-0.0047148546362099,-0.5624319198054862,-0.0036506122428235,-0.0019003304378642,-0.0003304034168449,-0.0048771626402473,-0.0017484754094346,-0.0068157926016441,-0.00922523411662,-0.0761108337293967
NO,-0.1714290814958347,0.0,-0.0747677384327759,0.0,-0.1189174180620448,-0.0019652898596774,-0.1189226685973209,-0.0197662276995138,0.0,-0.2687636042319848,-1.7660165284205467e-09,-1.702036080063433e-05,-1.379777137001335,0.0,-0.0087160204567135
ES,-0.1130079605222276,0.0,-0.7053251675527518,-0.097925073254905,-0.5188938113565359,-0.1373352289380512,-0.2632394331349139,-0.0080416388507664,-0.0015533271998128,-0.1395018687988303,-0.0001113688147759,-0.0007892661859677,-0.0069363362263505,-0.0020411115315799,-0.0018868504449757
WE,-0.0323933129482586,-0.0001497447574982,-0.7734264429032495,-0.0075707755663372,-0.5484469549094958,-0.0422692821306389,-0.1194867597810171,-0.0054679584107633,-0.0003326225553878,0.0,-0.0003401961255089,-0.0003404328168412,-0.0097023642808875,-0.0003083670609076,-0.0049554133983396
AT,-0.0799349779996454,0.0,-0.2394605711885937,0.0,-0.1405137618613436,0.0,-0.4535871353969377,-0.0166958339076913,0.0,-0.5438847352961081,0.0,-0.0011905004049508,-0.0394936501393306,0.0,-0.0010951001609617
EE,-0.1628540309013471,0.0,-0.1422577400604448,0.0,-0.0185244533981622,0.0,-0.4928630851168161,-0.0032694799979583,0.0,-0.6130914447245027,0.0,0.0,-0.0773224583014593,0.0,-0.0013949693819987
DK,-0.0717436892669902,0.0,-0.1931421932474456,0.0,-0.0148321525895659,0.0,-1.2038099291206306,-0.0016912703850649,0.0,-0.0018461946753088,-6.149301309168667e-07,0.0,-0.0018221494331529,0.0,-0.0024955396069084
CZ,-0.0437710928638942,-3.4727398611118656e-05,-0.2614295948021043,0.0,-0.1351145558074527,-0.0001975910892584,-0.359376123624835,-0.0415566994656955,-3.4363374988221555e-06,-0.4807000355366805,-1.4029060330131462e-05,-1.3851384588003854e-05,-0.0015624820909796,0.0,-0.0029287388327539
ID,-0.0148323884164502,-5.364395394003788e-08,-0.3208524982671086,-8.413941723244674e-07,-0.4016011840073689,-0.0278412981521797,-0.0717891288524284,-0.1125332026817631,-5.151402353092215e-06,0.0,-1.955480129293651e-06,-2.3437560701141332e-08,-0.0378533860069592,-4.834573576232343e-08,-0.0019782307065594
AU,-0.0223971215018678,-0.0018349788117338,-0.1019972771253686,-0.0005452453883895,-0.1385573460917243,-0.0315391774371757,-0.0247637423386417,-0.08256070834869,-0.0003838218229465,0.0,-0.0087486317896174,-5.8891881319782936e-05,-0.4494703389273472,-0.0060169097119012,-0.1094352051913609
BR,-0.0262677561465894,-2.7622314615363632e-05,-0.5636857288188631,-3.131253034443178e-05,-0.063216815242866,-0.1805229519964681,-0.052848129885679,-0.0047070755128163,-3.638110190695984e-05,0.0,-0.0001088976377208,-1.645605201970265e-05,-0.0088410286966612,-0.0001286432294734,-0.0028799803158401
WF,-0.0267453155960363,-0.0005502481641917,-0.0647463356977763,-0.0031777266280473,-0.6227984338465065,-0.0123594791591876,-0.0059093587738656,-0.027647296795033,-0.0031959367054318,0.0,-0.002239295768616,-0.0014808466467298,-0.1143318657559478,0.0,-0.006859029679259
PT,-0.0038433047149243,0.0,-0.2375750275913473,-0.0006243769178313,-0.0592713885340885,-0.0291206246301212,-0.0929610617279962,-0.0078642030236562,-3.9144768381855616e-05,-0.1133853714443807,0.0,-9.515456053093684e-05,-0.0002278388725514,-6.443093064227973e-05,-0.0002132637882376
RO,-0.0053662306223759,0.0,-0.1290084726206178,-1.1154968355635086e-06,-0.0257330297074861,0.0,-0.110482269046113,-0.0002719187851937,-1.530588463351142e-07,-0.1856561287965541,0.0,-8.270504824990744e-09,-0.000332988617832,-0.0001017418321859,-3.7203174360763216e-05
SK,-0.0061828184251641,0.0,-0.0235409224834685,-8.595881771236045e-06,-0.0191690592460977,0.0,-0.072448350930859,-0.0192001583216537,-4.1728099571530683e-07,-0.3016279805988548,0.0,0.0,-0.000405364667067,-0.0005313300910043,-0.0002056748058672
ZA,-0.0224036061438327,0.0,-0.0956669817563368,-2.274692732886253e-05,-0.0296543847550215,-0.0323407245665101,-0.1487432680104085,-0.0009994598688039,-3.893919180386839e-06,0.0,-0.0001647561764904,-0.0001115374159874,-0.0167356937504382,-7.969227328527198e-05,-0.0903104349892284
BG,-0.0092398783179138,0.0,-0.0029752655349272,-0.007948945912261,-0.3930383308063954,0.0,-0.017706163284287,-0.0021114568774222,-0.0001161981760257,0.0,0.0,-7.580357871311424e-06,-0.0002319346735308,-0.0022012682201014,-3.704042726967298e-05
GR,-0.0329107982679226,-3.2837074482455886e-05,-0.078955319501052,0.0,-0.0203305954459157,-0.0301682338704489,-0.0420275647293716,-0.000519397877894,-2.223243976431723e-05,0.0,-0.011866748312472,-1.4693286277436244e-06,-3.041472075095542e-05,-2.8447910116897103e-05,-8.613152684029691e-05
LU,-0.0107015317452264,0.0,-0.0138137630399794,0.0,-0.0514151139084543,-0.0001484459627602,-0.0567281131027967,-0.0052351596623504,0.0,-0.0464033178573196,0.0,0.0,-0.0027298738507297,0.0,-0.0056115747992225
IE,-0.0025467360492866,0.0,-0.0037809071865957,0.0,-0.0003914236556766,0.0,-0.0783242637299174,-0.0013709017691868,-0.0005067838906749,-0.0904801680340838,0.0,0.0,-0.001357119320367,-2.534045982558648e-05,-0.00087070314498
SI,-0.0164508450986477,0.0,-0.0394134294772895,0.0,-0.0017934899753619,0.0,-0.0373341895842935,-0.0005437227617986,0.0,-0.0351330887284064,0.0,0.0,-0.0004937245211194,0.0,-1.9151503490148537e-05
TW,-0.0092698570453171,-0.0008744298084381,-0.028593210917368,-0.000734282762959,-0.0041767406467794,-0.0060725146728394,-0.032564487759703,-0.0065767977133069,-0.0008673214115007,0.0,0.0,-5.015726734336565e-05,-6.183116783811279e-05,-0.0017704043204782,-5.930254587156577e-05
HR,-0.0044568843596393,-3.187424786439531e-07,-0.0040178663247663,0.0,-0.0013992865488759,0.0,-0.0039053484698055,-1.2241926919675363e-05,-3.0598527433169513e-10,-0.0306155732862977,-1.8574281989033536e-08,0.0,-0.0001152035606232,0.0,-7.276743317826699e-06
