Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.499,-0.073,-4.074,-0.118,-10.845,-38.111,-7.642,-2.455,-0.007,-38.443,-0.011,-1.236,-1.202,-0.028,-1.858
FI,-1.545,-0.0,-16.112,-0.132,-3.083,-19.895,-3.742,-0.679,-0.025,-9.567,-0.023,-0.005,-10.725,-0.007,-0.124
US,-0.255,-0.0,-0.611,-0.013,-0.557,-0.926,-4.233,-0.033,-0.0,-3.536,0.0,-0.0,-0.036,-0.007,-0.053
DE,-0.379,-0.0,-1.855,-0.0,-1.408,-1.263,-0.7,-0.303,-0.0,-3.838,-0.0,-0.0,-0.152,-0.0,-0.018
JP,-0.338,0.0,-0.166,0.0,-0.445,-0.549,-0.602,-0.092,0.0,-1.212,0.0,-0.0,-0.025,-0.0,-0.008
SE,-0.135,0.0,-1.228,-0.001,-0.217,-0.577,-0.596,-0.015,-0.0,-0.472,-0.0,-0.0,-0.05,-0.0,-0.006
WA,-0.083,-0.022,-0.488,-0.013,-0.228,-0.922,-0.604,-0.098,-0.003,-0.296,-0.004,-0.044,-0.095,-0.004,-0.039
GB,-0.152,0.0,-0.5,-0.0,-0.206,-0.444,-0.416,-0.03,-0.0,-0.167,-0.0,-0.0,-0.022,-0.0,-0.05
NL,-0.028,0.0,-0.076,0.0,-0.082,-0.161,-0.954,-0.132,0.0,-0.199,0.0,-0.0,-0.005,0.0,-0.002
MX,-0.007,-0.0,-0.047,-0.002,-0.039,-1.033,-0.29,-0.015,-0.0,-0.082,-0.0,-0.0,-0.005,-0.0,-0.018
KR,-0.075,0.0,-0.144,-0.0,-0.155,-0.702,-0.207,-0.079,-0.0,-0.096,-0.0,-0.0,-0.028,-0.0,-0.006
IN,-0.024,-0.0,-0.356,-0.001,-0.041,-0.165,-0.293,-0.016,-0.0,-0.459,0.0,-0.001,-0.001,-0.0,-0.016
IT,-0.037,-0.0,-0.358,-0.0,-0.207,-0.137,-0.05,-0.021,-0.0,-0.503,-0.0,-0.0,-0.006,-0.0,-0.018
CA,-0.173,-0.0,-0.173,-0.001,-0.088,-0.254,-0.262,-0.044,-0.0,-0.159,-0.0,-0.0,-0.074,-0.0,-0.004
WM,-0.033,-0.002,-0.21,-0.009,-0.036,-0.33,-0.332,-0.013,-0.003,-0.188,-0.0,-0.012,-0.027,-0.009,-0.008
NO,-0.146,-0.0,-0.155,-0.0,-0.053,-0.096,-0.108,-0.004,-0.0,-0.13,-0.0,-0.001,-0.243,-0.0,-0.008
FR,-0.061,-0.0,-0.159,0.0,-0.11,-0.294,-0.133,-0.013,0.0,-0.109,0.0,-0.0,-0.009,0.0,-0.001
PL,-0.02,-0.0,-0.095,-0.001,-0.06,-0.245,-0.225,-0.027,-0.0,-0.147,-0.0,-0.0,-0.0,-0.0,-0.004
WL,-0.013,-0.004,-0.064,-0.013,-0.372,-0.169,-0.096,-0.01,-0.001,-0.057,-0.0,-0.005,-0.008,-0.001,-0.009
TW,-0.008,-0.0,-0.014,-0.0,-0.017,-0.376,-0.151,-0.003,-0.0,-0.056,0.0,-0.0,-0.056,-0.0,-0.003
BE,-0.038,-0.0,-0.15,-0.0,-0.094,-0.078,-0.134,-0.047,-0.0,-0.085,-0.0,-0.002,-0.013,-0.0,-0.02
DK,-0.02,-0.0,-0.053,-0.0,-0.011,-0.198,-0.162,-0.0,-0.0,-0.128,-0.0,-0.0,-0.001,-0.0,-0.0
CH,-0.001,0.0,-0.005,0.0,-0.002,-0.154,-0.094,-0.001,0.0,-0.121,-0.0,0.0,-0.0,0.0,-0.108
TR,-0.007,-0.0,-0.192,-0.0,-0.014,-0.048,-0.135,-0.0,-0.0,-0.012,-0.0,-0.004,-0.004,-0.001,-0.006
CZ,-0.005,-0.0,-0.043,-0.0,-0.019,-0.183,-0.082,-0.011,-0.0,-0.074,-0.0,-0.0,-0.0,-0.0,-0.001
AT,-0.015,0.0,-0.099,-0.0,-0.029,-0.1,-0.088,-0.005,-0.0,-0.071,0.0,-0.0,-0.004,-0.0,-0.0
ES,-0.033,-0.0,-0.143,-0.002,-0.064,-0.096,-0.012,-0.028,-0.0,-0.026,-0.0,-0.0,-0.005,-0.0,-0.002
